control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak141	242	132	321	351	183	204	702	930
peak142	26	4	262	325	11	5	109	303
peak143	75	53	304	420	44	41	443	866
peak144	253	55	824	359	111	74	860	546
peak145	249	90	193	187	167	125	561	671
peak146	2776	1815	2293	2922	1220	1587	3705	3651
peak147	395	188	2575	3855	86	119	885	1550
peak148	113	54	821	1090	37	35	196	328
peak149	412	261	335	462	286	221	720	987
peak150	410	189	792	742	339	242	1151	1653
peak151	165	99	1665	2557	90	140	592	1263
peak152	237	120	1418	1877	132	198	534	1209
peak153	93	34	243	212	71	76	498	804
peak154	483	253	176	339	347	586	512	1451
peak155	186	96	380	569	208	257	373	774
peak156	193	52	1329	1365	150	163	508	864
peak157	12	9	219	374	16	15	212	416
peak158	184	99	451	969	75	49	261	408
peak159	128	85	85	196	88	106	202	399
peak160	164	79	243	339	49	39	290	286
peak161	103	62	1769	3045	60	64	1182	2565
peak162	42	27	283	309	20	22	164	192
peak163	146	73	943	1108	48	75	944	1676
peak164	332	194	3873	7237	336	395	978	2342
peak165	259	175	1042	1315	163	168	1010	1287
peak166	1378	587	1463	1578	281	370	1066	2040
peak167	181	62	1334	989	90	47	877	666
peak168	156	47	1418	1266	100	68	656	1049
peak169	80	17	202	115	17	8	272	150
peak170	77	24	320	288	54	64	359	343
peak171	42	22	100	72	43	24	380	350
peak172	1208	483	4361	6176	319	371	1966	2025
peak173	488	99	230	135	203	158	897	548
peak174	557	222	436	741	482	462	1743	2807
peak175	367	118	225	218	192	158	664	699
peak176	605	243	475	427	240	243	1430	1654
peak177	47	14	505	401	41	13	225	282
peak178	15	6	210	101	9	21	157	195
peak179	867	219	436	253	397	350	1497	1058
peak180	959	206	4823	3266	747	510	4687	2745
peak181	491	172	1287	921	353	367	2666	2580
peak182	222	68	868	746	182	181	2103	2251
peak183	257	129	699	1074	256	197	2225	3414
peak184	189	61	289	213	112	70	816	760
peak185	743	259	759	487	461	209	1889	1396
peak186	2016	673	2513	2086	708	401	6192	3705
peak187	368	128	2885	1788	868	506	18216	16144
peak188	86080	38069	161363	191023	36369	44618	242883	379468
peak189	260	108	551	706	84	102	760	1193
peak190	347	120	1322	1509	153	113	2048	2778
peak191	1542	831	3083	4392	409	551	3027	4667
peak192	12	8	104	174	20	16	217	262
peak193	121	19	204	113	72	31	413	270
peak194	568	247	773	1029	220	299	1547	2428
peak195	455	135	1588	1378	161	128	2556	2574
peak196	363	82	2088	1346	166	77	3257	3070
peak197	601	224	1699	1353	236	210	2572	3152
peak198	505	184	3484	3200	242	258	1545	2442
peak199	509	224	5882	5849	316	309	2935	4896
peak200	258	41	534	430	170	140	1234	1239
peak201	63	30	845	1032	18	20	420	935
peak202	19	7	85	104	14	13	249	284
peak203	14	2	90	212	6	28	247	526
peak204	1366	799	8557	13652	782	850	4498	6568
peak205	95	36	132	191	62	75	614	892
peak206	188	38	923	991	142	179	1416	1934
peak207	579	216	3128	3011	500	593	4183	5403
peak208	193	94	849	1076	96	75	1187	2155
peak209	159	72	510	621	91	60	640	1117
peak210	144	62	203	231	60	80	234	486
peak211	143	69	508	708	225	208	1292	2522
peak212	198	99	1122	1729	434	469	5157	10696
peak213	89	22	138	189	54	64	508	778
peak214	314	96	2049	1429	189	137	3182	2579
peak215	236	109	355	610	103	162	344	963
peak216	227	98	884	1774	114	165	481	922
peak217	83	23	196	289	25	37	214	397
peak218	101	44	275	414	46	44	132	284
peak219	74	34	43	141	48	70	160	343
peak220	72	66	157	438	40	55	256	839
peak221	154	130	2209	3734	150	213	625	1138
peak222	29	16	251	667	18	46	173	402
peak223	550	251	2325	2795	233	285	4010	7358
peak224	315	72	1169	1196	71	86	234	359
peak225	1094	284	700	674	452	325	1911	1594
peak226	845	290	792	664	323	308	751	1008
peak227	479	247	822	1257	227	316	1415	2169
peak228	1103	664	4271	7203	625	656	2481	3949
peak229	2612	1331	5301	8086	1322	1228	8538	13475
peak230	299	131	791	766	225	222	2015	3060
peak231	24	8	367	303	22	26	257	430
peak232	128	63	1026	1340	183	217	1042	1918
peak233	34	13	95	111	12	22	150	342
peak234	225	90	820	1481	102	56	448	598
peak235	204	70	2294	2856	180	159	1235	1783
peak236	98	54	464	540	87	78	321	570
peak237	173	92	1963	2180	164	172	1438	2525
peak238	21	1	211	351	22	25	123	331
peak239	102	33	416	482	51	64	203	425
peak240	47	4	404	271	16	6	220	123
peak241	40	31	127	130	22	43	223	303
peak242	1573	577	2386	1844	590	704	2432	2805
peak243	167	55	1148	1290	76	82	467	928
peak244	210	107	167	271	86	113	383	560
peak245	175	57	278	244	55	57	440	347
peak246	716	333	6677	9600	191	315	1275	3167
peak247	390	161	3006	3036	190	168	1664	1950
peak248	610	264	3430	4803	390	432	2004	3471
peak249	251	141	296	500	207	188	273	643
peak250	164	39	206	158	107	98	463	446
peak251	148	100	1120	1547	134	92	832	1357
peak252	85	73	1257	2031	15	25	189	309
peak253	2574	1103	24209	35758	475	562	4037	9484
peak254	305	130	1777	2757	74	57	144	453
peak255	315	174	3361	5948	70	86	572	1639
peak256	676	266	3372	5682	266	308	851	2074
peak257	152	76	362	574	75	99	228	379
