control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak157	41	22	292	90	31	15	516	207
peak158	9	4	32	1	0	0	87	16
peak159	49	21	233	98	23	8	188	33
peak160	35	25	190	102	22	6	132	59
peak161	36	13	289	145	57	8	330	128
peak162	3	2	147	42	8	2	273	46
peak163	0	1	33	6	3	4	92	79
peak164	14	6	229	81	13	5	167	77
peak165	18	7	91	32	9	3	44	33
peak166	26	12	158	85	19	10	185	74
peak167	9	6	87	28	7	1	145	44
peak168	4	3	53	17	5	0	42	3
peak169	20	14	51	56	20	7	30	28
peak170	38	17	539	125	15	4	195	99
peak171	8	3	143	61	7	4	85	31
peak172	8	4	32	13	6	2	68	27
peak173	9	3	158	74	8	2	171	53
peak174	14	5	93	51	5	4	48	24
peak175	14	6	89	37	6	4	53	19
peak176	7	5	79	40	3	2	76	25
peak177	3	0	87	23	3	0	132	33
peak178	12	5	77	50	7	3	52	18
peak179	20	4	82	40	6	2	41	20
peak180	6	5	65	23	4	2	30	22
peak181	4	5	63	51	6	2	55	18
peak182	1	2	53	15	2	0	39	12
peak183	19	7	209	84	3	2	396	106
peak184	5	5	86	57	4	2	69	33
peak185	6	3	73	61	6	1	91	34
peak186	12	2	152	39	7	4	182	78
peak187	14	9	71	42	5	1	58	30
peak188	6	2	92	62	11	3	68	31
peak189	33	13	267	89	14	6	204	77
peak190	20	5	110	90	11	2	114	32
peak191	3	2	114	54	4	0	156	62
peak192	24	4	188	106	13	3	141	60
peak193	9	3	48	13	4	3	358	226
peak194	23	10	155	113	19	1	173	53
peak195	16	7	70	41	17	1	86	18
peak196	10	8	88	44	5	1	58	19
peak197	20	9	218	68	13	5	151	39
peak198	8	3	65	51	5	0	74	42
peak199	18	11	219	63	17	5	239	51
peak200	25	7	137	58	20	1	114	21
peak201	32	13	372	148	20	1	344	61
peak202	27	10	131	47	15	3	122	33
peak203	4	3	90	40	3	2	63	34
peak204	39	25	510	382	33	12	357	143
peak205	16	3	82	73	10	2	47	37
peak206	0	0	45	1	0	0	168	16
peak207	13	8	115	55	13	4	163	73
peak208	21	6	76	41	13	4	72	25
peak209	2	0	19	4	0	1	50	26
peak210	0	8	165	24	3	2	330	85
peak211	22	9	314	108	9	3	256	69
peak212	8	9	109	58	4	8	35	62
peak213	70	33	1134	454	20	9	421	377
peak214	48	28	491	490	22	11	214	261
peak215	6	0	76	25	2	2	42	21
peak216	6	3	118	76	10	2	148	46
peak217	7	3	29	5	0	0	104	31
peak218	21	3	1185	175	13	3	938	188
peak219	12	10	63	45	16	3	34	15
peak220	2	2	91	36	0	1	71	48
peak221	1	1	505	66	5	2	1474	720
peak222	16	15	192	121	15	6	283	81
peak223	12	14	269	142	14	1	265	67
peak224	1	2	43	17	3	1	71	17
peak225	22	8	65	54	13	2	79	24
peak226	4	3	63	13	3	1	58	8
peak227	8	1	48	33	0	4	57	22
peak228	1	0	33	0	1	0	159	95
peak229	84	32	774	304	69	19	762	183
peak230	110	39	1709	801	58	16	1712	445
peak231	27	8	515	205	12	4	444	112
peak232	38	21	94	86	42	5	83	27
peak233	63	36	386	268	46	11	371	117
peak234	51	25	335	126	33	5	347	53
peak235	53	15	310	154	40	12	280	82
peak236	0	0	16	2	4	0	160	68
peak237	34	18	523	215	21	6	379	112
peak238	4	1	23	20	4	0	90	62
peak239	7	6	77	28	7	0	65	18
peak240	9	9	62	36	3	1	42	20
peak241	19	3	125	61	10	0	104	20
peak242	2	3	152	11	9	4	438	235
peak243	40	7	305	177	19	4	256	119
peak244	15	9	139	52	3	7	97	36
peak245	9	1	109	48	4	5	114	78
peak246	6	4	59	53	3	1	91	45
peak247	11	0	140	52	5	1	102	24
peak248	5	3	22	11	0	0	60	30
peak249	29	14	437	212	26	3	350	129
peak250	3	2	98	36	1	1	83	29
peak251	4	2	194	60	2	0	212	26
peak252	14	3	88	89	8	2	78	36
peak253	44	15	310	237	19	6	235	124
peak254	5	3	35	3	6	2	122	39
peak255	28	8	78	59	14	3	80	30
peak256	36	15	177	86	20	1	103	45
peak257	24	10	111	38	21	1	115	22
peak258	3	3	23	20	1	1	64	27
peak259	29	4	97	21	3	6	72	15
peak260	16	3	153	89	14	4	124	63
peak261	12	2	51	32	8	3	48	15
peak262	14	3	97	76	5	3	61	35
peak263	7	3	22	34	1	0	25	24
peak264	9	7	59	56	8	0	91	21
peak265	25	6	96	33	9	1	133	37
peak266	77	22	309	183	49	9	345	76
peak267	78	30	237	98	15	7	193	36
peak268	1	0	17	8	0	0	77	12
peak269	0	1	19	2	0	0	129	49
peak270	15	5	91	107	5	0	89	48
peak271	10	3	220	87	2	4	209	59
peak272	62	23	526	221	33	4	518	162
peak273	14	5	140	77	18	3	164	74
peak274	3	1	88	33	3	0	78	20
peak275	5	3	69	14	3	0	60	23
peak276	18	3	101	55	1	0	48	36
peak277	7	8	232	131	5	6	168	83
peak278	14	11	125	62	10	9	69	32
peak279	88	40	125	145	57	11	174	58
peak280	20	14	824	153	15	6	1745	876
peak281	21	10	150	87	8	5	89	48
peak282	15	6	150	91	8	5	88	55
peak283	19	11	154	62	1	3	42	50
peak284	6	8	93	64	6	2	22	32
peak285	29	9	231	169	8	4	104	98
peak286	15	10	88	57	6	3	29	30
peak287	21	5	156	75	6	3	40	35
peak288	7	1	89	55	1	0	30	38
peak289	12	7	114	34	5	3	39	38
peak290	12	3	108	36	4	0	41	17
peak291	25	18	33	20	19	4	91	36
peak292	69	10	195	42	53	14	176	53
peak293	12	5	62	52	4	1	44	13
peak294	6	0	74	16	1	1	57	10
peak295	2	2	79	27	2	0	56	23
peak296	6	3	82	32	4	1	68	24
peak297	3	1	118	87	4	1	94	29
peak298	1	1	69	6	1	3	345	147
peak299	14	4	76	34	7	5	55	21
peak300	22	5	103	64	14	6	73	29
peak301	12	2	90	55	4	1	41	30
peak302	36	9	380	151	15	4	291	84
peak303	12	3	93	74	7	0	76	19
peak304	5	3	80	33	1	0	138	83
peak305	69	18	526	208	43	6	449	105
peak306	3	2	113	58	1	0	65	27
peak307	14	6	169	93	17	17	179	44
peak308	11	0	98	68	8	2	81	37
peak309	2	0	44	3	2	0	181	59
peak310	33	17	71	72	16	1	69	31
peak311	18	8	152	38	10	2	147	35
peak312	41	8	71	53	19	0	65	21
peak313	10	6	62	41	9	3	61	19
peak314	4	4	128	29	2	0	71	18
peak315	4	5	140	18	9	6	275	96
peak316	20	9	139	67	15	1	105	51
peak317	22	10	137	103	24	4	145	37
peak318	19	8	300	178	19	0	588	118
peak319	30	8	21	5	20	7	63	15
peak320	12	7	106	56	4	2	50	30
peak321	25	11	116	50	17	8	176	53
peak322	5	0	18	1	1	1	60	20
peak323	14	8	467	136	8	3	578	176
peak324	4	1	29	19	3	0	62	14
peak325	1	0	27	11	0	0	58	17
peak326	6	5	35	5	2	1	54	18
peak327	6	2	36	6	4	3	62	13
peak328	25	8	238	89	15	8	337	88
peak329	17	16	53	8	20	4	81	9
peak330	37	16	334	120	34	9	759	233
peak331	10	2	49	34	2	1	45	16
peak332	20	20	230	75	24	9	185	89
peak333	0	2	25	1	2	1	67	17
peak334	10	6	44	20	9	3	52	15
peak335	19	8	217	39	8	3	346	123
peak336	5	1	96	64	6	2	68	40
peak337	15	7	129	89	7	6	84	51
peak338	23	12	125	73	11	2	76	26
peak339	27	8	73	37	17	3	56	11
peak340	20	1	193	129	11	2	112	57
peak341	39	21	192	135	17	0	202	77
peak342	10	6	61	56	9	3	47	13
peak343	6	1	37	44	0	0	34	14
peak344	5	0	48	23	2	0	49	6
peak345	8	2	68	23	3	1	103	25
peak346	15	3	100	63	9	5	113	33
peak347	39	15	310	186	31	6	322	75
peak348	54	33	597	378	39	6	490	210
peak349	6	7	51	21	7	3	94	32
peak350	50	22	634	321	41	11	696	164
peak351	2	1	64	31	3	1	113	26
peak352	10	5	31	10	2	2	188	85
peak353	11	6	30	31	6	0	30	7
peak354	10	3	63	31	10	1	59	13
peak355	19	9	114	52	12	3	181	41
peak356	37	17	654	552	9	1	521	289
peak357	19	6	117	32	6	1	73	20
peak358	22	10	386	165	14	7	242	167
peak359	34	16	412	155	23	8	298	123
peak360	43	12	239	187	23	8	210	63
peak361	34	13	275	83	18	5	172	45
peak362	40	15	210	152	18	7	158	107
peak363	15	4	78	32	12	6	76	25
peak364	16	4	96	46	4	0	58	19
peak365	28	8	265	65	15	2	215	29
peak366	16	4	75	29	4	1	73	15
peak367	16	8	145	77	10	2	179	20
peak368	29	15	135	66	15	6	117	30
peak369	5	3	45	47	0	2	20	27
peak370	78	34	242	117	41	14	270	75
peak371	29	13	558	242	25	7	563	114
peak372	22	9	571	412	24	5	659	172
peak373	10	3	138	131	7	4	89	47
peak374	7	3	186	69	6	2	119	34
peak375	6	1	76	47	5	3	69	26
peak376	59	36	288	140	54	7	227	58
peak377	35	20	281	146	35	12	220	69
peak378	33	23	147	15	18	6	233	11
peak379	0	1	47	7	1	1	181	162
peak380	30	12	197	99	13	4	158	51
peak381	34	9	386	259	24	9	336	179
peak382	14	4	68	39	5	0	50	26
peak383	194	111	2110	2672	258	130	4192	5060
peak384	138	91	1100	860	119	78	2176	1465
peak385	25	7	241	96	26	39	725	491
peak386	46	25	360	128	51	34	466	352
peak387	49	15	146	89	39	24	255	174
peak388	30	12	247	117	18	8	168	87
peak389	10	6	80	43	3	0	45	20
peak390	2	1	104	18	4	1	201	66
peak391	21	6	134	30	15	5	115	26
peak392	18	5	70	106	25	1	54	47
peak393	26	6	39	58	24	2	38	28
peak394	10	4	75	39	7	2	69	22
peak395	15	2	86	44	4	3	66	20
peak396	3	2	31	3	2	0	118	26
peak397	9	2	61	46	4	1	41	17
peak398	14	4	98	38	6	2	106	19
peak399	5	2	76	54	6	0	49	20
peak400	30	7	442	182	10	3	220	76
peak401	21	16	294	166	26	4	230	132
peak402	10	5	36	82	5	3	47	29
peak403	37	10	175	85	18	3	117	41
peak404	5	2	61	78	8	2	36	30
