control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak110	6	5	5	27	30	22	2	9	4	13	12	22
peak111	182	138	146	521	342	331	203	214	204	324	460	610
peak112	122	89	95	158	112	92	101	124	120	88	128	163
peak113	100	67	99	281	172	204	96	111	119	203	218	291
peak114	150	98	117	525	368	380	180	153	173	290	381	474
peak115	63	25	37	916	571	657	61	44	48	451	686	912
peak116	71	50	87	360	237	246	70	79	57	148	211	313
peak117	67	47	42	331	209	226	74	70	53	161	162	255
peak118	17	17	27	55	25	41	23	15	17	29	32	37
peak119	6	6	11	41	33	21	10	9	9	19	30	39
peak120	42	25	23	146	85	109	41	31	37	88	103	191
peak121	127	79	104	201	180	141	122	172	171	141	169	270
peak122	40	30	28	325	240	186	41	34	35	178	206	294
peak123	29	29	22	128	90	78	86	78	69	195	222	311
peak124	1	1	2	15	14	11	10	12	15	20	28	62
peak125	16	18	29	179	164	138	53	56	54	269	316	420
peak126	154	83	115	1774	1181	1221	139	148	146	946	1373	1860
peak127	87	63	52	322	220	182	72	80	84	161	251	293
peak128	12	13	18	98	60	55	17	32	14	39	61	96
peak129	26	25	34	197	135	123	24	22	27	78	121	152
peak130	11	10	14	90	49	67	19	12	7	65	70	121
peak131	11	4	10	186	107	134	6	11	12	95	153	185
peak132	6	6	8	28	25	14	7	11	9	11	21	40
peak133	4	5	7	8	9	5	2	4	6	5	15	13
peak134	4	0	0	15	18	6	3	5	5	3	8	15
peak135	19	17	21	99	71	77	15	40	27	49	90	136
peak136	203	152	143	1972	1299	1308	223	251	213	1238	1753	2524
peak137	130	70	108	630	440	368	152	130	146	315	536	659
peak138	114	69	116	1021	641	604	101	143	150	650	939	1100
peak139	98	76	86	174	135	122	100	132	142	115	193	240
peak140	47	17	27	199	123	120	47	76	65	129	141	187
peak141	129	68	76	212	138	132	120	145	155	139	182	219
peak142	77	46	47	212	157	163	58	59	60	126	177	218
peak143	18	14	14	88	60	55	25	21	10	29	57	96
peak144	71	65	49	251	202	176	80	106	111	188	271	333
peak145	40	28	34	82	68	70	29	44	41	56	60	103
peak146	13	3	9	27	18	26	12	13	27	34	37	48
peak147	279	186	226	1948	1250	1011	214	257	264	905	1083	1490
peak148	75	60	69	1184	883	757	92	77	83	673	930	1324
peak149	44	34	42	73	51	41	51	52	42	37	53	63
peak150	89	49	49	116	77	61	62	54	81	58	78	108
peak151	64	56	59	143	92	98	48	86	60	85	115	169
peak152	49	33	27	399	230	214	41	40	47	199	256	274
peak153	23	12	26	302	158	180	28	20	20	150	190	216
peak154	5	2	3	15	9	9	2	3	2	7	9	13
peak155	2	4	6	40	25	23	1	2	3	12	17	25
peak156	4	4	4	97	55	62	14	4	1	47	67	84
peak157	39	30	37	109	67	77	59	56	60	56	93	112
peak158	32	28	33	82	57	99	46	38	27	60	91	112
peak159	15	23	22	56	36	32	18	17	26	26	33	48
peak160	36	30	34	237	150	193	36	44	38	136	191	270
peak161	54	46	42	247	199	207	52	48	37	142	219	283
peak162	26	13	14	63	35	62	26	18	15	29	71	64
peak163	45	39	37	380	262	264	35	54	72	209	257	380
peak164	91	42	91	209	165	146	83	83	103	124	182	239
peak165	42	20	19	83	61	49	34	33	39	39	44	66
peak166	79	37	53	114	92	72	63	90	60	80	72	102
peak167	26	26	29	265	185	195	44	30	26	162	221	240
peak168	77	50	51	243	173	152	60	50	57	119	151	230
peak169	8	11	18	24	15	17	8	11	11	19	28	23
peak170	25	14	15	110	60	79	20	17	25	52	65	115
peak171	55	48	38	218	176	119	62	59	65	93	145	189
peak172	181	139	160	793	555	547	221	243	224	341	559	709
peak173	4	2	1	15	16	16	1	3	4	26	48	38
peak174	3	0	2	21	9	13	3	0	6	12	23	28
peak175	2	0	0	14	14	8	5	9	2	10	7	23
peak176	3	0	1	9	7	5	5	3	3	5	8	10
peak177	8	3	1	31	23	24	4	3	1	8	17	15
peak178	15	14	10	208	119	140	23	15	16	91	132	179
peak179	7	2	6	184	145	116	2	3	8	80	123	165
peak180	4	6	9	21	21	30	14	15	15	15	21	39
peak181	50	31	37	758	529	535	39	40	37	323	434	572
peak182	19	20	17	67	41	41	16	14	15	24	34	42
peak183	18	12	15	96	70	60	24	23	13	45	45	57
peak184	17	27	21	96	66	76	22	32	27	67	72	87
peak185	71	44	59	403	260	240	58	83	78	145	227	322
peak186	28	19	25	60	33	39	20	13	21	30	38	50
peak187	101	78	79	1668	1193	1214	96	93	118	726	1131	1393
peak188	3	6	6	78	45	57	6	4	14	38	43	66
peak189	201	136	151	1225	902	739	177	215	191	735	1111	1374
peak190	42	37	35	104	98	64	48	65	49	70	118	133
peak191	4	2	4	20	16	18	4	3	12	10	6	20
peak192	93	47	61	245	145	131	85	121	97	142	233	339
peak193	66	40	38	78	46	54	72	75	79	45	84	124
peak194	130	52	97	1275	834	874	119	147	148	595	1019	1318
peak195	15	6	5	965	715	776	15	17	15	607	838	1346
peak196	108	75	78	1511	1010	1032	133	131	151	683	1361	1748
peak197	341	242	318	2555	1874	1746	363	425	437	1473	2169	2793
peak198	61	41	60	319	194	219	65	91	89	175	256	354
peak199	69	52	70	280	207	186	85	85	123	144	222	322
peak200	81	62	77	111	79	65	83	113	103	94	123	123
peak201	141	81	110	212	125	130	131	154	153	124	169	171
peak202	127	94	89	272	142	148	135	136	168	147	235	282
peak203	139	72	128	261	167	140	136	153	146	162	231	256
peak204	146	93	96	598	417	337	155	163	155	371	522	603
peak205	110	66	75	248	157	149	96	105	97	146	215	217
peak206	122	93	80	1685	1074	1101	122	105	135	906	1232	1747
peak207	124	61	54	628	399	370	79	116	107	379	457	626
peak208	50	27	37	254	214	180	43	60	42	121	170	238
peak209	34	32	32	89	52	57	30	28	39	35	47	68
peak210	11	13	11	72	51	63	18	23	16	31	61	80
peak211	7	5	6	79	45	40	9	7	12	35	47	84
peak212	0	0	1	8	7	8	1	0	1	2	4	6
peak213	0	0	0	5	6	3	0	1	1	3	6	6
peak214	9	4	5	50	40	43	3	15	12	25	39	51
peak215	1	2	1	8	5	5	1	2	3	1	5	14
peak216	24	22	23	369	260	205	71	75	63	563	557	862
peak217	16	18	13	203	102	91	21	17	24	83	125	147
peak218	10	5	7	139	88	51	5	9	14	61	84	103
peak219	11	6	10	118	63	70	6	13	10	53	69	97
peak220	31	14	26	562	302	274	33	28	35	241	317	470
peak221	2	10	4	13	7	7	5	1	8	5	14	10
peak222	2	1	2	38	35	28	3	3	4	32	50	38
peak223	64	29	41	729	472	427	68	88	74	371	538	765
peak224	29	13	22	399	253	249	29	28	42	235	339	404
peak225	95	76	70	1062	684	634	65	87	81	504	744	983
peak226	16	19	7	106	104	66	13	22	14	62	68	92
peak227	9	10	13	28	15	17	5	22	13	14	14	22
peak228	3	2	2	26	14	28	5	2	7	18	20	22
peak229	8	7	9	74	54	45	15	18	15	85	110	142
peak230	0	3	2	3	7	5	0	2	0	6	2	1
peak231	3	0	2	16	7	19	0	2	3	8	11	11
peak232	29	37	35	437	259	287	49	58	45	212	337	421
peak233	3	1	2	3	8	4	2	2	0	2	7	7
peak234	0	0	0	8	10	8	2	0	0	4	5	12
peak235	1	2	1	99	95	86	1	2	0	66	82	92
peak236	1	2	2	42	19	23	0	2	3	18	22	39
peak237	21	10	9	79	53	42	11	11	12	37	35	64
peak238	34	29	51	330	235	257	58	61	55	168	229	371
peak239	139	80	88	307	264	172	105	93	110	166	216	296
peak240	4	2	3	20	19	18	3	3	3	18	11	20
peak241	1	0	1	7	5	4	2	2	1	7	13	11
peak242	200	110	138	456	316	240	151	153	136	226	297	416
peak243	3	0	6	10	10	14	7	10	11	19	49	56
peak244	149	85	93	576	354	351	100	115	136	327	337	466
