control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak136	217	297	574	204	115	747	751	277	269	203	924	81
peak137	13	13	39	12	17	37	60	22	17	20	82	9
peak138	61	36	60	39	24	94	122	60	30	70	240	17
peak139	18	15	42	11	5	19	39	19	11	12	70	6
peak140	101	118	274	158	101	378	248	100	98	110	361	52
peak141	31	22	71	39	5	92	93	25	24	14	96	7
peak142	30	24	72	18	18	78	79	25	24	25	105	10
peak143	28	25	71	29	17	86	53	26	29	2	70	8
peak144	27	19	44	23	20	78	45	19	11	10	49	11
peak145	33	38	67	61	39	146	133	52	37	48	236	25
peak146	53	40	98	182	117	384	136	60	51	133	889	74
peak147	12	8	23	5	11	15	31	17	7	2	35	2
peak148	3	4	5	3	3	23	6	8	4	3	7	1
peak149	37	28	67	61	37	125	64	30	20	30	227	26
peak150	9	21	36	23	9	25	28	24	10	3	50	3
peak151	109	93	196	128	69	250	233	121	80	67	379	31
peak152	102	106	185	164	111	403	247	132	98	129	653	60
peak153	108	93	228	169	119	500	256	112	94	140	958	82
peak154	37	30	58	44	28	64	78	42	31	36	177	8
peak155	111	102	164	129	76	246	224	122	93	89	527	56
peak156	20	12	24	28	9	54	18	6	8	3	17	2
peak157	15	20	33	14	10	33	56	23	12	9	33	4
peak158	23	25	48	7	11	35	53	24	15	16	48	7
peak159	34	34	77	42	38	223	88	45	15	66	298	35
peak160	25	31	48	8	1	22	56	23	21	14	45	5
peak161	93	85	164	38	27	93	255	92	81	22	137	16
peak162	206	148	251	179	129	436	364	187	174	120	808	72
peak163	91	63	165	36	18	98	192	93	70	16	97	12
peak164	7	3	10	5	9	19	5	1	1	6	16	6
peak165	19	22	38	13	4	20	29	15	10	22	37	4
peak166	43	36	114	49	25	95	130	56	54	30	134	11
peak167	422	393	706	686	425	1674	1026	453	315	481	2351	277
peak168	162	161	316	256	136	528	376	168	167	151	729	71
peak169	136	137	287	383	235	820	315	161	124	233	1319	120
peak170	2	6	3	4	2	21	2	6	2	3	26	2
peak171	96	108	223	113	92	355	281	115	98	54	403	67
peak172	19	18	33	17	15	64	23	14	21	6	65	6
peak173	19	28	70	34	54	158	56	31	18	80	291	17
peak174	3	2	11	4	8	34	6	2	4	11	39	3
peak175	5	9	23	18	12	58	30	11	9	7	111	7
peak176	49	48	82	25	15	73	138	55	63	17	78	5
peak177	84	86	133	161	117	371	211	103	74	101	732	68
peak178	87	79	154	66	32	97	197	83	75	39	191	14
peak179	37	27	58	39	25	102	68	27	19	26	92	21
peak180	5	20	34	17	9	16	28	14	16	2	19	5
peak181	20	22	49	43	16	94	62	32	23	19	67	11
peak182	1	1	5	5	1	10	5	1	3	3	9	3
peak183	70	85	170	35	25	117	227	86	57	32	115	12
peak184	6	11	14	8	7	19	15	6	1	6	42	1
peak185	16	13	36	1	10	58	36	10	12	6	59	5
peak186	193	239	475	97	85	353	739	280	228	92	303	37
peak187	767	815	1843	476	345	1565	2775	1240	860	417	1961	189
peak188	652	669	1451	1513	970	4668	2258	967	673	1280	6266	679
peak189	413	432	967	346	231	887	1614	653	473	258	1069	97
peak190	45	56	78	66	56	175	121	57	50	31	306	32
peak191	56	52	93	60	57	115	133	54	56	57	263	29
peak192	80	73	171	137	100	404	227	107	81	127	528	57
peak193	207	204	486	310	232	1020	551	248	187	299	1300	181
peak194	90	93	223	141	95	354	257	104	86	144	492	46
peak195	125	163	365	465	333	1788	488	182	128	430	2022	233
peak196	143	138	276	127	79	342	388	134	132	60	320	44
peak197	241	265	413	312	157	882	630	239	204	213	1076	100
peak198	418	365	760	738	478	1862	896	421	299	529	3992	289
peak199	98	110	190	82	45	196	256	128	97	65	401	31
peak200	11	6	6	8	6	24	14	5	2	6	55	9
peak201	166	201	534	340	253	1346	674	261	248	396	2132	156
peak202	164	140	319	350	199	738	367	186	132	210	1057	140
peak203	13	15	36	0	3	13	46	18	8	8	56	5
peak204	30	32	81	25	15	81	115	40	34	21	82	9
peak205	17	23	40	23	9	63	54	21	21	13	73	5
peak206	11	13	32	15	8	33	22	19	11	7	51	4
peak207	33	46	86	20	31	60	96	35	26	31	123	13
peak208	64	83	191	48	45	205	179	84	77	43	316	38
peak209	9	14	31	8	5	15	26	6	11	10	20	3
peak210	170	238	544	329	236	1257	610	210	193	224	926	166
peak211	293	379	826	427	274	1500	1001	397	305	246	1204	167
peak212	24	38	78	19	15	80	90	29	31	22	42	6
peak213	114	129	300	72	57	252	317	115	102	46	273	28
peak214	182	234	516	508	343	1754	590	227	176	475	1890	231
peak215	33	36	83	57	46	150	64	39	19	58	212	17
peak216	19	12	24	6	5	37	43	13	9	7	12	4
peak217	41	46	85	36	27	94	86	29	30	18	114	20
peak218	10	8	28	22	14	68	18	10	11	3	39	6
peak219	6	3	7	4	6	15	14	5	4	2	1	2
peak220	33	51	86	22	14	76	90	36	30	41	116	14
peak221	169	185	469	379	325	1773	459	166	148	478	2229	241
peak222	103	81	143	152	100	420	229	98	72	136	824	55
peak223	29	26	54	17	12	30	81	39	28	8	64	10
peak224	161	148	231	171	99	388	355	172	145	151	611	65
peak225	350	299	546	643	383	1477	841	301	260	353	1908	241
peak226	488	471	878	722	502	1767	1255	502	425	454	2444	296
peak227	486	422	681	1012	583	1785	1191	447	406	499	2457	307
peak228	8	10	30	19	10	62	18	11	4	19	96	17
peak229	1	2	5	1	0	5	4	0	2	6	11	2
peak230	6	10	12	6	3	26	18	6	5	10	50	6
peak231	2	2	10	4	0	7	12	1	0	0	11	2
peak232	56	65	137	78	52	150	199	60	67	67	285	28
peak233	26	45	88	35	25	125	94	25	19	31	186	26
peak234	246	243	404	131	108	318	531	216	179	112	784	53
peak235	120	136	246	151	115	401	326	91	103	223	771	67
peak236	22	25	68	20	5	45	90	22	23	18	41	5
peak237	10	17	35	24	10	38	57	19	17	7	26	6
peak238	30	31	73	21	23	104	108	33	33	28	112	8
peak239	7	11	27	4	1	31	25	13	14	8	18	4
peak240	91	103	147	110	55	310	249	96	86	58	296	32
peak241	102	101	234	267	143	581	364	172	117	152	1036	98
peak242	145	126	248	210	121	470	297	145	138	82	621	56
peak243	176	133	285	189	105	405	334	159	147	89	501	58
peak244	306	270	559	651	356	1390	715	330	241	389	1800	193
peak245	78	110	164	81	62	186	238	99	67	84	561	46
peak246	49	64	121	53	32	167	146	58	48	41	165	18
peak247	163	201	432	174	140	694	718	269	215	197	945	90
peak248	20	20	37	21	15	49	53	11	22	20	82	8
peak249	284	275	798	930	662	3405	861	320	322	858	3980	434
peak250	23	17	41	25	30	109	46	18	21	55	250	16
peak251	691	643	1453	517	316	1329	1724	632	601	440	1690	204
peak252	229	197	468	153	101	480	544	230	174	116	553	63
peak253	173	156	399	297	212	768	587	271	208	410	2185	156
peak254	491	499	1108	854	596	2358	1462	721	584	1172	7009	468
peak255	383	382	876	700	480	2034	1099	525	371	874	5543	391
peak256	21	31	33	16	13	33	48	15	9	15	50	6
peak257	20	50	78	31	38	120	92	41	33	25	155	18
peak258	11	17	32	9	3	28	43	17	14	5	42	2
peak259	12	5	23	17	26	68	10	3	4	23	50	3
peak260	9	5	9	34	15	39	4	1	3	6	20	7
peak261	132	133	212	146	114	482	322	131	109	134	640	60
peak262	208	236	439	261	202	771	676	252	189	238	1026	108
peak263	591	665	1482	1246	864	4831	2595	1094	742	921	4358	512
peak264	1658	1834	3692	5407	4060	15434	6614	2807	1973	3458	16816	2515
peak265	579	790	1416	1360	882	4372	2637	1166	853	903	4245	509
peak266	17	20	23	58	27	133	48	15	9	30	202	29
peak267	30	35	67	25	23	71	84	42	32	14	103	6
peak268	20	21	50	13	7	27	53	18	22	15	31	5
peak269	41	34	68	65	37	150	96	37	31	72	225	25
peak270	284	266	596	455	286	1151	722	274	255	278	1468	161
peak271	332	310	571	242	140	522	641	303	238	122	684	70
peak272	2	2	12	2	1	5	13	3	4	0	14	0
peak273	216	186	367	269	178	579	540	215	164	163	747	78
peak274	365	360	819	1117	672	2910	1108	443	344	647	3129	352
peak275	888	830	1931	957	623	2920	2252	928	821	654	3220	452
peak276	16	9	35	5	8	24	52	13	14	14	47	2
peak277	36	33	94	16	19	47	98	46	28	22	105	9
peak278	15	15	31	6	8	30	36	16	12	13	66	4
peak279	156	160	356	53	52	201	368	166	136	59	215	44
peak280	115	80	194	69	46	164	279	132	79	65	196	22
peak281	39	43	77	30	16	87	106	35	32	26	107	7
peak282	51	50	97	47	29	136	100	30	39	29	181	17
peak283	16	19	34	36	21	69	44	16	14	19	102	11
peak284	1	6	14	4	5	27	12	4	6	5	25	6
peak285	26	49	92	39	29	99	92	42	37	59	324	25
peak286	372	392	878	594	442	1599	1308	503	388	576	2346	222
peak287	233	202	446	650	412	1605	543	220	210	394	1789	252
peak288	30	32	67	79	48	272	101	36	31	85	435	32
peak289	29	26	35	36	19	72	44	29	17	38	143	14
peak290	662	647	1058	700	426	1314	1633	618	544	385	1723	254
peak291	314	328	608	219	149	532	862	320	313	92	470	74
peak292	248	278	471	408	230	993	546	251	228	264	1091	160
peak293	57	63	109	26	31	54	130	56	66	16	68	10
peak294	71	77	137	42	33	58	129	65	56	17	132	10
peak295	106	125	283	83	57	255	327	95	118	39	183	28
peak296	142	206	276	119	91	347	348	146	134	109	461	35
peak297	67	87	131	121	90	325	210	89	68	114	460	43
peak298	40	36	96	58	48	206	127	48	41	54	209	32
peak299	97	85	140	119	67	196	189	95	66	77	320	40
peak300	38	55	48	64	49	151	111	39	41	49	257	16
peak301	13	20	39	2	4	14	50	16	14	4	55	6
peak302	23	30	77	14	4	51	123	27	31	31	47	11
peak303	2	7	4	2	3	5	10	6	2	3	8	1
peak304	7	8	15	11	3	20	21	7	5	11	38	2
peak305	11	4	23	27	13	41	14	8	11	8	59	3
peak306	33	41	74	27	12	102	86	28	31	23	72	5
peak307	21	17	32	29	15	34	38	13	15	10	89	11
peak308	909	922	1997	553	426	1601	2189	809	745	437	1936	257
peak309	284	287	531	1189	827	3307	774	330	237	856	4260	503
peak310	175	192	323	413	292	1085	485	229	176	348	1640	208
peak311	194	182	378	322	197	819	606	226	195	253	1079	117
peak312	6	10	18	18	16	50	12	5	7	19	88	9
peak313	1	6	9	6	0	9	5	3	3	0	12	1
peak314	3	4	6	4	4	8	10	4	3	3	9	1
peak315	2	6	8	12	2	9	15	5	5	5	10	1
peak316	522	500	1050	964	637	2582	1093	504	409	717	3553	386
peak317	1112	826	869	40	9	54	1488	587	570	30	115	11
peak318	48	38	90	88	53	205	57	46	29	58	407	38
peak319	6	11	20	21	13	50	30	13	9	15	62	4
peak320	2	2	12	8	7	29	16	3	6	2	29	3
peak321	71	82	169	76	55	272	233	79	76	64	230	25
peak322	58	57	101	51	27	116	127	62	43	35	85	11
peak323	11	11	30	36	14	93	23	11	6	25	115	22
peak324	6	6	2	5	3	15	8	3	2	2	43	4
peak325	183	157	326	398	286	1070	422	208	166	214	1057	170
peak326	925	939	2364	1644	1279	5574	2737	1126	913	1342	6505	812
peak327	43	53	117	134	114	437	98	37	54	102	496	45
peak328	54	54	101	129	102	290	125	60	40	82	476	51
peak329	284	348	712	248	185	855	805	316	271	199	744	87
peak330	580	655	1295	892	698	2831	1452	624	584	593	2717	377
peak331	99	116	224	94	50	237	277	114	100	66	206	24
peak332	208	125	253	62	65	187	306	153	117	56	230	34
peak333	307	192	354	91	87	211	556	274	217	60	277	46
peak334	215	218	417	354	205	631	550	230	193	220	1077	122
peak335	93	85	165	49	42	149	264	110	82	30	182	24
peak336	261	296	549	219	125	517	779	324	226	137	610	71
peak337	24	21	27	2	6	14	60	17	7	12	44	2
peak338	51	53	112	65	33	184	138	61	42	43	185	19
peak339	355	376	816	764	571	2182	843	343	309	655	2802	343
peak340	24	24	66	10	8	32	53	26	16	8	37	5
peak341	204	272	718	242	178	961	711	294	262	204	1065	118
peak342	13	3	13	43	24	59	7	2	7	3	71	8
peak343	16	12	14	26	10	22	19	6	10	7	22	1
peak344	8	11	15	19	12	34	14	11	9	5	33	8
peak345	339	439	1025	431	282	1349	1007	394	377	244	1243	145
peak346	94	132	197	153	92	599	371	150	99	139	670	61
peak347	173	203	349	186	151	591	453	194	147	146	804	98
peak348	54	65	74	28	14	39	116	64	56	23	136	10
peak349	134	90	236	254	190	711	340	147	103	217	1143	113
peak350	45	49	71	37	16	74	152	59	41	20	129	8
peak351	52	57	103	49	23	105	159	68	38	27	153	16
peak352	36	35	91	36	21	80	91	48	35	39	88	13
peak353	594	629	1311	954	519	2248	1671	657	560	307	1926	258
peak354	120	144	259	285	164	815	304	106	128	214	966	115
peak355	601	559	1157	1163	878	3297	1319	569	466	882	4300	477
peak356	64	55	123	137	93	371	122	61	59	73	493	42
peak357	8	9	8	15	7	38	20	3	3	0	59	5
peak358	19	18	18	12	12	23	18	9	13	12	51	3
peak359	8	10	32	16	11	61	48	15	16	15	70	11
peak360	12	16	17	12	2	20	55	18	8	2	22	5
peak361	22	21	48	22	15	66	82	31	28	16	54	7
peak362	18	18	44	10	5	56	53	18	24	4	70	7
peak363	5	10	18	5	8	35	22	11	13	6	23	4
peak364	8	10	21	15	3	32	27	14	9	8	20	1
peak365	6	4	7	0	2	10	12	8	1	4	15	0
peak366	94	90	210	161	116	458	367	106	100	104	457	62
peak367	9	26	47	35	24	77	58	18	12	47	198	15
peak368	252	300	580	298	197	840	758	305	240	183	663	137
peak369	339	312	588	429	250	1264	922	389	266	393	2085	138
peak370	134	133	252	60	32	148	309	128	95	42	154	21
peak371	15	11	23	9	4	15	29	13	10	9	23	2
peak372	11	15	27	6	3	13	27	9	5	5	35	1
peak373	46	47	126	36	27	133	199	81	68	42	144	19
peak374	108	120	218	145	127	408	236	92	112	94	452	51
peak375	5	5	16	5	6	10	9	1	5	9	35	6
peak376	5	5	13	9	4	24	8	10	6	4	31	3
peak377	48	53	126	78	48	194	122	27	38	48	264	44
peak378	89	113	269	93	72	273	310	159	99	74	369	33
peak379	697	499	1094	539	522	1306	1301	536	509	356	1830	273
peak380	76	51	152	32	22	84	187	96	52	33	158	13
peak381	59	56	144	54	33	80	181	85	68	27	183	13
peak382	249	315	725	314	243	1472	871	318	249	307	1349	159
peak383	14	7	10	31	21	88	22	8	3	11	87	13
peak384	105	93	133	170	93	354	193	121	85	118	751	46
peak385	84	99	162	65	39	131	233	87	73	47	136	13
peak386	50	59	63	27	7	27	137	61	41	21	110	1
peak387	44	57	121	32	27	79	155	63	38	29	141	15
peak388	25	20	33	60	42	138	33	12	11	59	313	14
peak389	19	11	18	15	2	12	26	7	9	4	22	1
peak390	31	36	66	28	24	102	88	33	32	37	149	16
peak391	2	2	5	1	1	6	6	1	2	5	17	0
peak392	18	18	26	26	19	52	20	11	14	11	97	12
peak393	528	464	1018	1259	817	2643	1217	535	428	896	5366	505
peak394	68	97	142	263	165	643	153	54	69	201	778	98
peak395	65	71	140	67	43	144	133	75	66	29	189	23
peak396	41	54	90	17	19	42	117	47	50	9	81	8
peak397	79	69	169	63	23	131	195	65	75	30	168	8
peak398	103	136	257	172	89	430	412	144	135	88	445	51
peak399	249	250	660	143	109	460	731	285	241	96	448	73
peak400	269	332	651	566	374	1641	1393	581	403	318	1873	172
peak401	90	64	131	126	66	225	201	115	69	75	363	45
peak402	168	136	342	233	148	635	273	116	111	142	565	71
peak403	167	178	376	284	183	866	399	146	147	165	740	122
peak404	303	357	704	373	247	1036	577	276	257	231	902	120
peak405	563	626	1300	596	372	1533	1355	515	481	281	1231	223
peak406	69	70	171	19	18	61	220	94	58	15	140	7
peak407	91	100	217	71	49	192	186	103	81	44	226	18
peak408	249	247	646	330	175	854	670	272	210	258	1241	140
peak409	43	39	73	53	23	79	93	45	30	51	118	13
peak410	8	5	6	10	2	12	6	4	6	7	19	1
peak411	3	4	6	8	6	15	9	7	5	2	13	1
peak412	379	320	596	253	169	779	772	336	283	194	1029	83
peak413	72	95	153	32	30	102	203	87	79	25	229	12
peak414	388	329	946	731	560	2189	1113	474	399	803	4231	402
peak415	9	3	8	8	6	12	18	9	2	10	32	0
peak416	12	7	24	26	24	95	14	11	14	13	71	5
peak417	155	126	267	208	159	528	329	158	103	140	811	94
peak418	52	62	156	27	27	83	196	68	60	36	106	15
peak419	72	84	198	110	108	400	194	85	83	129	738	61
peak420	352	384	891	631	404	1963	928	385	352	434	2023	303
peak421	125	124	260	150	69	251	265	144	86	52	315	41
peak422	30	40	61	15	3	30	93	38	29	16	74	7
peak423	111	119	143	106	63	155	227	95	67	44	389	29
peak424	12	7	19	5	6	16	30	12	4	2	34	2
peak425	27	23	37	20	9	47	45	27	24	9	78	7
peak426	19	22	33	48	28	93	42	15	19	34	129	15
peak427	70	48	106	58	38	89	135	69	45	43	242	12
peak428	42	56	91	132	78	257	119	54	55	92	551	57
peak429	40	25	52	23	16	47	69	39	23	11	104	12
peak430	15	15	24	3	4	12	31	12	9	7	55	3
peak431	131	149	267	170	126	454	326	120	122	109	608	66
peak432	33	39	65	16	14	48	55	35	18	31	148	5
peak433	18	21	44	18	14	33	45	9	8	9	70	4
peak434	55	51	143	45	44	191	137	55	38	63	154	23
peak435	85	79	195	49	45	224	197	56	66	65	218	26
peak436	30	36	96	83	67	321	162	59	46	96	363	41
peak437	6	6	17	7	8	36	20	13	1	6	34	2
peak438	9	12	22	15	17	63	24	17	19	13	119	14
peak439	8	3	12	7	5	5	9	7	6	1	51	1
peak440	1	1	4	5	3	1	8	4	4	4	23	1
peak441	8	6	19	15	4	17	21	13	7	14	41	4
peak442	10	3	9	5	3	6	15	4	3	5	24	4
peak443	99	97	241	105	101	310	385	171	120	118	550	37
peak444	96	136	241	202	150	616	259	99	87	172	738	68
peak445	26	37	96	23	18	103	92	29	32	15	108	10
peak446	48	49	128	41	25	119	170	41	64	37	142	19
peak447	3	4	18	4	0	21	20	6	5	12	19	1
peak448	11	12	15	2	7	33	27	15	13	3	49	3
peak449	5	5	14	10	2	22	20	6	3	14	15	2
peak450	2	5	17	5	9	13	6	6	4	8	19	2
peak451	471	533	1163	456	366	1589	1195	432	458	313	1420	193
peak452	22	29	66	15	13	33	81	19	26	17	53	6
peak453	7	5	12	11	10	33	9	1	6	17	34	1
peak454	16	2	14	4	4	21	17	6	10	5	43	4
peak455	10	6	17	18	10	41	27	7	9	8	115	9
peak456	12	10	16	18	15	19	26	7	9	7	79	5
peak457	12	13	43	35	20	75	50	17	15	13	39	9
peak458	22	22	34	17	9	36	43	20	15	11	14	2
peak459	11	5	14	5	5	31	11	4	4	4	12	4
peak460	47	38	97	39	22	100	89	35	24	31	135	13
peak461	125	118	241	249	120	684	293	95	84	167	658	91
peak462	20	16	40	21	26	57	57	20	17	12	115	11
peak463	417	471	825	171	113	481	1004	456	384	87	545	78
peak464	37	58	117	136	80	421	192	44	57	90	410	54
peak465	50	62	107	29	27	95	152	69	53	46	138	8
peak466	45	55	97	11	13	68	115	39	29	27	68	11
peak467	787	893	1961	1516	1133	4798	3097	1222	965	1097	5710	712
peak468	802	746	1604	908	570	2368	2044	880	686	688	4181	329
peak469	83	78	136	36	15	48	189	85	81	27	159	21
peak470	69	65	109	30	22	69	134	61	61	19	125	14
peak471	680	536	961	666	459	1313	1377	632	546	424	2988	287
peak472	384	284	622	119	80	255	757	353	307	99	537	46
peak473	147	139	277	178	108	393	324	141	107	99	547	62
peak474	26	23	51	40	37	86	65	42	27	51	225	19
peak475	527	494	847	431	312	1113	1179	488	374	218	785	152
peak476	34	21	86	11	17	34	110	33	36	6	58	12
peak477	38	48	119	22	18	107	132	65	39	28	116	6
peak478	15	21	40	9	8	30	50	15	27	9	47	2
peak479	279	255	527	235	161	689	593	254	231	166	811	89
peak480	324	311	747	368	231	830	927	399	314	262	976	137
peak481	1	3	4	3	3	1	4	0	2	4	3	0
