control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak143	108	214	657	1166	62	147	225	898
peak144	24	80	402	786	33	42	453	269
peak145	297	482	1399	1247	224	200	486	271
peak146	1520	3438	13132	26345	1308	1018	6287	7587
peak147	923	1334	1272	1401	777	761	1002	909
peak148	87	125	322	503	78	106	378	405
peak149	131	247	703	1080	79	96	335	382
peak150	82	120	818	1218	41	52	258	386
peak151	95	199	461	754	86	94	180	333
peak152	34	68	406	454	27	31	171	228
peak153	157	295	371	557	155	104	425	120
peak154	2454	8632	4690	12462	1446	664	1767	792
peak155	1047	3633	2735	7651	562	280	892	534
peak156	809	2697	1080	3114	483	211	316	181
peak157	2778	9596	3318	10631	1526	693	1465	1051
peak158	2607	9834	10975	39558	1606	635	3690	2677
peak159	648	1813	1730	5828	353	116	797	230
peak160	1682	4661	15171	33746	1116	408	5337	3081
peak161	135	274	1594	1548	139	126	626	896
peak162	163	356	1001	1451	185	223	680	787
peak163	1278	2074	2665	3150	852	1221	1246	2012
peak164	1027	1779	3291	3878	646	1053	1198	2546
peak165	201	357	712	841	185	180	334	704
peak166	151	197	904	638	123	177	432	388
peak167	278	717	1045	2206	324	355	1108	1336
peak168	150	433	987	2192	251	291	936	1147
peak169	182	336	2801	2826	42	31	240	273
peak170	44	88	372	477	11	3	84	121
peak171	1184	1616	2737	3156	755	635	1129	997
peak172	2864	3768	3170	3669	2097	1631	1465	1684
peak173	233	328	1360	1494	277	227	1401	1434
peak174	47	169	360	805	13	8	224	0
peak175	51	110	358	738	12	12	0	0
peak176	70	118	437	1201	16	12	50	166
peak177	77	125	231	506	50	107	0	207
peak178	656	1912	1702	4068	1875	3018	3314	8010
peak179	348	863	243	874	329	262	449	96
peak180	303	631	2544	3163	339	292	1164	924
peak181	260	463	2159	1988	251	173	843	877
peak182	194	235	898	328	159	154	272	746
peak183	512	859	2670	2472	408	354	749	725
peak184	426	861	727	947	317	624	335	775
