control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak4215	269	29	628	529	638	448	128	45	33	28	31	10
peak4216	606	87	1659	2203	2325	3420	295	77	75	155	136	77
peak4217	60	4	65	1249	813	953	129	40	27	216	137	106
peak4218	104	12	160	365	273	259	49	16	12	23	22	9
peak4219	50	4	66	135	116	210	69	18	22	41	33	22
peak4220	48	0	71	1527	1312	1490	87	33	19	154	105	99
peak4221	5	2	27	71	230	197	1	0	1	0	1	0
peak4222	24	4	26	311	190	174	43	9	9	27	34	18
peak4223	27	2	35	142	101	92	45	5	12	21	19	10
peak4224	24	2	24	119	83	67	42	10	11	14	23	6
peak4225	22	1	35	58	53	38	46	11	13	27	21	10
peak4226	308	27	416	3558	4245	3339	221	67	73	284	287	142
peak4227	66	3	74	115	113	121	44	17	11	17	16	5
peak4228	10	1	12	54	54	28	6	2	1	2	3	0
peak4229	50	5	75	758	1232	738	109	35	23	143	118	79
peak4230	10	1	6	70	54	66	3	4	4	2	7	1
peak4231	32	2	51	161	141	159	25	5	9	7	7	6
peak4232	10	0	9	58	123	83	9	4	1	6	8	7
peak4233	224	31	605	1153	684	1366	476	132	117	367	298	178
peak4234	168	16	239	1532	1435	1302	186	49	54	191	186	95
peak4235	27	2	44	149	208	155	38	10	2	10	17	8
peak4236	10	0	12	76	127	92	28	13	4	31	20	11
peak4237	54	8	89	961	1223	972	18	7	5	17	21	15
peak4238	122	13	177	1587	1606	1489	60	20	14	45	41	21
peak4239	28	6	34	47	56	37	7	4	2	2	3	1
peak4240	72	9	94	941	1395	1108	26	10	11	17	27	9
peak4241	15	0	10	136	82	109	6	0	0	4	4	4
peak4242	60	7	100	1404	1774	1773	77	18	18	156	115	73
peak4243	22	5	47	223	164	224	24	15	7	60	34	23
peak4244	66	6	108	922	1157	884	55	22	26	77	66	43
peak4245	11	1	33	85	110	74	13	7	8	17	18	8
peak4246	47	10	90	178	594	329	217	75	61	85	112	54
peak4247	402	57	642	1451	2576	1676	625	217	162	218	265	138
peak4248	6	1	7	113	105	84	5	0	2	7	6	7
peak4249	26	2	74	134	110	145	62	14	8	23	16	10
peak4250	10	0	18	45	82	73	8	1	1	0	4	1
peak4251	19	2	39	404	811	446	3	1	2	9	8	6
peak4252	22	0	14	105	115	55	32	15	5	23	21	16
peak4253	67	2	41	58	20	38	82	23	10	50	38	33
peak4254	565	93	1521	1587	3047	3610	313	114	62	209	230	145
peak4255	14	2	29	70	60	157	25	8	6	27	30	5
peak4256	41	2	67	153	152	163	64	12	17	48	42	20
peak4257	66	7	102	768	668	720	97	20	23	84	88	37
peak4258	36	1	58	112	153	197	71	12	18	49	69	36
peak4259	471	35	526	4051	4427	3863	674	207	181	563	577	326
peak4260	7	1	8	84	36	67	52	13	6	95	41	42
peak4261	159	22	208	1180	1205	1186	172	69	48	154	168	73
peak4262	55	7	91	248	268	181	89	25	16	85	79	59
peak4263	65	8	107	208	340	215	103	32	40	63	83	35
peak4264	38	5	46	308	303	200	35	8	9	19	30	9
peak4265	55	4	88	77	34	63	79	22	9	45	36	17
peak4266	12	0	18	54	49	82	27	6	6	12	13	4
peak4267	4	0	14	111	134	146	19	2	5	31	24	17
peak4268	21	0	24	505	835	483	60	24	8	80	88	45
peak4269	4	2	8	111	55	88	0	0	0	1	1	0
peak4270	4	0	2	69	21	59	0	1	0	2	0	0
peak4271	18	0	30	111	51	71	22	2	2	17	13	3
peak4272	66	5	76	794	600	562	64	11	8	68	54	38
peak4273	16	1	14	169	80	86	97	26	18	84	73	48
peak4274	6	0	10	39	41	34	30	11	5	29	34	16
peak4275	91	6	92	588	839	732	295	87	75	257	261	124
peak4276	35	1	26	88	163	81	90	28	22	41	48	20
peak4277	28	1	23	157	50	53	39	11	8	31	23	18
peak4278	16	0	12	93	26	51	44	13	7	34	18	18
peak4279	60	5	66	119	98	151	36	8	5	20	16	7
peak4280	156	9	140	373	248	308	39	13	10	28	25	9
peak4281	838	47	811	19496	21410	14491	381	95	85	609	640	295
peak4282	2292	167	3866	709	521	1168	3030	1010	583	454	420	252
peak4283	2110	246	4915	17913	24815	18726	3584	1233	888	7426	6615	3610
peak4284	5	1	7	244	269	178	13	4	4	39	18	19
peak4285	21	7	50	63	86	84	25	12	10	6	11	8
peak4286	52	5	116	483	803	709	81	19	20	55	69	44
peak4287	57	3	116	935	1890	1371	70	15	11	99	88	42
peak4288	21	1	28	178	119	173	24	6	3	41	16	11
peak4289	56	10	85	858	1236	1112	50	18	16	65	65	37
peak4290	21	1	23	64	49	68	45	15	14	9	9	7
peak4291	13	0	13	73	70	73	7	1	1	6	2	3
peak4292	83	11	131	228	243	147	340	145	85	120	105	39
peak4293	113	7	179	2037	2420	1927	136	47	38	202	146	72
peak4294	4	2	12	137	143	102	20	3	3	45	38	15
peak4295	47	1	60	261	118	154	2	5	4	7	5	1
peak4296	105	10	180	1578	2006	1449	81	21	22	99	81	62
peak4297	48	7	50	112	93	47	52	15	13	23	33	16
peak4298	52	7	81	889	1637	1074	62	21	16	99	80	39
peak4299	8	1	11	135	257	148	4	1	2	6	5	2
peak4300	314	43	424	311	259	265	507	160	125	214	201	137
peak4301	119	4	131	443	307	289	170	52	35	88	66	60
peak4302	85	7	94	849	913	641	103	38	21	86	79	64
peak4303	313	35	519	1780	1104	1051	637	217	137	445	533	342
peak4304	99	3	137	1553	1030	1032	290	100	76	373	459	303
peak4305	10	0	17	87	138	120	20	7	4	29	24	21
peak4306	12	2	13	121	208	171	24	11	10	52	37	12
peak4307	71	6	93	68	42	37	119	19	13	23	34	4
peak4308	176	6	191	685	410	304	146	45	21	76	68	35
peak4309	2199	238	4596	9822	8324	8693	2513	986	699	2288	2250	1409
peak4310	2480	228	3595	2088	1185	2347	2683	1019	628	565	588	415
peak4311	24	2	33	160	153	109	30	9	8	51	45	29
peak4312	36	2	57	71	62	69	52	6	11	26	30	16
peak4313	75	11	102	238	157	187	104	27	30	34	30	12
peak4314	166	22	252	1986	2469	2032	220	75	51	188	187	103
peak4315	64	8	83	100	95	98	98	28	26	37	40	27
peak4316	27	2	20	67	22	35	17	4	3	12	12	6
peak4317	20	0	18	95	110	79	10	6	2	6	14	5
peak4318	452	37	559	1466	1041	964	52	16	18	64	48	31
peak4319	31	6	25	324	173	144	41	13	11	34	41	13
peak4320	19	1	4	64	29	37	18	7	5	16	10	4
peak4321	267	16	241	2524	1108	1386	62	19	14	45	42	18
peak4322	28	1	19	123	36	38	9	5	3	16	7	4
peak4323	46	0	38	121	39	43	24	11	2	19	13	5
peak4324	104	7	94	451	365	354	78	22	24	40	37	22
peak4325	8	0	16	155	150	121	12	3	3	19	21	8
peak4326	20	3	17	128	145	112	20	6	7	20	22	13
peak4327	14	3	22	152	296	197	22	6	5	27	37	18
peak4328	32	2	32	127	109	113	58	25	24	48	64	32
peak4329	23	1	23	59	30	49	40	12	20	19	31	14
peak4330	105	8	224	637	1305	1367	110	31	26	133	133	58
peak4331	175	26	351	1527	4427	2512	124	48	29	109	91	54
peak4332	182	21	380	1538	3192	2537	139	52	24	151	137	81
peak4333	124	13	219	302	274	309	41	7	12	14	15	2
peak4334	183	15	264	1798	1999	1875	33	13	6	42	49	26
peak4335	110	11	158	393	248	456	22	5	3	16	9	6
peak4336	128	8	137	439	627	370	23	3	3	11	10	7
peak4337	77	3	78	857	1123	656	17	9	2	42	35	15
peak4338	3	1	4	113	138	63	2	2	1	7	8	8
peak4339	77	8	96	331	398	241	486	153	114	414	418	240
peak4340	47	4	74	66	31	51	86	23	15	85	65	36
peak4341	104	8	179	83	53	110	141	31	28	77	71	42
peak4342	112	7	82	669	477	421	245	76	54	212	172	97
peak4343	5	0	8	98	92	77	22	5	6	30	30	11
peak4344	142	6	202	531	283	477	173	57	44	159	145	131
peak4345	401	22	562	2091	1449	1754	519	147	88	674	552	420
peak4346	227	11	281	753	730	751	272	83	53	185	159	116
peak4347	388	18	577	1403	2886	1841	377	123	80	131	157	108
peak4348	126	14	178	352	622	430	46	12	23	23	17	9
peak4349	175	18	262	1545	2924	1892	58	17	16	45	53	31
peak4350	19	5	37	55	35	35	30	13	14	9	17	3
peak4351	50	6	94	1194	1490	1096	96	29	30	130	140	66
peak4352	82	7	114	897	1416	1077	101	32	20	140	118	65
peak4353	90	14	119	1519	1460	1425	211	75	59	270	192	143
peak4354	478	36	704	6069	7470	5950	378	112	82	374	340	218
peak4355	7	0	21	96	85	129	33	10	8	37	21	19
peak4356	21	0	35	1249	1015	1153	40	14	6	59	47	34
peak4357	32	0	42	184	105	199	31	13	7	14	16	4
peak4358	30	2	57	221	237	220	26	11	5	20	21	13
peak4359	14	1	20	135	136	129	23	7	3	24	12	13
peak4360	87	2	92	540	253	370	134	42	24	108	106	44
peak4361	42	7	86	153	232	160	74	20	20	35	42	26
peak4362	41	1	86	234	164	212	95	30	16	51	59	33
peak4363	71	5	88	395	174	234	72	23	20	45	46	18
peak4364	4	0	3	58	19	27	3	0	0	3	2	1
peak4365	7	0	5	157	125	64	9	5	2	11	6	4
peak4366	78	10	110	213	81	100	48	20	15	18	16	17
peak4367	40	3	60	77	49	70	54	22	11	13	15	9
peak4368	29	0	17	205	151	79	9	2	3	7	6	4
peak4369	113	8	99	1348	1021	688	44	11	8	52	40	17
peak4370	13	2	5	44	26	13	8	1	1	1	1	2
peak4371	32	3	50	439	406	417	15	6	3	16	18	14
peak4372	25	2	27	11	4	24	86	21	14	27	23	26
peak4373	90	11	171	240	483	259	142	41	48	51	57	27
peak4374	62	4	94	93	69	170	89	29	17	59	61	23
peak4375	394	60	730	1501	2429	1995	304	111	68	94	125	64
peak4376	162	14	239	2198	3543	2340	248	65	67	315	280	200
peak4377	172	10	302	305	239	291	85	37	15	11	15	4
peak4378	595	47	1026	8185	6477	8070	164	40	33	145	137	72
peak4379	10	0	14	249	159	145	3	0	1	3	3	1
peak4380	85	5	127	909	1231	844	10	0	0	10	10	2
peak4381	43	5	71	205	155	188	4	1	4	5	4	3
peak4382	78	12	138	252	260	317	12	4	2	8	8	4
peak4383	22	3	47	118	61	93	1	1	0	4	2	2
peak4384	4	3	2	102	71	38	0	1	0	2	2	0
peak4385	2	1	0	62	38	25	0	0	0	0	3	0
peak4386	53	2	74	882	382	636	91	26	17	113	84	64
peak4387	75	7	165	757	404	515	169	42	41	180	122	103
peak4388	245	10	275	497	105	201	58	16	10	20	20	8
peak4389	11	1	14	308	299	195	13	8	2	21	19	12
peak4390	20	2	25	547	334	365	26	9	9	47	40	10
peak4391	124	16	229	845	661	797	239	79	47	99	78	53
peak4392	206	22	344	750	632	981	363	115	86	208	187	105
peak4393	130	8	171	802	330	448	212	58	41	110	72	62
peak4394	12	4	25	20	45	77	16	5	3	9	19	3
peak4395	7	0	22	47	91	106	10	2	5	31	22	14
peak4396	119	18	233	1852	3220	2475	247	71	77	405	348	176
peak4397	260	28	490	1503	1422	1909	217	77	52	231	254	106
peak4398	9	1	9	180	67	109	18	5	3	17	17	7
peak4399	12	1	12	230	121	130	12	2	3	18	11	5
peak4400	94	5	126	148	56	89	30	6	4	8	6	6
peak4401	438	29	471	4152	2178	2364	78	23	15	81	71	31
peak4402	717	44	800	19919	8807	11520	104	29	22	164	117	64
peak4403	43	2	44	236	246	237	63	12	11	73	69	44
peak4404	131	8	216	476	324	280	150	35	23	80	83	54
peak4405	82	8	133	657	468	385	80	25	12	55	61	49
peak4406	15	0	18	252	99	96	47	16	11	80	53	38
peak4407	112	7	193	2079	1737	1939	150	51	31	258	226	120
peak4408	4	0	5	67	14	13	0	0	0	1	0	0
peak4409	2	0	2	104	26	45	0	1	0	0	0	0
peak4410	34	4	51	49	24	33	54	15	13	28	27	16
peak4411	60	3	88	531	442	446	75	19	8	55	51	36
peak4412	26	6	55	129	180	162	27	12	12	16	15	11
peak4413	20	0	23	111	69	73	46	17	3	31	20	11
peak4414	23	0	31	159	79	88	67	9	10	43	41	27
peak4415	14	2	5	19	5	20	29	12	4	42	18	23
peak4416	10	0	14	298	219	196	55	13	8	70	56	28
peak4417	118	6	113	572	949	570	222	80	42	213	183	90
peak4418	5	0	14	165	68	100	48	14	8	40	39	20
peak4419	4	0	8	103	45	73	21	8	4	29	28	6
peak4420	40	2	43	98	77	104	55	13	8	26	11	7
peak4421	37	4	62	161	64	128	37	4	8	7	12	10
peak4422	56	2	49	151	60	106	66	23	11	32	27	14
peak4423	126	5	124	807	350	399	146	47	24	100	77	45
peak4424	25	2	32	374	128	270	43	21	9	152	84	53
peak4425	64	3	76	126	42	61	82	32	18	15	14	6
peak4426	32	5	60	240	653	407	15	1	4	11	14	5
peak4427	16	3	50	63	152	173	15	6	3	5	9	7
peak4428	40	2	46	201	117	155	12	2	4	6	4	1
peak4429	38	2	44	614	807	586	71	27	19	85	82	45
peak4430	229	17	283	1927	1901	1704	389	137	100	349	349	174
peak4431	28	2	33	24	4	12	43	14	10	38	19	18
peak4432	336	17	286	3713	2271	1660	85	32	20	92	49	39
peak4433	188	19	135	657	439	382	41	18	8	35	30	21
peak4434	397	42	314	766	1032	468	80	26	21	47	45	17
peak4435	21	2	11	92	41	41	16	7	6	27	12	16
peak4436	11	0	9	97	84	49	10	6	5	15	14	10
peak4437	16	0	11	335	280	352	21	8	5	43	47	23
peak4438	15	3	16	164	133	150	30	11	6	36	45	20
peak4439	155	11	237	1263	421	872	170	56	31	101	107	59
peak4440	35	1	60	241	66	182	67	18	11	30	36	20
peak4441	42	4	81	156	25	125	111	21	14	35	27	13
peak4442	20	0	66	119	49	77	67	14	16	21	16	17
peak4443	36	4	55	244	94	107	64	16	21	34	20	25
peak4444	12	2	5	148	56	73	1	0	0	1	1	0
peak4445	12	1	17	309	262	167	14	4	3	16	13	6
peak4446	41	5	79	389	171	326	5	5	2	15	9	1
peak4447	5	0	6	160	108	120	0	0	0	3	2	2
peak4448	6	0	7	190	109	107	2	0	1	4	1	1
peak4449	4	0	7	92	52	53	1	0	0	3	2	2
peak4450	145	8	235	997	1080	1001	18	3	5	11	9	7
peak4451	35	2	45	69	19	39	1	1	2	4	0	1
peak4452	48	2	35	1203	454	512	13	2	0	16	8	2
peak4453	10	0	5	256	97	84	2	0	0	4	1	0
peak4454	21	1	15	99	33	34	2	1	0	0	0	1
peak4455	7	0	1	60	48	41	0	0	0	0	0	0
peak4456	90	8	138	622	583	519	6	2	3	6	7	2
peak4457	38	3	66	201	141	113	2	1	0	1	1	1
peak4458	1	0	0	112	27	43	0	0	0	1	1	0
peak4459	80	3	93	659	226	373	104	34	25	57	58	39
peak4460	40	1	43	44	6	27	62	16	10	33	39	26
peak4461	67	1	69	62	11	49	81	34	16	66	53	27
peak4462	30	0	24	94	13	40	47	20	8	69	46	29
peak4463	29	4	46	502	234	305	103	33	16	132	84	59
peak4464	15	0	14	216	114	120	52	10	6	63	53	33
peak4465	91	6	122	196	45	197	253	65	34	104	114	63
peak4466	47	5	89	292	204	315	185	44	38	186	159	92
peak4467	11	2	30	84	260	218	27	11	8	20	23	2
peak4468	26	3	61	301	692	666	29	9	9	65	47	29
peak4469	12	0	39	217	622	661	19	10	4	44	47	22
peak4470	10	1	13	107	73	105	8	6	1	10	3	3
peak4471	11	0	10	115	55	75	9	1	4	9	4	3
peak4472	17	0	11	127	56	75	6	3	0	8	8	4
peak4473	15	3	33	169	57	75	24	3	4	21	19	11
peak4474	120	4	106	5186	2132	2531	106	21	17	194	135	87
peak4475	3	0	3	38	44	54	0	0	0	1	1	3
peak4476	158	22	360	3253	5770	4823	139	48	32	206	165	108
peak4477	18	3	63	155	74	217	24	8	6	14	14	11
peak4478	120	14	148	1200	1327	1215	257	85	51	275	228	111
peak4479	69	17	116	269	475	306	164	67	57	71	85	46
peak4480	17	1	33	172	205	160	52	21	15	91	74	47
peak4481	89	2	102	2126	1563	1445	58	12	18	91	85	46
peak4482	11	3	13	147	155	119	6	1	0	3	10	2
peak4483	559	38	588	8761	4783	4898	218	59	25	188	143	84
peak4484	134	5	158	255	76	116	56	13	10	28	19	17
peak4485	92	5	114	107	41	59	52	19	6	12	7	10
peak4486	107	2	107	208	45	113	59	6	6	27	22	12
peak4487	225	16	246	2394	1124	1028	122	31	19	79	64	27
peak4488	8	2	8	103	157	152	6	1	0	8	1	4
peak4489	15	0	12	211	72	136	5	1	1	4	5	4
peak4490	20655	1721	35647	155560	108150	187463	574	154	148	426	488	212
peak4491	2624	349	6407	28616	11239	31870	117	34	21	121	160	57
peak4492	22	1	17	502	217	258	2	0	0	0	2	2
peak4493	11	2	11	255	110	162	0	0	0	2	2	0
peak4494	2208	123	2803	21241	7483	11484	129	43	30	185	179	86
peak4495	1840	125	2872	14655	4570	11054	72	20	21	103	56	50
peak4496	382	21	499	6506	6525	5307	469	160	118	721	767	369
peak4497	192	21	213	1158	665	960	189	69	43	171	200	95
peak4498	31	0	54	121	39	95	13	9	4	7	7	3
peak4499	34	0	54	157	37	111	21	4	2	31	14	16
peak4500	32	0	32	81	18	63	11	4	1	9	11	9
peak4501	24	1	46	217	48	103	20	6	4	15	12	9
peak4502	6	1	17	82	36	73	29	7	9	12	8	16
peak4503	142	11	205	178	57	120	319	100	82	118	97	44
peak4504	37	6	48	250	164	177	90	31	21	53	56	41
peak4505	62	2	72	788	327	417	128	49	28	126	120	79
peak4506	15	3	39	64	166	129	2	0	0	0	1	0
peak4507	51	7	95	287	795	549	6	0	1	8	9	2
peak4508	41	7	74	186	405	407	11	1	1	4	5	1
peak4509	47	11	120	123	61	162	281	86	47	129	122	97
peak4510	9	0	29	93	37	39	19	10	5	7	6	13
peak4511	0	0	7	55	59	56	7	2	1	14	15	7
peak4512	48	4	77	418	147	344	71	28	15	52	38	35
peak4513	101	13	180	4188	2261	3352	174	65	29	377	273	197
peak4514	185	13	310	1746	865	1338	355	102	90	564	454	337
peak4515	85	7	137	1019	481	762	176	52	33	337	265	207
peak4516	66	3	86	131	29	101	138	38	19	98	71	50
peak4517	361	38	626	3127	1573	2612	618	178	111	284	316	170
peak4518	258	21	613	3130	2559	3582	69	24	16	63	32	41
peak4519	128	11	351	656	368	645	47	10	5	20	19	13
peak4520	208	45	567	3140	6521	5735	86	24	23	67	94	49
peak4521	52	8	124	272	653	581	16	1	2	10	10	9
peak4522	31	2	95	290	630	615	8	2	1	15	8	4
peak4523	22	4	49	99	62	57	12	5	6	13	12	2
peak4524	98	5	94	153	136	115	61	11	9	22	18	14
peak4525	263	17	246	651	770	485	105	43	18	46	58	25
peak4526	281	19	297	887	855	750	118	37	24	49	56	28
peak4527	90	5	76	120	43	100	39	12	13	9	10	2
peak4528	107	9	121	485	249	283	49	12	16	24	28	12
peak4529	56	7	96	637	748	869	84	29	17	88	81	55
peak4530	2	0	2	73	77	65	0	0	0	1	1	2
peak4531	5	0	5	86	190	163	0	0	0	3	2	0
peak4532	4	0	5	61	97	96	4	0	1	0	1	1
peak4533	40	1	51	664	300	335	56	19	10	46	31	18
peak4534	1015	90	1773	3619	2633	2216	1303	418	277	612	504	400
peak4535	205	5	328	4464	2213	3759	126	49	27	139	128	89
peak4536	253	12	350	8822	3928	5792	123	58	24	187	143	96
peak4537	58	3	90	378	130	358	17	11	5	20	19	11
peak4538	11	0	16	109	134	90	9	2	5	31	23	17
peak4539	26	1	52	226	72	99	62	17	8	27	25	22
peak4540	34	2	62	450	234	356	60	21	14	49	47	33
peak4541	44	2	65	81	32	73	60	20	15	27	24	9
peak4542	77	0	125	463	265	369	157	43	31	62	36	32
peak4543	49	3	98	281	438	545	75	19	16	53	61	28
peak4544	15	0	31	99	33	66	42	11	6	26	27	14
peak4545	11	1	27	192	79	128	63	10	14	56	47	27
peak4546	107	8	192	1339	778	1132	228	69	59	173	138	107
peak4547	4	1	12	95	75	108	31	7	11	26	23	11
peak4548	8	1	19	339	484	324	24	6	2	55	52	23
peak4549	65	3	153	1175	1096	1433	55	15	9	46	52	32
peak4550	75	5	154	557	571	622	72	24	17	84	62	32
peak4551	85	18	303	401	628	693	40	8	10	21	13	11
peak4552	222	48	879	710	1026	1529	77	19	20	30	29	13
peak4553	82	13	300	265	279	587	36	8	5	14	9	8
peak4554	119	18	364	758	1585	1355	33	8	8	25	16	6
peak4555	11	1	8	97	55	36	12	4	3	14	10	8
peak4556	44	4	43	784	695	482	58	16	14	117	86	46
peak4557	856	113	1907	5202	6905	7643	1837	591	489	2299	2266	1347
peak4558	483	36	981	1885	2056	2733	1339	411	267	1220	1095	739
peak4559	260	16	508	295	156	427	770	250	127	177	192	118
peak4560	489	41	1007	139	87	220	1063	320	223	173	178	105
peak4561	312	11	558	302	158	335	788	200	121	323	256	182
peak4562	233	11	382	371	282	417	777	204	132	390	317	265
peak4563	1048	70	1802	354	295	414	2200	629	426	488	547	293
peak4564	746	71	1219	139	109	213	1401	425	305	215	245	129
peak4565	603	50	996	562	243	588	1332	403	234	587	461	407
peak4566	458	25	619	696	314	688	974	298	166	634	462	373
peak4567	23	3	30	150	77	116	39	16	13	39	25	16
peak4568	50	8	140	136	88	200	17	5	1	4	4	4
peak4569	46	4	167	220	350	402	27	8	4	13	12	10
peak4570	34	3	83	247	452	628	18	10	8	28	27	23
peak4571	28	3	55	429	239	362	56	10	8	51	37	13
peak4572	6	3	14	322	249	253	19	12	9	20	11	9
peak4573	124	0	160	52	18	31	171	45	27	90	84	35
peak4574	379	33	525	1109	1188	812	456	129	108	169	174	100
peak4575	39	4	54	585	420	463	74	9	15	70	81	51
peak4576	57	2	107	1032	1093	1098	37	14	5	37	26	27
peak4577	56	11	99	599	353	547	53	16	11	64	33	21
peak4578	35	3	64	417	297	288	21	3	5	25	20	12
peak4579	16	0	38	303	176	203	16	3	0	23	16	5
peak4580	52	2	102	372	221	314	41	8	9	13	11	11
peak4581	139	10	249	1690	1106	1419	83	21	12	56	55	33
peak4582	180	9	247	1614	1267	1070	57	13	11	57	51	27
peak4583	58	1	51	216	103	98	14	5	4	7	13	7
peak4584	14	0	4	56	5	20	4	2	0	7	2	3
peak4585	14	1	6	69	17	22	2	1	0	5	1	1
peak4586	11	0	9	94	30	31	0	1	0	0	0	1
peak4587	1	0	2	68	54	47	1	0	0	2	3	1
peak4588	16	0	20	120	109	109	11	4	1	8	8	7
peak4589	7	1	16	76	61	45	8	4	1	5	6	1
peak4590	11	2	20	65	50	37	13	4	5	5	2	1
peak4591	68	6	114	1262	2038	1300	93	23	29	101	117	56
peak4592	8	0	15	118	211	123	10	3	3	5	7	4
peak4593	3971	349	6469	65245	107347	79858	819	259	149	891	851	538
peak4594	425	61	688	464	474	522	98	38	22	19	28	10
peak4595	24	0	25	270	126	168	10	4	2	16	3	6
peak4596	50	4	70	1500	1466	1236	61	23	9	111	84	53
peak4597	23	1	17	77	104	98	29	5	9	27	24	16
peak4598	51	5	97	738	930	943	76	26	19	138	134	56
peak4599	116	19	225	153	158	321	82	28	27	47	39	15
peak4600	19	1	36	103	59	96	54	13	16	20	14	5
peak4601	34	6	67	426	421	420	85	26	24	56	57	24
peak4602	277	30	453	5011	4676	4546	405	124	87	446	374	231
peak4603	38	0	33	312	129	169	37	14	9	31	40	27
peak4604	172	45	381	256	251	365	274	107	94	261	225	104
peak4605	148	12	221	487	335	359	194	52	36	81	78	30
peak4606	96	10	141	1002	671	647	204	45	23	143	86	58
peak4607	131	15	206	1357	1989	1581	280	67	59	235	245	126
peak4608	2	0	4	24	63	66	0	1	0	0	0	0
peak4609	1	0	5	41	135	139	1	0	0	3	5	1
peak4610	195	8	180	1844	1081	1092	223	67	48	156	177	84
peak4611	45	1	50	230	108	110	40	10	9	24	25	10
peak4612	62	5	111	348	398	333	119	26	37	81	75	38
peak4613	17	2	22	48	19	35	43	12	13	48	40	27
peak4614	46	4	106	782	752	745	152	38	30	254	207	110
peak4615	225	38	561	576	737	994	13	0	3	5	6	5
peak4616	381	49	991	1320	4074	2542	16	5	7	10	11	3
peak4617	46	3	56	1044	1364	771	5	1	3	16	13	10
peak4618	39	0	49	552	296	437	8	0	1	11	7	7
peak4619	323	29	454	1341	533	729	341	106	54	84	78	50
peak4620	419	34	517	5511	4590	3977	459	139	96	500	406	303
peak4621	245	17	406	766	276	473	310	103	58	138	98	71
peak4622	239	21	242	2848	2226	2004	64	27	16	73	71	33
peak4623	82	4	89	427	268	329	28	4	6	20	21	8
peak4624	126	17	167	503	357	376	45	10	8	17	30	15
peak4625	45	2	70	302	454	182	17	5	12	14	12	4
peak4626	22	4	33	242	302	237	56	25	19	73	79	55
peak4627	8	0	12	119	188	147	40	12	6	38	43	15
peak4628	3	1	7	74	90	37	1	0	0	3	7	3
peak4629	143	12	244	1204	1832	1058	167	60	39	104	108	63
peak4630	129	11	134	416	456	281	157	41	24	40	50	33
peak4631	72	3	72	702	778	496	48	11	9	41	43	20
peak4632	93	6	71	1007	783	714	34	15	12	53	58	23
peak4633	19	0	40	98	211	173	33	10	8	16	20	8
peak4634	37	0	55	594	1610	1052	44	17	22	60	86	45
peak4635	172	15	195	787	485	690	144	47	30	66	75	27
peak4636	12	0	5	31	34	35	31	7	8	36	25	20
peak4637	8	1	12	44	39	38	27	6	7	35	27	14
peak4638	9	0	10	87	104	82	33	9	10	25	22	31
peak4639	7	0	17	155	179	121	26	11	7	25	33	33
peak4640	100	8	116	646	488	454	50	13	9	34	27	17
peak4641	43	7	52	170	117	145	24	6	2	10	13	7
peak4642	44	2	46	206	93	150	52	14	8	20	20	16
peak4643	35	3	41	120	152	130	23	7	6	3	10	3
peak4644	150	8	227	266	306	225	138	47	48	51	79	51
peak4645	238	18	264	413	286	529	116	33	10	87	89	56
peak4646	361	35	415	623	260	291	186	36	34	33	26	15
peak4647	85	12	129	810	988	717	179	61	52	260	250	151
peak4648	32	6	50	151	133	119	82	19	11	64	53	48
peak4649	29	4	32	110	212	187	73	37	28	94	102	49
peak4650	297	13	414	203	71	131	694	246	134	173	96	79
peak4651	444	51	885	1720	1260	1742	1354	513	388	1132	1252	634
peak4652	33	4	51	112	88	116	53	26	29	35	53	21
peak4653	2	1	3	137	90	117	2	0	0	3	3	1
peak4654	3	0	7	172	134	174	2	1	0	5	0	2
peak4655	121	14	221	618	532	471	169	80	47	82	62	67
peak4656	55	2	137	171	110	116	121	37	23	22	16	27
peak4657	28	1	43	341	585	306	28	7	5	31	42	12
peak4658	240	27	280	2898	4323	2505	82	20	21	76	67	23
peak4659	87	6	116	822	723	675	163	26	31	165	153	85
peak4660	16	3	22	50	48	71	63	21	13	61	45	36
peak4661	3	0	2	55	47	27	2	0	3	2	2	0
peak4662	2	0	2	45	38	24	7	1	1	5	9	2
peak4663	14	0	33	174	119	153	46	12	9	37	32	12
peak4664	536	60	1283	2595	4748	4352	1269	373	259	992	860	574
peak4665	27	1	43	534	382	347	48	12	7	56	44	18
peak4666	16	1	17	102	97	83	27	7	2	16	12	7
peak4667	60	6	94	86	113	136	64	17	14	21	24	8
peak4668	28	1	32	134	123	86	29	5	9	9	14	8
peak4669	31	1	34	268	216	110	33	11	7	43	35	17
peak4670	69	10	156	207	204	221	334	99	95	329	315	174
peak4671	63	1	81	219	99	183	29	9	6	10	6	6
peak4672	248	14	377	1879	1002	1287	139	31	20	59	55	44
peak4673	528	52	906	1043	2769	2191	17	5	7	8	11	2
peak4674	76	3	63	224	171	200	0	1	1	1	0	1
peak4675	459	36	773	3371	2846	3498	11	3	1	4	7	5
peak4676	185	18	253	1281	1405	1031	120	28	23	90	114	40
peak4677	84	7	84	251	363	241	56	12	8	26	57	21
peak4678	43	1	44	175	107	111	39	6	11	31	30	20
peak4679	31	1	46	117	96	88	22	13	7	35	30	27
peak4680	37	3	53	87	115	73	38	5	10	13	22	5
peak4681	104	5	61	99	53	53	20	3	3	2	6	2
