control_input	control_input.1	control_input.2	control_IP	control_IP.1	control_IP.2	treatment_input	treatment_input.1	treatment_input.2	treatment_IP	treatment_IP.1	treatment_IP.2
peak109	45	2	46	1257	1433	771	65	17	14	131	136	48
peak110	65	4	68	647	1209	795	83	38	28	103	104	62
peak111	90	10	94	237	260	200	94	25	15	32	32	18
peak112	51	4	48	364	363	251	43	13	12	34	34	13
peak113	30	0	40	134	106	86	71	30	9	32	38	16
peak114	47	7	88	768	1026	1149	146	42	32	186	142	106
peak115	315	23	467	955	513	629	727	219	174	241	189	145
peak116	11	1	9	80	155	85	6	3	0	11	6	4
peak117	192	33	391	669	490	748	498	188	126	366	343	216
peak118	366	49	654	2688	3124	2855	638	210	145	480	491	286
peak119	3	4	16	86	380	172	7	1	2	9	8	4
peak120	13	1	17	253	90	106	9	3	1	4	7	8
peak121	19	2	17	103	35	46	10	3	3	1	3	5
peak122	163	5	155	747	1120	588	73	13	18	32	36	13
peak123	68	4	53	114	172	104	27	7	10	11	10	7
peak124	74	5	90	932	1299	575	37	13	7	37	31	22
peak125	41	0	37	163	133	98	19	6	5	16	7	10
peak126	11	0	12	71	30	12	8	1	5	20	16	7
peak127	912	174	2160	2622	2992	3702	2160	750	586	1876	1975	893
peak128	12	2	23	32	58	78	14	3	4	7	9	4
peak129	7	0	14	58	219	121	6	2	1	10	3	2
peak130	20	7	24	61	205	153	7	1	4	14	8	2
peak131	11	0	28	86	93	117	1	0	0	1	4	0
peak132	124	16	185	1671	2804	1796	21	2	4	11	24	9
peak133	38	3	57	59	76	79	6	0	2	1	1	0
peak134	187	25	269	1722	2822	1705	19	6	6	14	17	9
peak135	218	27	238	1217	1563	1129	17	7	7	15	16	11
peak136	39	2	57	76	63	77	6	0	2	3	2	0
peak137	43	5	52	101	130	120	4	0	0	4	2	2
peak138	160	19	187	1758	2326	1501	11	3	4	11	11	10
peak139	189	15	255	1401	1932	1199	14	6	7	17	20	6
peak140	161	10	247	3457	4499	3502	132	44	38	224	213	110
peak141	161	13	190	1235	1581	1289	99	40	22	70	65	46
peak142	53	5	72	194	112	123	116	37	30	65	62	28
peak143	9	0	5	112	93	48	9	4	3	4	11	3
peak144	50	2	38	180	119	87	18	5	4	8	9	1
peak145	197	11	202	1703	1839	1308	50	19	10	48	54	30
peak146	57	5	65	210	121	94	22	10	6	12	11	5
peak147	134	3	128	264	309	180	40	9	11	25	17	17
peak148	43	5	55	784	680	518	142	52	26	114	119	64
peak149	31	1	47	228	132	170	39	9	8	18	21	12
peak150	34	1	38	156	179	105	51	17	18	52	63	24
peak151	142	10	215	2847	1935	1978	306	72	64	464	376	231
peak152	25	1	25	60	38	31	31	13	4	29	13	15
peak153	12	3	11	178	126	122	9	1	4	11	15	6
peak154	21	3	37	149	134	87	51	12	7	20	22	16
peak155	16	1	16	57	21	33	36	17	14	38	16	24
peak156	86	8	79	609	373	364	131	42	20	97	87	36
peak157	81	7	71	370	302	235	167	54	29	83	69	32
peak158	85	5	81	650	913	402	145	36	40	162	131	46
peak159	32	2	98	107	83	87	147	45	25	92	54	49
peak160	294	26	375	4015	5337	3721	633	215	120	953	641	435
peak161	65	4	74	562	218	309	73	32	19	53	36	32
peak162	55	6	64	245	172	166	66	35	19	73	50	32
peak163	0	0	2	64	53	30	3	0	2	7	14	1
peak164	1	0	3	34	82	57	0	0	0	2	5	0
peak165	36	3	48	651	961	577	27	4	2	36	42	20
peak166	86	2	134	472	405	396	121	31	24	84	67	45
peak167	67	6	113	164	223	207	76	48	28	47	37	21
peak168	80	21	140	159	121	166	123	47	39	41	46	22
peak169	67	10	111	190	274	180	89	31	25	48	46	19
peak170	59	8	98	116	181	183	75	26	18	33	47	14
peak171	23	0	60	76	147	136	26	11	13	15	24	12
peak172	315	28	444	230	199	286	89	34	25	25	20	11
peak173	1022	88	1445	8524	11252	10476	391	134	110	252	280	114
peak174	50	3	66	129	59	119	30	12	8	11	10	5
peak175	252	24	367	3310	3699	3304	138	45	40	133	141	80
peak176	85	9	124	174	178	185	60	22	17	19	25	9
peak177	2	1	2	41	143	77	18	6	4	28	24	27
peak178	3	1	4	67	177	114	17	6	4	43	37	17
peak179	52	2	49	289	180	129	20	9	12	22	14	15
peak180	67	0	60	718	405	417	49	13	7	41	31	19
peak181	51	1	44	494	252	273	39	8	6	29	20	12
peak182	32	3	36	165	82	88	29	4	5	15	8	6
peak183	23	2	33	174	89	102	26	5	3	13	8	4
peak184	25	2	35	582	484	365	16	8	4	33	25	13
peak185	1	0	6	20	119	81	3	3	0	12	10	8
peak186	7	1	22	147	192	206	21	1	3	7	10	4
peak187	49	0	37	210	92	151	78	13	3	70	62	18
peak188	124	3	128	781	520	549	158	35	35	170	102	64
peak189	59	1	69	467	289	344	80	19	16	67	58	19
peak190	186	21	210	1610	1151	1136	252	54	49	228	192	92
peak191	38	5	41	425	466	356	50	9	8	52	68	21
peak192	26	1	67	463	1088	830	8	3	0	7	2	3
peak193	17	2	21	105	184	171	1	2	0	0	1	0
peak194	7	1	16	61	131	90	0	0	0	2	1	1
peak195	168	10	144	710	619	635	62	12	20	51	52	29
peak196	276	14	282	6956	6613	5173	120	33	27	203	150	106
peak197	9	1	12	85	64	60	36	10	7	28	26	16
peak198	16	0	24	59	12	39	16	3	2	6	2	2
peak199	54	4	82	1456	1095	1099	61	11	10	78	60	28
peak200	28	1	29	133	160	73	18	6	5	9	12	8
peak201	184	16	257	2673	1847	2159	117	24	22	105	113	62
peak202	20	0	18	179	181	145	8	1	2	9	8	4
peak203	136	6	168	567	708	630	83	19	17	44	46	18
peak204	441	35	552	7666	14225	8670	263	68	65	331	374	184
peak205	167	13	232	397	338	244	95	26	28	43	47	21
peak206	4	1	7	65	63	45	2	0	0	0	5	1
peak207	194	19	301	480	596	435	73	25	16	24	36	15
peak208	117	4	202	284	205	262	417	144	76	363	278	204
peak209	15	0	15	108	88	73	7	7	2	2	6	4
peak210	73	6	68	1378	1283	897	34	12	4	40	53	20
peak211	43	6	50	924	899	563	33	9	6	49	49	29
peak212	190	10	181	2243	1738	1148	122	32	23	123	117	56
peak213	90	1	92	791	312	245	62	12	13	37	26	19
peak214	21	0	25	59	19	15	19	4	1	3	4	2
peak215	21	2	15	82	40	24	13	4	1	9	4	5
peak216	18	1	13	131	85	51	7	2	1	6	8	6
peak217	76	6	68	152	74	56	26	16	8	17	8	5
peak218	63	7	59	163	105	98	27	7	4	17	11	8
peak219	70	5	64	293	263	169	32	7	7	17	13	10
peak220	155	11	96	1859	1573	942	62	14	15	69	41	26
peak221	205	28	254	1038	1203	856	406	114	79	257	278	135
peak222	131	17	186	467	1042	506	199	80	61	82	130	47
peak223	257	21	324	699	895	784	399	123	100	141	199	80
peak224	45	7	114	365	558	1321	149	42	43	242	199	58
peak225	6	1	13	98	93	74	0	1	1	1	0	0
peak226	15	2	23	167	164	99	11	5	2	7	11	13
peak227	81	4	97	1341	1245	1080	118	50	37	172	145	96
peak228	131	9	231	1291	1361	1040	154	41	17	211	139	88
peak229	177	11	225	361	367	413	179	48	47	64	66	33
peak230	350	40	579	1928	3237	2056	342	105	74	193	214	99
peak231	200	23	370	619	756	641	306	85	106	85	101	64
peak232	138	14	241	628	488	592	192	60	44	74	91	48
peak233	72	4	82	164	131	158	315	101	54	171	167	150
peak234	9	3	23	241	161	138	5	3	0	7	2	2
peak235	303	32	261	1466	1198	876	207	76	42	172	150	76
peak236	36	3	42	279	334	247	34	6	8	19	23	19
peak237	152	18	226	2929	2977	2280	112	27	24	181	140	90
peak238	97	2	88	1425	1432	1114	276	75	56	256	311	157
peak239	6	1	8	110	87	63	10	3	3	6	11	4
peak240	80	6	82	892	1026	718	135	52	28	132	121	62
peak241	3	0	8	140	195	113	10	3	2	13	28	12
peak242	403	28	491	101	47	104	507	147	132	126	187	83
peak243	240	13	302	1166	981	994	381	140	90	379	284	201
peak244	30	2	45	82	118	74	47	15	7	6	4	5
peak245	9	0	1	80	15	17	0	0	1	0	3	1
peak246	1925	55	938	10209	6950	3616	328	105	86	167	143	85
peak247	42	2	57	306	204	196	37	6	3	19	34	11
peak248	57	3	64	487	750	512	36	7	9	31	16	21
peak249	3	0	10	77	57	71	14	5	3	7	9	9
peak250	9	2	23	391	492	363	26	7	8	44	32	23
