control_input	control_input.1	control_input.2	control_input.3	control_input.4	control_IP	control_IP.1	control_IP.2	control_IP.3	control_IP.4	treatment_input	treatment_input.1	treatment_input.2	treatment_input.3	treatment_input.4	treatment_IP	treatment_IP.1	treatment_IP.2	treatment_IP.3	treatment_IP.4
peak7919	0	0	0	0	0	0	37	37	0	0	0	0	31	3	0	0	43	229	7	0
peak7920	5	2	3	8	0	8	39	63	137	33	2	15	4	1	2	6	86	55	28	39
peak7921	13	19	35	41	0	20	192	314	387	174	19	21	31	10	56	18	287	349	116	175
peak7922	27	33	63	82	697	134	463	709	630	408	18	44	33	15	35	59	641	910	157	423
peak7923	15	33	62	77	0	182	588	884	1154	543	31	59	53	15	18	144	778	1240	369	610
peak7924	8	20	44	45	0	52	216	294	271	182	31	29	41	5	13	33	264	415	74	206
peak7925	45	37	73	124	0	171	494	692	928	418	51	51	72	22	30	45	540	940	269	501
peak7926	51	28	55	105	0	125	316	396	1126	240	63	45	27	21	34	96	344	600	276	261
peak7927	75	38	60	226	0	234	419	482	1675	391	62	53	53	61	0	216	511	1036	632	342
peak7928	91	38	79	307	2	201	434	576	2772	366	105	79	69	65	82	83	543	851	1309	340
peak7929	26	23	57	134	0	54	126	197	1167	133	21	45	49	37	21	13	143	277	471	133
peak7930	14	17	36	74	339	4	81	134	399	50	12	43	27	12	36	11	122	142	118	57
peak7931	14	39	103	206	1	46	314	444	768	240	26	77	80	68	92	8	341	505	419	245
peak7932	89	54	105	318	1	225	392	520	1844	294	91	77	59	222	40	89	397	803	1229	375
peak7933	11	34	63	60	451	74	159	260	395	258	27	50	56	32	18	131	245	528	290	266
peak7934	1	31	47	21	690	0	56	64	106	67	1	40	28	13	39	0	75	92	32	60
peak7935	0	4	9	14	0	0	51	56	36	57	1	10	5	3	0	0	75	94	25	41
peak7936	33	144	289	825	0	66	364	538	1594	415	46	221	330	271	197	24	457	636	939	463
peak7937	27	49	148	161	1	33	255	370	547	192	20	137	100	14	104	1	269	509	34	281
peak7938	16	33	66	49	26	17	189	303	219	129	15	65	66	12	34	8	243	385	38	124
peak7939	32	33	59	133	0	32	222	247	327	130	31	69	50	9	34	1	188	336	46	149
peak7940	125	78	134	146	697	284	451	565	384	275	191	105	177	51	38	125	608	695	345	333
peak7941	53	74	176	172	2	194	772	1218	851	664	54	110	208	62	55	55	1140	1401	376	759
peak7942	308	141	256	277	579	294	441	668	814	427	262	236	334	74	65	132	543	871	158	449
peak7943	33	112	242	218	1	41	395	587	280	311	50	177	269	67	178	33	510	891	28	321
peak7944	21	60	127	101	0	23	355	517	397	298	25	94	127	30	130	44	396	726	84	311
peak7945	25	122	335	370	1	28	617	856	1005	502	52	261	300	56	96	24	707	1159	190	544
peak7946	11	118	301	358	170	9	617	744	1132	597	9	225	331	73	138	6	714	990	211	562
peak7947	6	76	175	204	214	6	459	628	453	352	21	120	202	45	105	6	558	837	90	399
peak7948	13	127	242	293	0	9	201	304	212	179	20	183	243	32	141	6	235	440	31	215
peak7949	51	91	188	398	0	50	356	493	599	308	61	166	195	92	152	38	547	629	133	323
peak7950	111	6	7	7	0	232	12	38	8	9	37	10	10	15	1	87	25	32	37	21
peak7951	66	4	12	25	3	231	17	23	59	21	187	9	12	64	0	593	19	37	473	23
peak7952	6	29	75	55	0	0	41	74	72	43	1	57	34	26	36	1	74	77	72	34
peak7953	2	24	38	45	0	18	20	39	87	14	7	30	18	8	0	0	21	41	15	17
peak7954	13	29	84	109	190	14	161	223	185	94	12	42	44	17	76	15	140	271	29	135
peak7955	11	30	76	82	0	17	88	161	266	89	2	44	51	20	89	0	106	197	78	110
peak7956	47	40	120	144	0	193	100	182	458	107	40	82	74	41	58	59	96	221	194	101
peak7957	46	3	6	14	0	161	81	90	408	72	22	7	12	3	0	113	125	167	64	56
peak7958	42	19	20	48	0	59	43	60	273	41	30	33	5	8	0	24	57	88	33	36
peak7959	19	8	14	15	0	56	41	64	148	38	7	15	7	1	0	11	58	64	41	54
peak7960	49	26	28	54	0	87	125	193	407	115	27	58	26	9	0	14	154	249	73	127
peak7961	25	23	49	63	0	7	69	127	149	85	5	36	43	6	38	0	100	113	33	94
peak7962	11	5	8	28	0	29	20	31	140	52	5	7	3	0	0	0	18	41	6	54
peak7963	8	32	61	82	1	28	57	89	182	51	6	40	38	13	37	0	53	94	27	69
peak7964	54	26	30	91	0	79	26	33	398	15	31	32	15	11	0	4	31	42	54	19
peak7965	45	7	16	41	0	153	11	12	194	27	8	13	8	5	0	3	20	29	13	22
peak7966	99	11	23	72	224	649	55	90	648	73	28	39	14	21	31	29	61	132	172	77
peak7967	38	97	227	387	275	38	464	682	740	525	38	224	279	56	72	0	604	901	128	502
peak7968	49	74	161	359	1039	21	106	130	308	89	40	218	193	37	54	9	82	191	59	97
peak7969	34	43	62	325	0	79	187	230	608	166	20	97	53	40	22	20	198	394	154	187
peak7970	56	103	252	330	0	77	61	97	98	40	49	311	330	169	110	3	68	140	43	78
peak7971	11	6	26	31	1	3	16	19	73	9	6	29	23	4	0	0	22	23	7	11
peak7972	146	150	445	719	6	2179	1986	3239	9609	2069	18	31	228	249	0	139	1767	4484	8576	2038
peak7973	81	168	520	456	149	339	2037	3644	6787	2003	9	36	211	40	22	6	1975	4877	883	2429
peak7974	57	17	33	59	0	293	316	401	1143	315	21	21	35	70	54	134	376	594	2343	304
peak7975	11	2	0	6	0	12	17	22	148	8	3	0	0	0	0	4	14	52	33	13
peak7976	117	63	94	250	206	147	240	257	986	173	393	117	170	208	3	136	304	614	1038	190
peak7977	7	11	16	40	0	8	41	51	137	33	12	34	37	16	41	5	43	79	177	52
peak7978	8	7	9	56	1	42	100	137	372	60	22	30	22	30	32	9	101	210	440	98
peak7979	5	9	22	32	0	33	92	169	153	49	19	32	41	12	49	23	128	290	75	77
peak7980	18	14	23	48	0	99	269	418	796	193	24	37	55	19	0	47	476	875	424	259
peak7981	9	26	53	78	0	13	112	217	820	287	3	13	16	3	44	2	105	223	48	326
peak7982	3	11	9	39	0	0	26	24	322	44	0	3	4	1	0	3	26	41	7	50
peak7983	8	16	16	21	0	17	17	24	11	4	137	46	36	113	0	80	39	46	107	12
peak7984	15	26	25	30	0	67	293	348	466	181	53	83	44	97	13	88	321	535	2949	172
peak7985	6	0	3	4	0	8	21	32	66	14	1	1	0	2	0	8	15	29	16	24
peak7986	9	23	19	23	0	46	69	93	185	62	19	55	23	21	0	24	85	130	138	82
peak7987	3	0	0	1	0	7	0	1	2	0	3	0	0	0	0	101	1	0	2	0
peak7988	5	0	0	0	0	160	1	1	0	2	0	0	0	0	0	11	3	4	3	3
peak7989	18	34	59	229	0	118	224	360	2259	359	0	0	0	3	0	0	208	181	27	384
peak7990	3	0	0	2	0	12	7	2	78	6	0	0	0	1	0	0	5	4	0	4
peak7991	0	14	8	59	0	40	53	50	539	54	0	0	0	2	0	0	45	43	3	83
peak7992	18	72	106	313	246	51	243	294	862	185	63	93	157	135	56	59	288	471	349	230
peak7993	11	31	67	118	0	1	59	65	114	41	5	44	117	26	63	6	67	82	19	45
peak7994	24	3	3	40	0	49	10	17	419	21	5	7	1	6	11	9	14	38	22	21
peak7995	30	11	20	126	0	28	36	36	341	49	32	18	7	5	1	12	29	52	33	65
peak7996	23	15	45	213	1	134	101	200	658	235	45	20	24	46	48	39	113	218	397	247
peak7997	1	9	5	8	0	5	64	57	10	36	4	42	12	1	0	5	63	138	3	27
peak7998	1	12	38	18	0	9	58	101	30	40	2	78	39	22	32	0	86	114	76	57
peak7999	5	21	35	40	0	10	34	61	26	41	3	17	20	6	20	0	22	75	1	40
peak8000	19	29	45	34	0	11	30	72	74	82	3	27	39	5	20	0	84	103	27	70
peak8001	25	47	61	96	307	8	82	107	179	99	2	43	43	2	31	0	80	138	21	125
peak8002	34	21	21	63	0	101	80	142	288	113	22	18	18	25	10	34	82	135	304	124
peak8003	8	81	161	216	1	50	429	667	731	563	5	89	113	20	40	7	478	900	108	562
peak8004	10	5	9	21	0	13	30	58	38	20	21	32	15	22	0	0	36	34	103	23
peak8005	146	153	283	1388	2	252	350	603	3216	487	39	92	37	81	134	39	339	507	324	494
peak8006	20	97	262	566	591	19	217	347	842	321	6	82	31	9	59	10	243	230	51	292
peak8007	22	102	204	289	0	27	154	265	692	255	8	69	17	8	14	4	149	166	13	251
peak8008	9	13	25	54	1	31	337	458	591	290	14	30	32	5	50	15	388	708	187	343
peak8009	26	21	25	128	0	16	125	122	368	83	18	34	36	14	35	9	139	203	136	102
peak8010	1	9	12	37	1	13	24	51	149	58	5	13	7	14	0	7	42	62	235	56
peak8011	255	37	64	277	0	379	93	118	994	103	488	73	78	132	40	416	127	247	1019	105
peak8012	11	40	48	27	1	26	229	331	162	195	12	86	14	0	87	6	278	397	25	206
peak8013	36	88	135	163	4	163	935	1164	1527	895	20	129	76	29	134	81	1056	1689	528	925
peak8014	6	101	165	179	0	29	394	562	641	418	17	177	127	40	160	31	476	872	172	373
peak8015	1	26	62	53	0	0	43	67	69	64	7	35	22	3	0	0	37	67	11	38
peak8016	3	5	12	7	0	3	58	74	45	45	14	26	25	11	0	21	50	125	150	56
peak8017	3	6	5	2	1	9	79	49	43	55	7	8	7	1	0	15	91	135	105	40
peak8018	7	3	9	2	132	8	133	138	94	55	17	24	11	6	0	88	183	301	252	89
peak8019	4	7	4	5	0	12	108	135	68	53	17	14	12	11	26	44	159	199	231	53
peak8020	5	2	7	6	0	37	224	250	86	162	27	7	17	13	6	81	289	422	291	192
peak8021	13	1	7	1	0	18	198	216	57	105	14	19	17	2	0	47	288	320	123	129
peak8022	8	5	3	3	0	36	106	89	11	74	16	18	4	0	4	45	103	183	31	61
peak8023	11	5	5	2	0	21	68	61	18	40	20	10	0	1	16	69	84	164	61	34
peak8024	6	5	6	3	2	14	102	137	27	62	70	17	16	3	0	44	173	186	66	59
peak8025	12	7	5	2	1	23	178	196	44	74	45	10	21	3	5	120	263	315	58	84
peak8026	13	2	4	4	26	70	110	103	86	81	42	13	13	0	6	289	165	334	196	64
peak8027	3	5	10	7	0	11	64	78	20	46	9	21	13	0	0	12	99	121	25	43
peak8028	6	8	8	3	0	17	98	89	20	54	17	27	15	1	0	60	150	201	35	78
peak8029	4	4	4	0	6	43	144	118	34	98	29	9	5	1	9	167	177	332	98	92
peak8030	19	2	3	6	0	30	17	20	158	13	18	4	2	3	0	32	18	33	145	16
peak8031	5	50	64	129	0	6	101	184	158	126	6	57	45	43	12	7	126	148	62	160
peak8032	3	6	18	27	0	17	32	38	165	17	5	23	8	16	30	21	23	48	355	26
peak8033	4	1	5	4	0	6	9	13	85	10	1	8	3	1	0	10	17	20	71	7
peak8034	8	7	2	14	0	40	264	307	386	116	31	8	8	2	0	150	274	646	226	151
peak8035	9	1	1	9	0	20	54	24	115	17	17	6	1	2	0	56	57	107	53	24
peak8036	14	7	7	10	0	52	103	80	521	32	33	17	7	2	31	234	139	156	433	22
peak8037	10	1	3	9	563	17	45	29	163	14	41	9	2	15	0	202	36	105	277	5
peak8038	22	15	11	59	0	35	61	71	617	68	44	49	26	34	10	32	78	147	350	56
peak8039	14	3	2	5	0	133	47	38	98	40	13	7	0	0	0	88	63	125	45	31
peak8040	8	74	110	32	282	5	121	213	17	194	8	97	96	10	68	0	180	192	7	156
peak8041	4	36	93	29	0	9	128	203	20	197	2	61	52	6	50	0	132	204	13	155
peak8042	6	84	185	67	1	8	286	398	246	452	4	131	80	16	79	4	339	455	82	471
peak8043	59	128	216	140	340	210	826	1140	1181	805	64	241	133	32	50	109	986	1619	541	939
peak8044	24	109	214	172	991	40	255	409	347	328	21	242	171	39	220	30	273	418	109	325
peak8045	54	58	116	110	0	50	85	125	192	82	34	146	74	25	7	25	94	125	68	81
peak8046	41	154	305	464	551	103	469	679	1135	551	29	305	245	349	187	41	519	885	1156	585
peak8047	11	25	53	26	3	28	262	425	235	269	7	50	54	9	0	16	377	401	96	362
peak8048	13	34	100	51	199	40	275	424	248	383	10	62	67	9	59	16	389	452	121	375
peak8049	16	9	21	52	659	10	77	102	89	76	11	32	8	13	2	0	97	149	37	86
peak8050	12	17	24	29	0	22	73	116	169	63	16	35	9	17	19	1	93	138	65	83
peak8051	23	50	85	95	0	49	178	238	412	200	22	80	59	54	0	12	228	283	411	223
peak8052	18	20	39	63	0	63	176	207	475	167	23	43	36	32	39	9	185	256	447	148
peak8053	24	11	22	76	0	30	23	35	719	43	15	24	11	47	24	12	49	41	975	22
peak8054	33	13	24	53	0	13	13	6	177	12	15	10	7	24	24	19	14	27	109	8
peak8055	111	7	4	62	0	84	5	10	115	5	134	22	6	48	0	48	13	24	127	5
peak8056	2	11	13	11	0	10	50	61	132	29	12	30	15	3	7	2	43	78	37	35
peak8057	17	30	58	49	0	112	115	209	318	167	18	79	41	43	0	62	158	313	330	193
peak8058	9	9	29	23	0	19	29	46	43	35	5	25	16	42	0	3	24	54	113	63
peak8059	142	12	15	23	1	281	58	88	102	138	201	34	15	107	0	503	95	152	1418	132
peak8060	18	14	28	49	1	9	117	169	194	124	15	34	24	75	0	22	119	195	359	131
peak8061	5	12	18	64	0	18	29	40	154	39	14	32	13	22	6	2	26	54	71	40
peak8062	11	11	31	54	0	49	23	47	144	37	14	36	27	26	0	8	24	54	164	42
peak8063	16	0	3	23	0	42	21	23	175	17	11	13	2	15	0	19	20	71	264	18
peak8064	31	6	14	84	0	151	140	129	753	119	37	29	15	59	0	57	179	366	1755	134
peak8065	11	20	32	34	660	42	187	246	353	207	5	64	31	5	7	20	242	331	89	202
peak8066	11	15	19	27	0	58	42	62	173	67	12	30	13	5	45	16	64	122	54	52
peak8067	13	20	32	47	0	20	126	167	226	152	3	50	24	9	1	11	178	200	103	182
peak8068	29	47	71	180	1	108	189	220	879	217	21	136	63	49	53	59	235	473	714	293
peak8069	13	20	46	120	0	21	49	62	229	72	15	100	32	65	13	10	63	107	175	85
peak8070	11	10	5	13	0	44	42	71	82	38	10	12	6	1	0	23	41	131	7	49
peak8071	10	15	28	23	0	0	24	46	84	33	19	12	11	4	21	0	34	29	55	35
peak8072	35	4	9	9	0	120	3	11	26	14	13	4	5	13	0	10	6	9	138	1
peak8073	7	12	28	17	464	7	20	33	130	37	4	10	10	9	7	0	38	42	96	48
peak8074	70	136	347	441	0	247	904	1283	2398	928	79	312	349	318	144	87	1135	1965	4252	1069
peak8075	134	32	67	158	1311	625	283	455	821	307	106	84	55	43	48	275	338	569	517	337
peak8076	11	4	5	12	0	42	13	14	17	19	29	11	1	19	0	36	8	15	103	18
peak8077	14	70	61	138	0	8	129	104	124	129	6	60	38	49	5	6	135	143	52	147
peak8078	99	133	100	194	0	294	723	847	2904	875	33	90	64	41	136	51	765	846	1007	1060
peak8079	46	14	22	38	0	23	41	32	110	27	13	18	7	11	0	11	39	53	55	29
peak8080	39	39	35	65	0	34	75	72	123	119	20	51	11	59	0	4	95	64	73	142
peak8081	25	8	9	20	0	64	51	47	27	57	7	19	3	5	0	13	34	29	9	85
peak8082	87	7	10	7	0	241	13	28	214	22	25	9	5	1	0	48	26	17	60	27
peak8083	24	4	2	3	0	95	30	27	60	10	29	15	13	21	0	63	33	60	221	12
peak8084	6	3	0	2	0	10	7	7	103	9	0	8	4	1	0	7	10	16	34	2
peak8085	5	2	0	2	0	8	3	11	132	5	4	1	0	1	0	24	8	22	35	5
peak8086	15	26	37	89	0	89	131	167	324	169	56	64	50	54	5	56	156	276	400	210
peak8087	120	31	46	151	302	254	103	93	536	81	494	104	81	272	43	809	121	234	1694	99
peak8088	22	118	202	265	0	48	266	329	247	166	55	382	298	293	83	9	325	464	255	188
peak8089	10	60	117	99	1	18	226	277	153	135	8	174	124	64	137	3	291	416	287	145
peak8090	12	48	75	77	419	9	238	250	120	141	19	124	85	55	84	11	373	349	118	153
peak8091	17	42	55	56	3	21	369	468	1095	265	24	91	101	19	19	53	509	821	679	274
peak8092	9	1	4	2	0	41	20	14	6	6	23	3	1	0	0	9	21	83	8	7
peak8093	22	1	3	6	0	92	9	12	30	7	25	2	1	2	2	73	3	17	84	6
peak8094	13	2	7	3	0	11	8	9	31	2	9	2	0	10	2	0	11	34	157	3
peak8095	31	16	30	40	0	56	112	207	367	101	69	52	50	353	0	56	182	491	6660	111
peak8096	35	5	7	7	2	157	41	41	65	62	38	4	2	2	0	150	28	32	31	58
peak8097	30	6	7	5	0	177	29	48	56	41	47	4	0	0	0	87	32	64	16	41
peak8098	41	4	14	5	0	343	76	139	135	88	63	11	2	1	0	170	47	98	47	98
peak8099	7	3	12	1	0	48	6	14	16	9	14	1	2	1	0	49	12	16	5	10
peak8100	0	2	1	10	0	2	9	16	51	8	0	3	1	5	0	0	8	18	119	12
peak8101	86	7	11	56	0	65	19	15	57	13	153	20	14	48	6	37	17	59	102	20
peak8102	61	13	26	60	1	257	277	277	2800	262	58	97	28	265	53	205	306	442	17928	300
peak8103	11	6	2	6	0	22	11	22	148	22	16	25	8	1	1	11	15	27	24	30
peak8104	20	9	13	22	0	63	87	101	251	137	11	31	16	10	0	17	128	201	185	117
peak8105	81	25	46	150	277	187	149	150	1660	106	111	145	64	187	35	162	204	381	1161	88
peak8106	37	21	37	111	0	66	159	145	697	122	32	95	32	36	11	23	190	261	277	116
peak8107	34	47	119	201	484	77	689	718	1123	535	26	244	115	64	24	78	799	1115	541	614
peak8108	31	49	75	182	2	114	820	908	2039	703	46	172	69	27	48	57	1061	1533	585	701
peak8109	18	29	35	106	653	32	506	562	837	454	19	78	33	8	62	15	573	1137	212	425
peak8110	3	22	42	86	653	12	188	259	128	165	5	65	29	6	20	0	215	375	31	155
peak8111	8	15	20	74	0	13	51	56	247	42	0	51	27	3	29	2	64	99	74	42
peak8112	2	0	0	0	0	6	1	1	9	2	1	3	0	0	0	11	3	4	128	3
peak8113	13	8	15	30	152	13	58	84	187	42	1	31	23	14	22	9	63	152	78	54
peak8114	10	9	12	26	0	13	177	182	345	80	12	47	18	9	0	18	200	330	129	99
peak8115	5	0	6	9	1	8	97	80	112	39	6	18	7	2	0	14	137	160	23	67
peak8116	0	47	119	209	1	8	177	305	868	190	1	33	47	15	73	1	225	310	150	246
peak8117	8	28	63	223	0	15	148	155	1683	180	2	21	25	18	0	1	156	219	530	146
peak8118	17	13	23	178	1	19	319	277	3905	324	6	12	11	21	19	8	313	585	1107	274
peak8119	19	45	82	252	0	16	110	138	905	156	5	44	36	63	19	0	117	164	287	116
peak8120	108	40	69	330	88	463	138	147	1662	188	91	63	40	148	0	125	154	248	1182	175
peak8121	40	10	15	12	0	201	188	138	386	83	17	13	9	31	0	128	237	663	3069	70
peak8122	6	2	2	0	0	28	14	25	18	23	0	1	0	2	0	3	15	6	158	25
peak8123	10	6	3	7	0	25	77	91	46	40	1	13	8	4	4	10	109	262	139	35
peak8124	23	4	11	7	0	29	94	122	42	46	5	15	9	3	4	3	112	302	47	57
peak8125	26	13	6	5	2	23	110	105	25	43	12	14	33	9	0	0	130	279	48	76
peak8126	5	12	19	3	0	16	45	100	12	46	0	15	47	7	0	0	95	132	51	55
peak8127	11	16	50	3	0	5	91	143	19	54	2	38	94	12	0	0	133	262	40	41
peak8128	37	11	29	11	0	65	137	169	81	68	11	28	46	6	11	9	174	391	135	38
peak8129	12	22	35	4	628	11	47	62	14	28	5	28	74	3	16	4	79	137	18	28
peak8130	33	98	153	250	0	44	392	563	652	345	43	395	322	499	111	39	408	1159	2087	371
peak8131	2	16	28	27	2	12	496	686	409	382	5	54	45	41	0	4	956	1577	1294	483
peak8132	0	5	1	8	2	0	13	11	125	16	2	11	6	7	0	8	15	36	161	10
peak8133	0	2	4	12	0	1	9	23	141	16	0	16	2	7	0	6	16	53	181	5
peak8134	4	2	0	2	0	15	3	7	189	5	4	2	4	1	1	6	11	18	66	5
peak8135	19	65	96	348	1669	10	361	309	498	257	27	115	136	94	0	3	397	601	158	245
peak8136	42	89	136	761	1424	17	394	414	904	281	44	216	205	168	106	5	384	643	356	292
peak8137	60	152	331	864	1262	25	164	205	239	113	69	421	527	298	111	2	188	301	119	131
peak8138	24	87	201	262	558	25	155	231	747	133	15	157	191	76	47	1	215	321	246	158
peak8139	17	52	86	261	0	16	42	67	478	50	7	96	67	56	44	7	69	80	146	28
peak8140	482	30	41	194	28	268	34	34	317	33	1088	72	47	112	0	150	29	98	159	22
peak8141	0	4	5	1	0	5	91	86	2	95	0	20	2	0	0	4	95	46	8	98
peak8142	0	12	7	14	1	5	58	57	206	52	0	13	13	4	66	0	65	150	51	62
peak8143	1	0	2	0	0	11	45	32	235	34	2	0	2	3	0	58	60	219	1078	27
peak8144	16	2	12	15	272	71	112	134	120	72	22	10	86	20	25	34	122	600	187	85
peak8145	28	4	10	21	2	210	169	220	104	125	46	5	147	50	0	243	308	1153	579	138
peak8146	38	16	29	107	635	7	58	65	246	28	43	50	63	39	0	7	61	149	179	32
peak8147	63	20	43	77	1015	102	158	159	915	106	115	111	81	99	41	83	203	385	968	118
peak8148	218	82	136	341	572	85	307	297	1355	190	778	283	416	689	74	66	407	662	1292	198
peak8149	33	2	7	21	0	41	2	10	451	12	22	10	2	8	0	12	21	8	91	10
peak8150	66	11	17	57	0	52	23	16	219	22	23	83	11	16	1	5	20	54	91	33
peak8151	10	26	30	53	1	137	108	144	900	160	9	53	10	19	0	27	167	287	703	144
peak8152	25	11	19	58	0	183	134	114	988	138	19	18	2	18	0	68	163	315	921	117
peak8153	57	13	20	37	565	70	44	33	557	26	24	46	8	15	0	13	42	107	378	39
peak8154	96	8	9	85	1	155	47	35	415	29	44	43	7	36	9	136	44	90	524	42
peak8155	147	22	43	160	0	156	112	115	483	89	112	97	22	70	22	37	114	194	464	86
peak8156	92	2	4	76	0	53	8	8	136	7	80	11	4	58	0	23	13	5	144	5
peak8157	229	59	94	174	0	364	193	295	361	249	320	202	113	247	56	101	208	403	418	275
peak8158	20	17	21	38	0	38	96	110	193	72	3	53	12	16	0	3	87	146	154	100
peak8159	11	42	49	143	0	17	82	132	211	119	14	119	60	42	42	2	111	187	227	105
peak8160	2	34	57	59	0	6	57	85	36	66	11	81	59	34	11	7	68	130	52	51
peak8161	0	82	120	22	634	6	273	419	85	391	6	103	48	0	39	1	301	415	37	396
peak8162	24	30	60	117	0	58	74	81	190	98	15	56	35	15	59	28	83	89	23	64
peak8163	26	98	156	338	1	92	835	1360	3113	639	7	151	95	146	62	52	941	1272	2152	854
peak8164	8	36	85	154	1	31	296	457	1642	233	8	61	33	19	33	3	284	393	516	300
peak8165	9	62	95	176	0	7	140	249	317	147	10	93	36	16	27	3	153	227	65	141
peak8166	8	20	42	55	0	8	76	149	157	86	6	40	23	3	14	3	124	150	33	54
peak8167	11	28	48	32	2	95	284	326	433	196	5	43	19	5	17	47	346	493	42	205
peak8168	12	30	69	29	0	39	150	202	360	144	0	57	20	1	0	4	159	277	38	154
peak8169	41	23	32	51	2	132	213	177	342	175	24	47	15	2	10	50	172	300	49	151
peak8170	14	26	23	38	0	11	70	108	164	81	6	34	16	4	0	1	76	116	20	67
peak8171	48	27	25	46	0	126	319	345	731	242	28	33	9	3	51	61	350	584	58	249
peak8172	36	32	48	34	4	29	117	95	251	78	14	36	21	1	0	0	115	170	16	48
peak8173	12	44	52	53	0	22	157	144	306	112	4	50	34	2	35	0	145	152	13	120
peak8174	11	21	36	70	1	13	75	86	183	59	10	50	15	0	4	5	70	120	13	58
peak8175	26	37	56	84	0	29	110	187	131	101	29	43	30	3	16	10	124	191	10	126
peak8176	12	17	32	79	0	7	90	115	176	73	8	43	5	2	6	9	100	141	18	82
peak8177	106	4	5	8	0	343	33	41	40	32	166	12	6	13	0	507	26	72	170	26
peak8178	13	46	97	71	0	18	95	197	104	122	3	69	43	4	32	0	142	213	21	121
peak8179	22	47	119	103	0	22	196	298	445	158	9	100	42	8	52	4	201	317	38	236
peak8180	19	15	14	38	0	32	73	67	486	48	4	24	12	2	16	7	65	99	59	50
peak8181	28	28	51	80	0	14	184	292	666	147	13	67	39	2	0	1	262	262	62	152
peak8182	10	24	38	65	0	9	71	118	222	46	3	34	17	3	1	0	47	90	14	63
peak8183	10	12	23	62	650	4	31	21	180	20	10	46	9	3	0	5	29	69	18	27
peak8184	3	2	5	26	0	3	13	18	105	14	0	7	1	1	0	0	15	23	20	13
peak8185	20	23	40	45	0	11	44	52	81	61	3	33	24	168	0	0	34	61	286	56
peak8186	18	7	16	6	0	209	64	93	10	57	7	7	11	2	0	83	78	141	16	69
peak8187	5	81	141	41	1	0	158	251	36	282	9	118	67	21	88	0	187	260	11	271
peak8188	3	86	122	23	0	4	55	101	25	116	13	100	60	11	111	0	78	105	3	123
peak8189	5	65	119	29	271	0	40	112	19	56	6	59	52	18	37	0	91	121	3	85
peak8190	4	49	105	70	1	16	151	237	138	182	4	59	22	10	0	3	146	349	25	178
peak8191	12	49	90	206	0	5	77	121	179	85	3	111	64	35	30	0	74	148	73	105
peak8192	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	84	0	0	3	0
peak8193	61	46	102	202	0	63	74	98	108	95	45	65	113	209	61	18	66	126	130	77
peak8194	10	73	196	325	1	3	215	335	263	353	2	84	126	50	51	0	226	424	84	370
peak8195	11	4	4	3	0	12	0	1	0	4	5	1	0	1	0	0	0	0	77	2
peak8196	7	43	104	41	0	2	285	420	116	464	5	50	64	12	46	0	323	491	7	530
peak8197	3	0	0	0	0	23	0	3	2	2	6	1	0	2	0	359	1	2	1	0
peak8198	6	0	4	1	0	12	6	6	1	1	6	3	22	4	0	84	5	32	23	0
peak8199	10	1	0	0	0	174	4	8	6	15	4	0	0	0	0	204	6	16	11	13
peak8200	4	1	1	2	0	58	7	3	7	4	6	2	3	0	0	17	2	5	0	4
peak8201	14	12	17	38	0	16	44	63	139	32	4	9	11	3	0	0	25	87	23	48
peak8202	36	33	39	80	0	92	109	126	466	108	6	43	11	9	21	15	95	131	119	104
peak8203	17	6	19	20	0	60	19	74	192	19	6	10	6	0	0	0	42	57	12	38
peak8204	15	7	17	26	0	53	51	62	171	31	4	10	3	1	0	5	49	66	31	38
peak8205	11	8	17	27	0	11	24	44	132	20	2	4	4	1	11	0	34	48	38	35
peak8206	14	6	22	28	0	9	16	24	101	10	10	5	2	4	0	0	21	14	26	10
peak8207	157	56	89	149	0	1332	363	434	2481	382	85	64	39	44	3	884	391	660	1249	320
peak8208	39	4	13	9	0	215	27	42	286	34	31	4	7	4	0	175	25	40	149	27
peak8209	42	20	20	69	0	141	70	96	581	66	17	12	3	10	0	49	81	133	295	62
peak8210	57	53	68	122	0	160	244	448	802	357	13	33	30	50	62	85	281	486	637	379
peak8211	6	15	61	39	271	26	120	311	539	172	0	0	1	3	0	0	122	181	41	197
peak8212	7	13	28	4	0	50	32	92	73	25	0	0	3	0	0	0	34	57	2	37
peak8213	65	115	303	935	4	223	360	802	2013	551	0	0	14	82	24	0	314	492	428	568
peak8214	197	291	837	1577	4	1714	2329	4658	23995	3135	2	6	42	103	45	11	2275	3401	1252	3754
peak8215	16	14	32	96	0	12	33	55	215	41	0	0	0	1	0	0	29	22	2	39
peak8216	37	79	235	330	0	36	266	449	1366	376	0	0	19	3	1	4	213	340	25	408
peak8217	12	8	25	27	1	35	119	159	630	137	0	1	1	2	0	0	110	183	13	115
peak8218	30	6	12	17	0	92	35	32	110	24	0	1	0	0	0	0	24	27	1	34
peak8219	7	6	3	16	0	30	5	18	112	15	0	0	0	0	0	0	5	16	8	11
peak8220	13	4	2	37	0	45	14	28	131	12	0	0	1	0	0	0	15	8	2	27
peak8221	13	4	5	6	0	219	45	68	156	46	16	0	3	2	0	56	39	51	51	57
peak8222	38	15	14	14	0	259	66	85	108	109	14	9	1	1	0	18	65	68	23	100
peak8223	62	12	26	20	0	482	86	149	162	91	13	8	1	1	0	37	101	150	93	86
