control_input	control_input.1	control_input.2	control_input.3	control_input.4	control_IP	control_IP.1	control_IP.2	control_IP.3	control_IP.4	treatment_input	treatment_input.1	treatment_input.2	treatment_input.3	treatment_input.4	treatment_IP	treatment_IP.1	treatment_IP.2	treatment_IP.3	treatment_IP.4
peak69	12	1	5	1	0	85	20	24	16	16	33	5	4	1	0	30	19	41	24	29
peak70	10	7	4	1	0	49	43	44	24	22	12	7	3	1	0	38	25	61	40	21
peak71	0	2	6	2	0	16	39	66	34	40	1	16	6	0	0	7	49	64	91	61
peak72	0	0	0	0	0	0	0	0	3	0	6	0	0	0	0	47	0	0	185	0
peak73	0	0	0	0	0	2	3	2	18	6	21	4	1	10	0	49	4	11	186	4
peak74	0	0	0	0	0	0	3	1	1	15	4	1	2	16	0	4	0	16	125	3
peak75	2	0	0	4	0	5	15	16	23	64	2	5	6	40	0	34	17	62	1156	72
peak76	0	1	0	2	0	4	2	4	5	13	5	4	2	46	0	32	2	15	320	23
peak77	0	0	0	0	0	12	2	3	5	11	10	0	0	0	0	17	5	11	82	10
peak78	5	2	0	1	0	7	1	4	1	3	9	2	1	13	0	17	2	1	132	3
peak79	0	0	0	1	0	0	2	0	6	1	3	0	0	1	0	7	2	3	54	1
peak80	2	2	1	1	0	11	6	4	15	1	12	0	0	3	0	18	4	16	627	6
peak81	10	2	1	0	0	73	26	21	19	20	40	7	0	2	0	160	27	47	52	16
peak82	13	2	0	0	0	34	14	6	11	11	58	10	0	3	0	72	13	21	51	11
peak83	51	13	16	18	1	80	70	66	193	121	143	124	14	136	0	190	99	162	4493	141
peak84	8	0	1	1	0	71	34	37	8	10	23	0	5	0	0	92	42	219	21	13
peak85	13	0	4	2	0	35	32	36	11	7	14	2	3	0	0	107	39	254	23	9
peak86	5	0	0	0	0	48	2	4	4	1	14	1	4	0	0	144	9	53	19	2
peak87	10	0	1	1	0	49	22	23	9	4	17	4	5	1	0	35	50	236	33	1
peak88	0	0	0	0	0	2	6	2	14	1	0	0	0	0	0	41	4	17	63	0
peak89	30	1	3	9	0	78	28	23	77	17	215	7	3	56	0	1086	30	20	2330	18
peak90	2	0	2	3	0	5	5	12	3	2	17	5	1	12	0	42	11	3	92	11
peak91	18	0	2	6	0	11	4	17	52	11	4	3	1	14	0	2	18	24	89	20
peak92	7	0	3	1	0	18	15	29	18	5	4	0	0	0	0	7	30	13	128	1
peak93	73	112	204	520	1178	110	540	677	2653	471	118	324	186	380	91	83	552	1228	1877	501
peak94	65	150	349	562	1099	136	1336	1730	2960	1072	110	381	337	189	173	67	1771	2331	1512	1335
peak95	19	53	142	264	307	19	121	211	759	146	31	146	174	98	49	25	161	291	166	138
peak96	29	99	193	256	2	86	727	1039	2133	638	48	188	283	117	95	44	877	1776	491	657
peak97	115	60	165	213	6	409	1671	2088	4222	1268	151	196	171	41	70	263	2126	3907	791	1501
peak98	1	0	3	4	1	6	11	20	482	11	3	6	0	0	0	31	24	27	184	6
peak99	2	3	1	5	0	10	4	2	163	1	10	3	3	3	0	18	4	14	147	3
peak100	4	21	30	40	0	12	23	43	73	34	13	18	28	32	0	8	48	71	62	39
peak101	19	45	96	205	1	134	510	741	2069	485	85	56	119	159	27	205	647	1334	3180	460
peak102	1	2	0	0	0	40	1	0	2	0	9	0	0	0	0	62	0	0	7	0
peak103	12	0	0	3	0	75	3	1	6	3	28	3	0	2	0	94	5	4	10	2
peak104	6	3	2	39	0	13	4	3	72	1	6	6	2	21	1	6	7	4	126	6
peak105	96	76	126	235	0	178	246	299	2649	188	190	128	97	167	30	338	306	488	2042	189
peak106	16	2	1	8	0	67	19	10	63	15	9	5	2	2	0	17	17	23	20	9
peak107	4	0	0	0	0	36	0	4	183	6	3	0	0	0	0	50	1	5	11	0
peak108	10	0	0	8	0	58	11	16	215	23	4	2	0	1	0	45	14	14	33	27
peak109	17	8	21	19	0	86	58	118	461	86	18	7	3	1	0	7	53	58	80	101
peak110	10	1	6	19	0	30	20	40	154	29	6	5	1	9	0	10	33	36	57	40
peak111	18	2	6	17	0	45	9	28	112	19	18	2	0	0	0	19	15	26	26	19
peak112	7	2	1	3	0	219	19	29	98	26	22	3	0	0	0	170	18	50	46	23
peak113	13	0	2	2	0	88	8	1	52	4	23	0	0	0	0	19	2	7	10	7
peak114	18	1	1	18	0	83	8	6	159	5	6	2	0	0	0	31	4	10	30	4
peak115	29	2	2	28	1	98	24	16	466	16	23	1	2	4	0	204	27	13	350	21
peak116	114	10	7	39	0	54	3	8	31	5	103	12	6	22	0	44	5	18	66	6
peak117	37	0	0	7	0	28	1	2	132	1	11	1	1	8	0	5	2	7	75	1
peak118	26	0	0	1	0	30	1	0	168	0	8	1	0	6	0	25	2	8	80	1
peak119	24	2	3	6	0	76	11	18	176	11	16	2	3	1	0	48	17	23	60	10
peak120	46	2	3	26	0	140	13	22	244	9	20	1	0	12	0	59	19	21	104	6
peak121	71	4	5	40	0	86	22	23	229	18	28	7	1	18	0	26	22	35	129	9
peak122	30	3	7	23	0	42	5	18	120	17	32	3	0	5	0	7	10	10	49	6
peak123	78	9	22	51	2	119	13	32	247	14	43	13	4	10	0	39	11	16	98	24
peak124	60	3	3	47	0	53	20	17	387	18	24	1	2	11	0	16	12	9	118	9
peak125	41	1	9	32	0	129	25	24	252	36	16	0	5	6	30	38	17	44	105	25
peak126	76	13	27	57	0	129	44	41	219	33	39	10	3	7	56	47	30	64	139	41
peak127	46	7	11	25	0	118	15	20	36	18	27	3	1	6	0	4	13	16	13	23
peak128	32	6	20	32	0	65	26	38	94	24	12	10	8	1	0	0	34	54	29	49
peak129	29	5	13	24	0	64	39	51	250	38	18	18	4	9	0	39	29	49	192	32
peak130	31	34	48	70	2	96	89	162	779	89	15	37	19	14	2	46	85	111	392	99
peak131	27	19	34	26	0	14	35	82	239	37	14	22	13	12	0	0	43	55	58	48
peak132	48	3	8	15	0	249	33	41	61	16	29	8	0	2	0	38	29	42	21	20
peak133	204	65	88	474	0	459	108	148	1166	141	205	72	113	284	0	192	121	323	1511	123
peak134	354	186	257	1024	1054	938	842	902	7610	839	253	258	198	230	53	319	872	1496	3026	815
peak135	92	41	65	229	304	164	88	79	501	99	52	64	30	51	0	51	96	101	170	107
peak136	59	37	29	93	0	83	105	139	354	128	20	43	17	12	19	46	125	203	143	179
peak137	108	78	157	351	0	235	185	253	1086	279	76	95	55	67	73	262	165	302	591	310
peak138	86	61	97	196	0	32	36	57	109	90	43	89	26	22	22	61	50	105	101	67
peak139	20	52	78	218	0	3	35	61	200	64	11	82	26	128	0	15	40	82	635	85
peak140	308	123	220	344	2	1841	551	796	2958	707	137	166	118	41	41	421	541	870	1224	706
peak141	63	29	58	97	0	34	90	143	389	128	31	50	33	9	0	21	98	137	57	110
peak142	146	21	35	60	0	202	164	219	650	195	56	29	21	3	0	60	187	310	115	162
peak143	45	6	4	17	0	125	34	39	273	53	21	6	2	1	0	8	21	34	10	57
peak144	5	0	0	0	0	36	7	10	12	6	3	1	0	0	0	16	0	5	2	3
peak145	4	8	16	14	0	11	4	2	42	11	11	10	15	8	0	75	6	12	237	3
peak146	81	39	58	229	352	534	697	825	5908	454	169	73	84	211	0	833	729	1871	9428	544
peak147	17	0	0	2	0	87	0	2	32	2	12	0	0	1	0	98	4	3	37	1
peak148	30	3	0	0	0	368	15	10	112	12	19	0	1	1	0	325	19	21	118	7
