control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak156	32	49	170	99	16	13	55	38
peak157	56	56	184	262	62	91	172	135
peak158	44	39	192	165	50	55	167	127
peak159	43	46	122	137	56	54	92	80
peak160	182	171	1322	1113	174	185	1104	896
peak161	88	103	313	257	89	73	261	189
peak162	79	109	231	122	98	76	229	144
peak163	15	13	70	83	10	10	31	14
peak164	21	14	82	69	21	9	58	20
peak165	28	27	142	141	25	35	80	85
peak166	14	9	65	54	6	8	35	24
peak167	16	11	68	58	12	9	57	38
peak168	16	7	83	64	9	9	59	33
peak169	49	25	128	114	27	15	46	24
peak170	474	420	2223	2071	292	263	1305	867
peak171	528	495	1644	1288	393	269	883	542
peak172	354	348	1308	1189	272	204	871	572
peak173	1996	1893	10212	8817	1846	1926	8517	6535
peak174	42	53	117	107	80	66	241	189
peak175	38	61	237	261	56	63	304	242
peak176	60	75	209	190	91	96	211	202
peak177	150	185	766	741	218	254	820	786
peak178	81	103	591	618	105	118	685	547
peak179	55	54	259	234	57	55	267	254
peak180	32	29	121	98	44	38	138	108
peak181	161	165	828	676	312	365	1283	1177
peak182	35	53	174	151	62	78	266	263
peak183	5	3	38	77	3	7	25	19
peak184	9	12	73	74	8	11	55	39
peak185	43	45	75	57	36	19	41	36
peak186	46	40	96	101	26	27	81	49
peak187	54	39	157	120	32	29	128	76
peak188	47	46	215	216	38	37	155	110
peak189	39	32	126	156	54	52	183	122
peak190	51	38	98	76	65	55	128	101
peak191	85	96	473	459	117	99	590	391
peak192	107	86	553	434	122	134	625	428
peak193	209	204	940	811	211	223	813	683
peak194	368	328	1792	1684	374	349	1545	1255
peak195	294	271	1384	1288	312	318	1326	1020
peak196	109	167	1078	1088	134	126	678	610
peak197	213	203	1194	1140	245	284	1359	1045
peak198	67	83	289	267	85	74	287	207
peak199	231	209	1090	1028	315	234	1205	876
peak200	242	229	1469	1289	281	252	1389	1175
peak201	246	245	621	603	303	308	773	510
peak202	122	102	341	328	121	113	385	266
peak203	14	28	98	165	26	18	59	52
peak204	31	40	148	154	22	43	100	98
peak205	16	23	110	88	15	19	46	51
peak206	24	28	231	203	18	21	176	114
peak207	41	47	159	128	29	42	122	84
peak208	53	33	189	138	34	28	132	85
peak209	183	211	1096	969	164	150	793	552
peak210	77	79	366	353	69	76	290	215
peak211	96	86	227	205	60	55	153	115
peak212	84	113	685	651	71	65	534	366
peak213	32	27	184	185	19	13	107	103
peak214	27	32	99	48	27	31	48	48
peak215	12817	13219	5376	4716	12732	13289	4986	4209
peak216	11616	11628	12221	10564	11543	12179	11801	10540
peak217	8099	8539	4469	3982	8048	8112	3810	3389
peak218	1331	1664	5425	5695	1336	1259	4427	4336
