control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak138	45	55	154	391	37	32	135	62
peak139	24	30	48	216	28	24	305	99
peak140	16	20	14	17	15	17	6	5
peak141	68	71	200	260	56	56	130	64
peak142	25	24	254	299	33	19	466	192
peak143	1	0	0	2	1	2	2	1
peak144	5	3	14	15	7	6	52	17
peak145	9	12	31	76	18	14	191	99
peak146	0	2	0	0	0	1	0	0
peak147	0	1	0	0	0	0	0	0
peak148	0	0	0	0	0	0	0	0
peak149	25	17	28	6	14	14	42	22
peak150	55	73	366	543	42	34	215	119
peak151	49	66	94	480	59	54	598	265
peak152	79	130	419	527	95	93	293	160
peak153	2	1	2	3	4	1	10	0
peak154	2	2	2	0	2	0	0	1
peak155	5	0	10	3	3	4	4	1
peak156	20	11	53	90	14	21	153	79
peak157	5	6	55	338	2	9	136	49
peak158	3	6	32	173	8	3	49	25
peak159	9	12	3	3	4	7	16	7
peak160	0	0	0	0	2	0	0	0
peak161	32	23	121	300	27	20	365	183
peak162	12	6	1	0	7	15	8	6
peak163	9	8	8	3	10	10	79	28
peak164	13	7	69	88	15	8	116	59
peak165	29	40	388	988	52	27	954	458
peak166	85	86	720	1224	114	115	1463	1054
peak167	19	11	51	78	11	18	123	59
peak168	4	1	42	101	9	5	247	100
peak169	2	1	2	0	1	1	1	1
peak170	3	2	28	53	2	1	49	21
peak171	7	5	9	5	14	9	26	15
peak172	25	20	5	6	35	34	23	6
peak173	11	6	3	0	12	7	9	3
peak174	57	48	347	1174	78	65	1167	530
peak175	22	32	166	478	34	27	224	91
peak176	8	8	126	159	12	22	167	92
peak177	29	14	38	21	23	17	69	38
peak178	14	11	32	63	19	13	29	17
peak179	20	48	3	4	31	27	9	8
peak180	29	32	132	308	24	10	149	81
peak181	40	45	160	362	37	43	144	96
peak182	71	81	345	856	50	66	689	340
peak183	40	31	148	367	29	26	208	79
peak184	14	4	41	50	8	7	57	28
peak185	6	4	55	67	15	8	165	90
peak186	7	8	68	59	11	9	202	80
peak187	7	3	16	18	11	8	43	11
peak188	19	11	250	664	14	9	778	239
peak189	137	74	172	550	50	48	699	361
peak190	1	0	1	0	0	0	0	2
peak191	7	11	9	14	6	5	11	1
peak192	395	344	313	382	351	299	1238	603
peak193	574	569	196	104	553	451	420	200
peak194	16	33	41	232	30	16	515	165
peak195	60	118	79	215	122	99	353	182
peak196	45	90	310	1977	107	97	1462	367
peak197	89	201	346	1543	255	171	1340	355
peak198	25	20	366	871	20	31	1026	439
peak199	6	8	22	63	13	11	64	35
peak200	16	18	143	295	32	23	323	167
peak201	13	16	38	109	12	9	104	45
peak202	0	3	0	0	6	6	6	3
peak203	4	7	31	35	6	6	45	25
peak204	22	27	68	220	39	43	174	120
peak205	61	82	378	1380	137	149	1230	530
peak206	3	2	2	2	4	1	0	0
peak207	3	1	1	16	6	1	13	6
peak208	7	9	34	132	12	11	127	40
peak209	30	30	91	169	15	16	112	67
peak210	1	1	2	2	1	0	16	3
peak211	168	270	127	297	163	171	340	169
peak212	18	14	7	3	8	13	0	1
peak213	65	38	442	466	33	26	406	165
peak214	15	18	8	17	2	2	12	0
peak215	9	6	6	0	3	8	14	6
peak216	11	13	14	13	12	4	3	1
peak217	12	6	2	0	6	1	0	0
peak218	7	5	51	139	6	8	187	85
peak219	12	12	65	86	13	5	76	68
peak220	13	15	51	75	9	7	116	34
peak221	13	8	66	61	4	7	55	28
peak222	9	8	63	99	9	9	82	41
peak223	9	1	72	142	5	6	252	92
peak224	9	9	45	83	9	8	77	83
peak225	12	6	105	111	10	11	118	37
peak226	17	16	59	95	24	12	102	65
peak227	24	32	192	310	32	26	164	61
peak228	0	0	6	7	1	4	7	7
peak229	0	0	1	0	0	0	0	0
peak230	17	16	7	8	14	19	4	3
peak231	33	37	8	17	51	56	68	28
peak232	20	39	9	8	48	52	42	19
peak233	105	136	525	1624	180	208	1351	643
peak234	18	21	31	127	27	31	65	29
peak235	74	91	440	407	75	69	117	108
peak236	1	1	1	0	0	0	0	0
peak237	2	1	0	0	1	1	1	0
peak238	11	8	11	56	15	7	81	37
peak239	4	2	11	46	11	5	89	39
peak240	3	3	33	75	13	18	145	103
peak241	1	2	3	21	1	3	17	7
peak242	27	11	27	12	18	13	30	39
peak243	57	53	99	171	55	43	78	61
peak244	48	61	86	75	70	57	86	54
peak245	95	67	189	216	60	35	418	233
peak246	236	192	730	854	105	99	375	202
peak247	254	145	495	147	121	117	266	466
peak248	2	2	50	20	2	4	37	22
peak249	20	16	10	37	29	17	23	13
peak250	6	12	82	277	14	13	161	82
peak251	1	8	2	0	3	1	12	5
peak252	42	39	82	38	31	25	146	74
peak253	31	29	127	130	39	10	56	38
peak254	35	33	149	242	55	20	196	78
peak255	29	38	100	152	38	32	176	47
peak256	49	49	261	435	76	48	524	126
peak257	36	30	82	122	50	34	105	40
peak258	25	21	59	132	37	18	140	40
peak259	43	45	114	264	58	43	170	64
peak260	53	67	293	681	101	80	553	275
peak261	27	29	176	504	37	27	335	159
peak262	26	28	137	414	40	34	282	118
peak263	1	1	0	0	0	0	0	0
peak264	0	0	2	4	0	1	0	1
peak265	3	5	35	83	5	8	39	25
peak266	8	13	45	80	17	4	57	24
peak267	0	0	0	0	1	2	1	1
peak268	0	4	6	19	2	6	14	7
peak269	2	2	5	8	4	4	36	5
peak270	3	4	22	78	4	3	46	19
peak271	9	5	20	132	2	9	95	38
peak272	5	6	17	47	12	5	139	48
peak273	4	4	48	143	14	15	249	140
peak274	84	48	297	229	27	24	172	68
peak275	52	26	105	102	12	8	50	18
peak276	13	22	7	10	27	18	17	15
peak277	75	56	386	345	71	43	229	141
peak278	513	323	2934	3704	365	289	3975	2054
peak279	4	9	6	10	7	3	7	4
peak280	12	15	6	10	12	13	4	0
peak281	8	11	88	147	11	11	184	104
peak282	12	6	77	111	6	8	205	121
peak283	12	4	39	62	6	7	134	52
peak284	23	11	62	61	25	16	171	85
peak285	6	5	66	121	10	7	108	38
peak286	5	8	38	69	9	5	81	28
peak287	38	38	80	38	43	44	196	105
peak288	14	17	66	160	18	16	106	36
peak289	7	5	3	9	3	5	16	1
peak290	4	7	5	6	6	5	10	5
peak291	24	20	162	189	43	33	315	147
peak292	19	26	137	212	22	20	292	151
peak293	54	38	87	101	55	38	123	74
peak294	101	202	168	213	224	223	269	166
peak295	257	467	154	143	420	444	350	255
peak296	107	183	112	201	188	199	145	84
peak297	117	230	324	991	255	236	428	191
peak298	95	115	163	442	125	125	172	142
peak299	8	2	41	74	5	3	33	12
peak300	11	5	70	50	21	18	130	45
peak301	3	2	1	0	4	2	3	6
peak302	0	4	18	52	6	4	65	37
peak303	3	8	44	110	12	8	239	84
peak304	16	18	150	249	17	11	163	76
peak305	25	10	89	104	23	12	78	20
peak306	96	30	651	630	58	34	870	415
peak307	21	9	47	15	9	9	86	46
peak308	18	15	128	237	14	18	171	73
peak309	8	16	22	32	10	9	23	22
peak310	18	17	16	29	11	16	19	7
peak311	20	8	77	121	11	20	131	34
peak312	10	7	69	115	10	2	129	52
peak313	12	13	60	64	4	7	105	41
peak314	10	6	59	111	8	4	208	67
peak315	11	12	55	125	10	11	96	33
peak316	242	272	410	976	243	242	897	525
peak317	389	280	841	792	295	329	1079	908
peak318	4	1	20	67	1	5	17	9
peak319	62	41	256	456	41	33	356	178
peak320	57	57	237	177	49	44	226	129
peak321	60	73	296	452	57	73	368	198
peak322	38	27	72	65	4	24	116	102
peak323	9	7	42	93	3	3	64	32
peak324	19	10	102	95	14	7	63	58
peak325	4	9	80	216	14	10	245	59
peak326	8	4	16	35	8	5	167	54
peak327	19	15	97	107	6	4	43	18
peak328	6	10	11	37	2	3	94	64
peak329	5	3	21	17	4	2	22	13
peak330	3	3	12	14	4	2	3	2
peak331	1	1	0	0	0	2	0	0
peak332	1	1	1	0	0	2	0	1
peak333	3	0	29	67	6	5	53	40
peak334	4	3	24	37	3	7	38	47
peak335	36	33	186	169	40	34	364	244
peak336	7	1	49	68	4	5	90	23
peak337	8	11	3	0	14	10	24	6
peak338	24	31	129	427	25	38	399	157
peak339	9	4	40	101	8	9	115	47
peak340	7	13	101	241	22	14	246	95
peak341	17	6	67	114	8	9	175	96
peak342	51	37	201	381	50	54	208	83
peak343	9	13	74	139	20	19	479	170
peak344	0	0	1	0	1	0	0	1
peak345	0	0	0	0	0	0	0	1
peak346	1	0	0	0	0	0	0	0
peak347	18	18	142	273	23	21	206	103
peak348	9	7	2	0	12	9	17	7
peak349	0	1	0	0	1	0	3	0
peak350	14	8	48	75	10	20	153	121
peak351	6	3	4	0	3	2	4	3
peak352	59	57	234	180	53	39	212	128
peak353	15	11	36	111	8	16	62	16
peak354	16	12	53	127	10	10	151	88
peak355	12	5	143	370	4	3	239	96
peak356	4	3	24	37	3	7	38	47
peak357	2	2	7	31	0	1	14	11
peak358	3	4	3	3	2	3	0	1
peak359	15	13	45	82	19	10	57	32
peak360	20	19	180	269	17	17	313	121
peak361	14	8	0	2	7	6	21	3
peak362	22	18	53	107	26	25	132	62
peak363	26	25	147	199	34	24	391	192
peak364	15	6	123	268	18	16	622	166
peak365	12	13	20	85	30	14	163	67
peak366	4	10	48	136	16	11	182	91
peak367	26	12	3	10	31	22	24	18
peak368	16	12	5	2	18	16	14	11
peak369	11	8	81	129	10	11	41	30
peak370	8	9	89	414	15	6	277	92
peak371	3	0	7	18	2	3	34	13
peak372	9	16	12	7	10	9	25	12
peak373	57	42	308	63	74	68	545	522
peak374	29	31	55	52	58	36	290	166
peak375	11	12	59	149	25	16	177	53
peak376	3	1	2	6	1	0	0	2
peak377	3	5	50	84	4	7	73	69
peak378	50	40	254	518	41	30	396	150
peak379	19	22	60	64	20	19	58	41
peak380	19	14	10	15	7	8	44	12
peak381	31	26	118	129	28	27	54	48
peak382	0	1	0	0	0	0	0	0
peak383	13	9	12	33	9	3	39	14
peak384	49	35	331	361	34	19	609	382
peak385	23	17	142	133	23	14	85	71
peak386	10	11	55	125	26	19	165	50
peak387	12	13	78	150	10	11	105	81
peak388	5	4	17	59	4	4	88	39
peak389	34	19	90	9	22	16	96	56
peak390	43	34	345	718	31	35	431	193
peak391	88	78	807	1348	66	49	1216	527
peak392	19	23	164	254	15	18	100	63
peak393	22	21	70	52	37	29	216	133
peak394	102	121	440	585	127	116	321	162
peak395	5	0	58	90	12	2	84	20
peak396	17	11	35	73	8	10	67	22
peak397	15	13	84	102	10	16	85	54
peak398	25	33	129	201	20	23	282	113
peak399	13	9	55	58	11	9	67	17
peak400	2	6	2	6	7	9	9	2
peak401	3	6	5	85	7	8	91	26
peak402	0	3	4	44	11	16	32	11
peak403	11	11	27	71	5	8	97	23
peak404	6	5	1	0	7	1	0	0
peak405	7	10	0	0	5	2	0	0
peak406	10	8	74	113	11	9	84	32
peak407	12	13	77	71	8	3	65	22
peak408	32	29	150	183	15	16	200	85
peak409	144	160	521	591	151	96	630	253
peak410	26	30	106	121	17	30	101	71
peak411	14	10	22	52	15	11	160	56
peak412	9	9	9	36	8	22	51	11
peak413	16	13	185	363	33	26	429	153
peak414	6	5	12	27	7	10	46	28
peak415	19	14	96	112	13	17	58	20
peak416	17	11	71	86	17	8	47	21
peak417	3	1	28	72	0	1	52	14
peak418	3	2	3	4	6	3	11	9
peak419	6	7	62	239	10	6	188	105
peak420	4	11	1	0	8	9	0	1
peak421	1	0	18	18	0	1	51	26
peak422	2	0	19	42	2	3	79	18
peak423	0	1	0	0	0	0	0	0
peak424	0	0	0	0	0	0	0	0
peak425	3	12	5	1	3	6	12	8
peak426	0	0	0	0	0	0	0	0
peak427	6	3	4	0	2	1	0	6
peak428	22	13	33	2	16	15	13	15
peak429	5	0	37	93	6	10	76	53
peak430	3	2	49	42	2	5	82	25
peak431	8	16	48	219	11	11	91	57
peak432	14	10	62	106	10	14	95	83
peak433	17	21	120	186	19	4	165	101
peak434	2	7	59	78	8	5	51	57
peak435	3	5	6	5	11	6	0	1
peak436	13	11	73	88	10	5	82	49
peak437	18	24	118	243	18	14	140	97
peak438	1	0	1	1	0	0	0	0
peak439	28	13	82	210	17	8	92	49
peak440	28	20	82	17	24	16	73	76
peak441	26	24	210	364	36	22	486	167
peak442	21	27	299	355	32	36	495	225
peak443	11	2	47	82	17	11	113	33
peak444	20	17	10	5	10	5	10	8
peak445	33	24	96	24	21	17	140	57
peak446	42	25	71	47	30	24	118	77
peak447	12	4	22	77	7	5	105	39
peak448	36	35	202	84	17	18	266	208
peak449	2	5	1	0	6	8	4	1
peak450	7	11	100	88	10	6	80	39
peak451	13	12	111	126	8	9	116	51
peak452	5	5	5	0	7	3	32	4
peak453	0	0	0	0	0	0	0	0
peak454	16	18	3	8	10	9	1	5
peak455	148	186	99	411	145	147	583	302
peak456	0	0	0	2	0	1	0	0
peak457	0	0	0	0	0	0	0	0
peak458	0	0	1	0	0	0	0	0
peak459	45	49	202	172	36	33	110	44
peak460	305	316	1347	1511	343	319	2471	1627
peak461	157	158	973	3087	200	168	3069	1001
peak462	7	5	43	130	9	5	79	25
peak463	3	0	1	0	0	3	0	1
peak464	4	1	6	17	3	1	15	4
peak465	3	1	15	26	1	1	16	16
peak466	0	0	0	0	0	0	0	0
peak467	1	2	6	22	1	4	71	48
peak468	69	70	8	12	58	65	19	9
peak469	232	274	1086	1854	208	171	1843	883
peak470	17	14	33	44	20	9	181	52
peak471	5	2	20	56	7	13	75	33
peak472	23	20	148	211	42	50	506	251
peak473	15	4	60	47	20	13	114	58
peak474	4	6	49	99	8	2	111	32
peak475	0	0	0	0	0	0	0	0
peak476	5	6	59	143	14	7	163	79
peak477	8	11	15	53	7	8	100	38
peak478	18	24	48	49	20	10	24	15
peak479	8	13	4	2	4	10	2	3
peak480	5	6	46	89	7	4	79	30
peak481	12	12	65	225	9	2	167	82
peak482	3	2	22	88	8	1	73	17
peak483	4	8	36	53	11	1	49	15
peak484	8	4	44	163	2	1	49	31
peak485	4	10	23	110	11	5	225	102
peak486	9	8	63	191	10	5	211	104
peak487	12	7	11	21	6	6	6	6
peak488	6	2	3	2	4	2	2	0
peak489	2	0	0	0	0	1	0	0
peak490	0	0	0	0	1	0	0	0
peak491	1	1	0	0	0	0	0	0
peak492	2	0	2	0	2	1	2	0
peak493	14	24	133	357	14	15	192	76
peak494	29	31	222	361	33	23	310	149
peak495	2	4	0	0	1	0	0	0
peak496	7	2	41	133	4	4	66	25
peak497	7	6	56	116	4	2	72	39
peak498	7	12	12	26	21	18	80	59
peak499	10	17	97	144	16	16	56	39
peak500	10	13	0	4	17	18	1	3
peak501	34	31	206	545	48	48	516	218
peak502	1	2	14	8	1	2	21	10
peak503	13	24	16	12	11	9	78	48
peak504	9	5	3	0	19	8	25	11
peak505	4	6	12	9	10	13	20	14
peak506	4	3	54	160	12	3	119	47
peak507	5	6	3	3	6	4	0	5
peak508	15	8	39	34	19	11	33	29
peak509	6	7	37	53	8	8	63	22
peak510	101	154	447	447	110	77	306	182
peak511	0	0	0	0	0	0	1	0
peak512	9	14	45	75	7	8	61	33
peak513	0	0	1	0	0	0	0	0
peak514	0	0	0	0	1	0	0	0
peak515	1	0	0	0	1	0	0	0
peak516	0	0	1	0	0	1	0	1
peak517	6	4	8	23	6	7	23	8
peak518	0	3	7	9	6	4	36	7
peak519	2	2	8	15	3	2	51	13
peak520	30	48	257	1072	56	63	1125	483
peak521	20	23	58	199	26	35	118	41
peak522	18	26	67	169	40	53	293	117
peak523	19	21	9	9	30	20	9	2
peak524	46	36	255	301	68	48	375	255
peak525	13	7	79	79	11	9	188	90
peak526	57	48	177	206	22	24	104	34
peak527	128	139	896	1294	91	64	643	266
peak528	35	38	313	286	39	25	368	237
peak529	16	12	128	236	13	30	400	244
peak530	8	3	48	112	16	7	166	63
peak531	8	5	37	35	23	20	54	29
peak532	52	50	91	114	97	76	320	210
peak533	41	21	58	101	17	20	193	67
peak534	47	37	34	11	47	28	34	32
peak535	87	81	285	348	85	68	181	120
peak536	0	0	0	4	1	0	3	0
peak537	5	7	10	28	6	5	82	22
peak538	57	36	170	98	42	35	180	147
peak539	5	9	50	150	2	6	144	41
peak540	6	5	28	56	3	2	96	24
peak541	7	16	56	55	17	7	209	86
peak542	13	13	12	0	10	16	5	8
peak543	19	19	154	304	23	32	165	159
peak544	0	0	0	0	0	0	0	1
peak545	0	0	0	0	0	0	0	0
peak546	0	0	0	0	0	0	0	0
peak547	4	10	26	96	6	8	135	37
peak548	0	1	0	0	0	0	0	0
peak549	8	6	14	17	15	11	31	10
peak550	6	5	51	138	10	7	213	82
peak551	46	43	504	893	70	83	1031	677
peak552	1	4	29	33	12	5	77	52
peak553	6	3	51	107	6	12	133	67
peak554	106	104	161	320	94	66	172	54
peak555	83	49	169	104	40	40	147	124
peak556	148	175	234	575	94	47	709	173
peak557	0	4	3	5	5	4	9	5
peak558	1	6	21	143	12	6	132	51
peak559	42	35	135	395	49	53	122	45
peak560	22	16	43	127	28	18	207	93
peak561	28	70	419	2593	55	67	1684	624
peak562	133	180	265	262	202	235	531	359
peak563	7	4	37	43	3	3	52	29
peak564	5	7	53	41	4	2	30	8
peak565	3	6	45	34	3	1	63	57
peak566	32	49	161	289	55	37	178	60
peak567	1	1	0	0	2	4	0	0
peak568	1	1	0	0	2	4	0	0
peak569	1	4	0	0	9	6	0	0
peak570	29	15	258	407	23	22	616	511
peak571	22	10	5	10	18	18	21	16
peak572	4	2	1	0	4	2	7	1
peak573	12	7	3	0	13	9	10	0
peak574	9	11	42	94	17	9	68	19
peak575	19	15	158	166	17	9	173	72
peak576	19	19	131	281	15	10	230	137
peak577	22	18	84	60	15	6	34	12
peak578	6	8	71	380	10	13	207	45
peak579	11	9	102	247	17	17	333	78
peak580	5	10	40	90	8	5	74	30
peak581	6	7	41	112	8	4	53	15
peak582	102	54	474	102	44	30	192	195
peak583	0	0	0	0	0	0	0	0
peak584	1	0	0	0	0	0	0	0
peak585	12	11	75	109	5	10	106	31
peak586	21	11	81	28	8	6	49	50
peak587	58	41	674	1328	56	47	1419	782
