control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak157	28	13	250	160	12	3	201	93
peak158	37	9	105	72	19	4	106	41
peak159	23	18	137	63	24	7	94	38
peak160	64	35	290	188	46	5	207	89
peak161	3	4	27	26	4	1	75	29
peak162	6	3	43	19	8	1	40	4
peak163	7	3	22	35	3	0	25	24
peak164	9	7	59	57	8	0	91	21
peak165	25	8	103	33	9	1	136	37
peak166	0	0	9	0	0	0	47	15
peak167	23	9	161	81	15	4	116	23
peak168	4	2	12	8	3	1	15	12
peak169	3	0	10	9	2	1	9	7
peak170	25	10	421	152	20	7	392	78
peak171	57	23	524	221	33	4	515	161
peak172	14	5	137	77	17	3	163	74
peak173	0	0	13	2	1	0	48	28
peak174	0	7	47	17	4	5	102	29
peak175	62	20	110	130	38	7	130	51
peak176	21	10	148	86	8	5	86	48
peak177	18	9	172	99	10	8	103	66
peak178	16	8	149	59	1	2	40	46
peak179	7	8	96	64	7	2	22	32
peak180	18	4	210	168	6	3	100	94
peak181	14	10	87	54	7	2	29	24
peak182	26	6	162	78	6	3	40	35
peak183	19	8	130	40	5	3	63	43
peak184	2	0	36	3	2	1	97	63
peak185	21	5	104	63	14	6	74	29
peak186	12	2	82	51	3	1	39	30
peak187	31	7	380	147	10	4	291	82
peak188	65	17	514	199	37	5	436	99
peak189	0	0	4	0	0	0	32	20
peak190	4	2	131	66	3	1	77	34
peak191	14	6	169	94	17	17	179	44
peak192	10	0	97	67	7	2	81	37
peak193	2	0	44	3	2	0	181	61
peak194	10	7	63	41	10	3	62	19
peak195	5	1	34	23	1	1	30	16
peak196	5	4	133	32	3	0	74	20
peak197	1	3	40	19	3	0	26	16
peak198	119	65	251	106	68	18	170	79
peak199	2	1	32	19	0	0	40	19
peak200	11	4	96	53	1	1	46	29
peak201	25	11	116	50	17	8	175	53
peak202	5	0	18	2	1	1	62	21
peak203	37	14	129	36	17	3	139	33
peak204	13	7	461	134	4	3	569	171
peak205	4	1	87	37	3	0	68	45
peak206	8	5	54	27	7	1	99	14
peak207	17	2	186	60	8	7	240	74
peak208	12	8	53	14	7	0	63	18
peak209	7	3	66	12	4	2	47	21
peak210	10	2	49	34	2	1	46	16
peak211	20	20	230	74	24	9	185	89
peak212	61	17	1748	171	26	1	1692	167
peak213	4	3	14	18	5	2	31	20
peak214	17	8	217	39	6	3	344	123
peak215	85	27	1984	328	63	17	1129	439
peak216	24	10	137	69	11	2	79	43
peak217	7	2	33	22	7	1	46	27
peak218	3	2	21	13	1	1	53	26
peak219	13	4	31	18	7	3	44	21
peak220	1	0	45	10	0	0	40	16
peak221	19	6	40	23	4	1	39	17
peak222	24	13	127	74	11	2	78	26
peak223	8	2	68	23	3	1	102	25
peak224	15	3	98	63	9	5	106	34
peak225	41	16	314	193	36	6	327	88
peak226	51	30	594	376	39	6	488	208
peak227	0	1	13	1	0	0	46	18
peak228	44	10	214	56	17	2	336	65
peak229	22	11	80	50	8	5	61	41
peak230	36	10	701	41	20	2	475	43
peak231	13	5	97	47	6	2	161	37
peak232	26	9	60	67	23	7	68	27
peak233	46	16	244	191	29	10	213	64
peak234	82	29	433	147	43	15	292	67
peak235	37	15	208	146	18	6	157	107
peak236	17	7	83	36	16	5	82	27
peak237	2	0	16	4	0	0	29	9
peak238	24	11	118	22	10	2	66	9
peak239	24	9	254	64	11	2	202	32
peak240	14	3	75	29	4	1	70	15
peak241	32	19	120	31	23	17	325	238
peak242	44	21	608	257	30	10	602	126
peak243	22	7	557	408	20	5	653	165
peak244	28	11	235	113	15	6	166	84
peak245	10	6	80	43	3	0	45	20
peak246	2	1	104	18	4	0	201	66
peak247	30	4	116	30	16	5	116	26
peak248	29	11	65	19	15	6	66	20
peak249	24	9	143	80	11	3	119	42
peak250	5	2	32	3	4	0	124	26
peak251	9	2	63	46	4	1	42	19
peak252	8	2	83	64	8	1	66	21
peak253	8	5	70	69	5	1	55	27
peak254	5	1	44	22	2	0	23	5
peak255	17	8	87	42	9	3	98	32
peak256	40	10	458	189	12	4	243	81
peak257	31	25	318	180	34	6	253	144
peak258	22	5	56	36	16	4	41	17
peak259	13	4	22	16	7	0	37	10
peak260	21	8	37	11	7	3	53	24
peak261	6	2	62	79	9	2	39	30
peak262	43	41	86	112	45	9	145	101
peak263	134	49	275	54	33	11	397	179
peak264	12	4	63	34	6	3	33	22
peak265	3	1	26	17	1	0	19	7
peak266	88	43	605	363	52	12	363	162
peak267	88	35	774	512	49	20	619	330
peak268	16	5	72	39	13	4	47	26
peak269	24	8	101	66	17	6	92	33
peak270	8	3	50	32	22	8	176	263
peak271	14	3	86	64	14	1	78	22
peak272	30	17	207	161	20	7	192	66
peak273	45	15	413	129	23	3	396	95
peak274	19	8	57	49	10	2	51	23
peak275	13	5	50	18	4	1	39	21
peak276	7	9	38	24	6	0	58	12
peak277	12	9	77	23	6	0	52	12
peak278	4	4	38	23	2	1	27	21
peak279	60	21	367	152	33	11	203	94
peak280	7	4	201	72	5	2	114	36
peak281	9	1	109	40	9	2	94	18
peak282	20	11	625	332	18	2	512	198
peak283	4	2	48	8	12	3	31	14
peak284	18	7	451	199	17	3	364	108
peak285	7	2	37	24	2	1	49	31
peak286	17	5	88	64	16	2	68	22
peak287	23	17	89	74	17	7	93	29
peak288	67	26	363	208	51	3	308	121
peak289	34	12	233	193	26	5	321	108
peak290	35	8	498	285	18	6	510	154
peak291	23	15	108	73	22	5	140	52
peak292	11	8	136	71	13	7	153	35
peak293	13	6	146	18	12	2	177	40
peak294	8	5	80	11	1	5	149	56
peak295	72	37	257	146	52	9	307	113
peak296	12	4	86	29	5	2	114	17
peak297	31	9	411	228	14	5	460	158
peak298	26	8	101	87	14	1	116	31
peak299	10	1	36	29	6	2	23	22
peak300	19	5	278	31	7	3	216	57
peak301	8	4	49	37	1	4	72	22
peak302	10	1	53	26	4	2	68	19
peak303	1	3	5	12	1	1	25	4
peak304	5	1	44	17	3	0	67	22
peak305	14	1	430	176	7	4	404	122
peak306	10	2	38	23	6	2	39	14
peak307	20	13	226	131	14	2	174	50
peak308	26	10	228	210	18	7	267	164
peak309	82	34	605	312	71	18	616	170
peak310	6	4	13	2	1	3	29	16
peak311	22	11	124	31	5	2	108	40
peak312	25	13	171	82	9	5	74	68
peak313	25	10	149	48	8	1	145	52
peak314	19	8	132	98	8	4	64	40
peak315	26	19	256	75	17	9	137	49
peak316	8	11	57	54	8	3	55	39
peak317	12	1	49	22	4	0	28	25
peak318	8	3	126	34	11	3	59	32
peak319	8	4	98	39	5	2	57	32
peak320	6	1	71	17	2	2	80	46
peak321	34	20	210	199	31	4	252	101
peak322	13	4	67	42	12	0	70	33
peak323	27	7	514	120	15	5	381	173
peak324	85	51	1543	471	45	12	1129	454
peak325	146	58	1212	503	69	22	789	320
peak326	30	17	364	180	9	1	129	61
peak327	14	6	103	51	4	2	35	23
peak328	2	0	88	27	2	2	142	173
peak329	8	2	65	20	5	0	57	10
peak330	57	26	622	146	47	3	547	187
peak331	54	15	608	212	40	7	467	123
peak332	37	15	306	227	29	5	292	102
peak333	15	3	88	37	9	5	68	23
peak334	11	8	127	49	9	2	87	28
peak335	5	2	44	45	3	0	25	16
peak336	6	1	19	21	1	0	9	4
peak337	8	4	35	12	4	0	22	4
peak338	36	19	318	148	8	4	269	105
peak339	21	4	184	43	4	7	95	25
peak340	11	4	93	53	11	3	53	37
peak341	11	4	31	14	1	0	29	15
peak342	11	3	87	35	5	2	124	29
peak343	5	0	354	104	9	1	249	67
peak344	12	2	160	40	8	3	136	22
peak345	14	1	81	64	4	3	75	31
peak346	24	12	132	77	15	4	133	42
peak347	29	8	104	28	7	3	83	26
peak348	37	11	155	112	17	2	99	43
peak349	54	19	162	46	14	1	127	35
peak350	20	10	87	54	9	4	65	17
peak351	13	8	119	110	3	1	105	37
peak352	20	11	566	218	5	4	512	132
peak353	25	8	70	5	40	4	263	90
peak354	44	10	195	125	13	8	133	87
peak355	32	16	204	154	16	7	125	84
peak356	42	4	125	62	9	6	94	29
peak357	9	5	72	16	1	1	113	45
peak358	22	3	83	60	6	5	74	28
peak359	22	13	209	113	13	5	143	63
peak360	18	6	55	36	7	2	50	13
peak361	13	3	78	32	5	1	139	24
peak362	10	12	169	100	13	4	136	72
peak363	9	5	82	41	5	3	77	50
peak364	15	9	63	53	16	3	56	21
peak365	118	49	746	109	80	21	1351	453
peak366	3	0	22	17	1	1	29	12
peak367	14	5	114	74	8	2	93	34
peak368	3	4	22	16	4	0	27	10
peak369	4	1	110	59	6	3	155	77
peak370	21	21	179	51	20	7	174	145
peak371	59	30	178	85	47	12	203	36
peak372	14	5	40	44	4	2	38	34
peak373	11	3	56	20	8	6	51	8
peak374	36	14	223	104	15	4	166	53
peak375	12	5	56	32	3	2	20	27
peak376	25	5	61	40	9	1	62	32
peak377	3	2	118	37	4	1	71	52
peak378	8	2	94	25	5	2	83	33
peak379	23	7	204	94	17	2	159	80
peak380	34	12	458	205	22	7	365	131
peak381	18	11	131	83	12	3	126	79
peak382	27	8	185	64	18	1	148	59
peak383	17	5	97	77	6	6	92	29
peak384	26	8	94	26	13	0	85	21
peak385	8	4	63	26	7	4	62	34
peak386	5	4	228	37	11	3	162	58
peak387	74	24	1169	400	45	12	1144	239
peak388	1	0	13	7	0	0	28	28
peak389	6	4	34	27	6	0	62	21
peak390	5	5	202	77	4	1	206	53
peak391	14	1	105	55	2	2	105	46
peak392	10	7	37	27	5	2	59	32
peak393	3	4	25	12	2	1	37	24
peak394	25	9	158	29	9	1	128	33
peak395	27	8	256	64	8	3	204	64
peak396	16	4	70	30	8	4	46	30
peak397	39	18	378	83	31	10	1444	405
peak398	79	59	565	848	71	17	490	302
peak399	23	9	69	60	17	3	83	28
peak400	0	1	13	4	0	2	49	19
peak401	31	7	223	36	11	5	243	91
peak402	1	0	31	20	2	1	15	13
peak403	2	2	48	53	2	0	42	27
peak404	19	5	85	25	13	3	83	15
peak405	11	3	66	39	2	4	121	46
peak406	4	1	11	7	0	0	18	12
peak407	5	2	77	17	0	0	98	43
peak408	3	0	18	8	0	0	52	37
peak409	2	0	16	5	1	1	19	11
peak410	8	2	288	56	7	3	499	161
peak411	5	4	50	11	11	5	59	17
peak412	0	0	12	2	0	1	28	31
peak413	3	3	29	21	3	0	25	10
peak414	49	24	234	165	35	6	326	95
peak415	4	3	50	36	4	0	26	12
peak416	10	5	55	18	13	1	125	29
peak417	10	2	52	25	4	0	40	11
peak418	4	2	34	25	2	0	13	17
peak419	0	1	22	7	1	0	24	14
peak420	1	0	7	1	0	0	8	12
peak421	24	10	126	34	7	4	190	69
peak422	77	37	218	84	50	14	266	80
peak423	14	5	128	63	16	6	94	72
peak424	79	35	581	363	51	13	526	161
peak425	64	21	329	81	33	10	295	54
peak426	5	0	13	9	2	0	22	7
peak427	5	1	22	12	2	0	53	28
peak428	8	8	54	18	5	0	38	12
peak429	20	9	156	57	13	2	161	23
peak430	9	1	35	4	3	2	120	88
peak431	16	3	73	34	8	1	41	15
peak432	0	0	24	3	1	3	98	55
peak433	11	7	89	33	10	1	92	71
peak434	17	2	97	42	5	0	93	23
peak435	64	14	376	276	37	10	440	144
peak436	38	8	210	102	33	5	276	43
peak437	21	4	118	28	10	2	79	16
peak438	1	0	61	13	2	2	262	107
