control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak146	75	12	246	172	103	154	427	802
peak147	3	0	48	71	1	2	34	62
peak148	31	0	164	59	33	43	233	450
peak149	22	0	349	84	21	56	263	506
peak150	53	0	294	61	78	76	225	294
peak151	7	0	143	186	43	42	146	271
peak152	19	0	91	83	56	44	99	228
peak153	201	15	798	388	452	538	986	1899
peak154	55	6	228	180	26	49	89	116
peak155	22	43	243	100	97	130	195	416
peak156	67	9	236	40	70	121	189	436
peak157	261	115	963	601	376	368	559	1102
peak158	205	51	474	474	302	485	488	1332
peak159	64	20	107	159	122	156	151	385
peak160	86	0	287	144	219	240	429	854
peak161	103	68	449	317	142	204	543	1438
peak162	126	0	269	137	179	245	415	929
peak163	225	31	718	1106	296	445	744	1543
peak164	874	119	5919	3421	1908	2315	6735	10629
peak165	83	37	266	132	147	139	275	420
peak166	8	0	520	142	72	85	255	303
peak167	387	59	954	694	549	667	898	1542
peak168	5	0	22	0	5	19	72	138
peak169	3	0	42	0	16	13	119	179
peak170	15	0	167	187	70	69	226	543
peak171	119	14	895	511	113	230	703	1153
peak172	287	49	2653	1031	557	790	2034	3879
peak173	54	62	245	160	91	124	120	271
peak174	171	26	374	290	273	354	334	777
peak175	23	0	460	160	13	27	326	469
peak176	45	14	302	114	40	58	179	477
peak177	92	0	1095	595	242	239	739	1728
peak178	74	0	516	254	59	127	302	437
peak179	144	53	1159	455	241	301	715	1387
peak180	4	0	236	7	28	34	133	271
peak181	5	0	75	132	55	79	54	180
peak182	22	0	151	84	43	44	100	340
peak183	880	100	4885	3104	1997	2631	4680	9317
peak184	230	102	382	386	127	156	216	515
peak185	1157	451	6035	4589	1413	1790	2900	5745
peak186	250	54	1270	951	658	818	805	1808
peak187	99	78	970	510	218	279	829	1596
peak188	63	16	190	39	41	55	194	272
peak189	227	61	1713	488	418	502	1537	2693
peak190	37	30	269	163	87	107	272	794
peak191	697	111	1715	781	1298	1496	1803	3552
peak192	284	146	3034	1296	1157	1087	2779	4391
peak193	66	23	123	166	106	130	165	242
peak194	280	109	1616	813	521	620	948	1819
peak195	96	20	334	207	122	201	325	678
peak196	374	220	1396	522	985	1137	1358	2449
peak197	357	132	1838	884	1016	1211	1763	2653
peak198	757	254	15303	5620	2086	2372	17401	26355
peak199	505	165	3997	1412	650	712	1718	2438
peak200	24	0	199	92	158	180	332	625
peak201	342	73	1021	491	392	515	946	1817
peak202	442	101	1235	824	518	716	1141	1973
peak203	727	152	2239	1602	592	715	887	1728
peak204	9523	1937	45018	27993	9920	12590	23100	51234
peak205	298	49	1364	682	898	1233	1463	3260
peak206	371	28	1127	307	327	339	659	1239
peak207	315	112	1338	778	495	633	1461	2644
peak208	24	30	322	128	86	92	83	293
peak209	204	25	323	575	417	508	494	737
peak210	269	52	2353	1964	138	180	644	1305
peak211	131	30	368	199	307	363	360	670
peak212	488	162	1755	958	1411	2029	3259	5126
peak213	199	122	1101	498	1088	1358	617	1413
peak214	200	36	956	316	377	377	639	1028
peak215	81	37	633	414	192	247	575	876
peak216	2876	443	4664	2992	3035	3841	4674	8012
peak217	115	1	464	434	434	505	524	1145
peak218	14	42	155	39	89	88	299	464
peak219	123	27	319	338	322	415	362	876
peak220	557	191	1245	480	807	1204	1260	2076
peak221	302	41	857	321	839	1241	1352	2264
peak222	2312	388	7313	3626	6300	8079	11031	18840
peak223	111	26	733	502	258	324	367	961
peak224	315	87	1324	732	900	1024	1536	3102
peak225	371	75	2472	1468	485	543	884	1920
peak226	583	149	1157	374	908	1060	1435	2354
peak227	200	26	2119	1198	708	753	1871	3777
peak228	56	0	302	107	63	81	143	327
peak229	77	0	717	740	118	103	373	525
peak230	154	4	928	315	317	392	870	2202
peak231	274	75	1300	827	460	528	817	2245
peak232	47	27	109	1	71	83	152	276
peak233	26	0	110	162	22	48	92	184
peak234	38	23	160	43	37	62	344	344
peak235	429	116	2521	1311	686	911	1802	3761
peak236	105	23	685	563	168	193	726	1411
peak237	104	7	375	236	213	326	341	559
peak238	160	0	1201	1087	397	628	1220	2598
peak239	111	0	205	171	140	170	182	422
peak240	0	0	96	121	9	5	34	83
peak241	15	1	479	208	119	102	276	814
peak242	56	1	157	182	206	247	158	827
peak243	316	60	2065	1463	256	336	897	1571
peak244	418	213	1593	1116	971	1097	1680	2790
peak245	532	267	2547	2236	1157	1351	2458	4938
peak246	1587	662	14183	8433	3047	3895	10200	23096
peak247	47	0	296	120	106	106	117	279
peak248	152	27	445	307	179	227	322	788
peak249	480	17	1285	838	573	726	1333	2332
peak250	471	42	1167	448	603	802	948	1546
peak251	47	0	150	73	28	14	79	105
peak252	58	93	812	688	74	113	378	656
peak253	21	58	748	877	60	80	453	732
peak254	47	0	262	129	77	93	272	554
peak255	26	9	133	103	46	68	219	296
peak256	317	88	1298	800	378	495	793	1513
peak257	57	0	111	29	72	102	124	286
peak258	758	121	2099	1349	2269	2997	2048	4019
peak259	181	45	1161	222	330	387	1231	2143
peak260	107	0	468	33	300	340	521	1248
peak261	270	87	1480	598	594	716	1232	2771
peak262	1035	224	7602	2942	2516	3051	8807	17036
peak263	67	14	519	253	133	178	181	218
