control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak151	10	1	18	27	10	4	25	38
peak152	31	12	144	93	17	13	80	63
peak153	55	22	27	43	38	31	89	113
peak154	112	51	51	58	60	52	142	161
peak155	244	71	1028	733	116	123	357	535
peak156	7	3	47	33	7	5	40	34
peak157	17	4	13	2	11	5	43	13
peak158	44	12	22	16	31	31	73	81
peak159	60	13	36	13	53	55	171	189
peak160	129	17	583	352	83	96	226	193
peak161	3	3	39	58	6	3	92	161
peak162	4	2	22	17	6	11	35	37
peak163	19	9	20	15	21	12	32	52
peak164	26	11	294	313	20	12	58	114
peak165	22	2	12	2	3	3	24	16
peak166	26	10	31	24	6	2	24	25
peak167	6	0	21	19	3	0	5	4
peak168	79	37	80	100	37	32	105	81
peak169	23	7	154	138	22	22	101	62
peak170	150	49	412	344	82	44	207	116
peak171	66	24	110	134	26	17	105	116
peak172	61	30	162	119	32	15	72	54
peak173	36	7	52	80	5	3	9	5
peak174	39	9	182	143	18	5	66	44
peak175	39	13	59	55	14	5	38	20
peak176	75	30	250	168	34	17	99	79
peak177	209	44	500	304	81	60	464	269
peak178	71	24	443	349	43	29	194	200
peak179	118	60	99	144	72	106	251	271
peak180	274	71	283	297	113	133	216	308
peak181	450	236	520	626	147	144	252	354
peak182	47	33	145	242	16	20	75	119
peak183	1015	384	2048	2249	231	234	493	769
peak184	27	1	18	17	1	1	12	6
peak185	305	68	717	616	88	124	246	352
peak186	81	39	63	105	43	42	160	275
peak187	36	7	137	86	19	13	124	74
peak188	49	13	411	349	18	22	298	229
peak189	35	25	61	52	78	79	326	364
peak190	73	12	21	16	69	40	154	111
peak191	164	53	1359	1007	195	142	885	866
peak192	363	172	1154	1432	194	241	604	979
peak193	224	115	278	370	142	163	472	733
peak194	6	2	62	75	3	5	11	28
peak195	31	14	159	109	64	41	172	126
peak196	50	15	36	25	28	47	100	179
peak197	10	6	6	5	7	7	36	49
peak198	13	4	19	29	3	3	10	13
peak199	349	190	151	159	71	103	88	66
peak200	3	1	12	15	2	2	9	11
peak201	112	29	86	74	54	46	235	177
peak202	290	130	1023	1066	129	149	262	341
peak203	378	200	277	377	144	161	311	505
peak204	324	200	504	683	99	112	180	139
peak205	226	97	585	737	102	104	153	314
peak206	5	3	31	31	1	3	26	46
peak207	1	1	50	32	0	1	14	7
peak208	10	1	39	37	0	4	6	13
peak209	23	14	21	33	21	25	57	126
peak210	155	96	110	121	111	136	241	363
peak211	230	146	448	758	128	173	179	267
peak212	175	87	231	367	73	120	152	222
peak213	10	4	18	17	2	2	19	36
peak214	318	173	460	439	245	193	723	1056
peak215	958	419	1601	2576	431	524	488	1087
peak216	271	139	1379	1540	193	166	462	554
peak217	17	13	140	234	10	28	76	122
peak218	123	50	214	261	129	143	322	539
peak219	117	51	250	359	122	133	192	377
peak220	368	121	1359	1579	314	316	675	1061
peak221	160	60	328	445	108	161	108	162
peak222	156	42	222	177	46	41	78	92
peak223	44	22	387	586	7	17	89	133
peak224	25	12	156	250	17	18	152	259
peak225	371	182	712	1075	258	320	395	620
peak226	150	77	277	587	57	46	170	264
peak227	110	52	360	386	49	41	78	130
peak228	186	94	175	244	68	64	154	199
peak229	320	173	238	434	117	117	419	546
peak230	435	288	968	1782	446	668	1682	3053
peak231	344	204	759	1483	278	415	612	1315
peak232	186	71	651	524	132	93	215	170
peak233	556	239	2972	3579	90	94	538	593
peak234	17	7	18	56	12	5	48	97
peak235	8	0	14	14	0	2	5	2
peak236	194	97	81	147	43	43	110	145
peak237	296	149	170	334	55	54	143	192
peak238	284	152	192	434	55	56	185	285
peak239	21	11	46	53	8	14	32	45
peak240	117	78	1113	1806	53	68	674	1427
peak241	47	24	66	147	21	26	45	54
peak242	14	7	94	178	14	5	84	85
peak243	109	51	486	570	32	44	494	865
peak244	429	292	555	958	190	189	488	717
peak245	147	70	492	745	76	66	211	218
peak246	167	96	185	265	65	108	197	374
peak247	100	47	51	91	30	56	98	183
peak248	6	1	15	33	6	4	13	35
peak249	9	4	13	31	9	7	39	78
peak250	117	37	784	589	61	34	534	380
peak251	125	44	841	741	62	46	405	632
peak252	34	19	152	131	21	14	60	85
peak253	24	5	100	53	8	1	120	54
peak254	500	220	1121	1272	278	259	348	383
peak255	239	104	364	309	134	143	229	182
peak256	884	377	1014	1505	435	469	1202	1777
peak257	25	7	60	83	8	11	17	31
peak258	338	122	213	166	167	113	406	395
peak259	267	82	156	136	142	114	436	404
peak260	496	178	308	250	185	190	871	964
peak261	89	42	86	88	51	35	127	180
peak262	52	41	31	56	25	15	52	102
peak263	9	5	47	42	2	7	17	20
peak264	162	73	404	577	150	112	1274	1846
peak265	196	50	171	105	105	63	451	335
peak266	419	139	2311	1718	189	192	366	604
peak267	436	150	469	292	249	126	1058	802
peak268	3159	1258	2874	2687	1039	880	6829	4723
peak269	774	339	2983	3623	421	468	1017	1580
peak270	1328	561	5813	7107	676	752	1542	2928
peak271	23	5	79	125	17	11	83	86
peak272	1	1	31	19	2	3	9	17
peak273	22	3	146	169	2	3	59	184
peak274	45678	19419	89769	102411	18806	22905	133078	201322
peak275	49517	20205	161875	181195	16765	20235	259770	344117
peak276	176	95	130	184	74	85	435	611
peak277	490	212	192	361	151	197	438	763
peak278	14	9	11	6	6	12	44	23
peak279	65	11	45	33	31	26	133	116
peak280	2341	1240	3570	4915	502	703	3297	5199
peak281	2741	1394	1881	2642	485	682	1412	2733
peak282	48	18	94	149	13	9	27	13
peak283	125	39	371	297	104	90	159	185
peak284	499	146	1154	868	214	276	482	674
peak285	10	4	65	109	13	15	123	150
peak286	80	17	196	117	37	26	298	407
peak287	165	57	154	170	58	54	241	353
peak288	163	45	216	208	71	56	345	475
peak289	83	13	179	107	46	32	330	253
peak290	530	215	578	686	208	258	1144	1611
peak291	230	68	234	328	80	99	383	505
peak292	484	137	1867	1512	180	134	2834	3062
peak293	272	101	529	391	102	95	778	886
peak294	344	127	413	355	147	113	255	351
