control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak153	14	15	645	838	23	7	378	315
peak154	33	16	44	96	14	16	32	69
peak155	44	42	134	248	40	46	83	147
peak156	92	22	140	150	46	48	47	58
peak157	48	21	201	178	73	91	195	246
peak158	130	79	644	603	162	210	643	1103
peak159	59	34	130	138	68	76	151	218
peak160	48	42	503	437	70	86	734	753
peak161	12	7	72	65	10	20	62	51
peak162	7	2	91	78	0	2	44	26
peak163	89	49	112	294	61	101	144	290
peak164	220	99	220	160	142	134	201	241
peak165	494	219	3528	2313	500	492	1734	930
peak166	223	111	210	545	172	139	191	585
peak167	411	122	264	180	239	89	386	350
peak168	343	227	1992	2419	373	525	1673	1314
peak169	309	135	463	531	315	304	563	542
peak170	14	4	104	90	6	2	29	36
peak171	0	0	52	29	0	2	14	15
peak172	21	4	476	192	1	6	175	74
peak173	45	26	53	71	27	32	18	158
peak174	64	36	266	268	43	47	115	104
peak175	69	34	57	87	48	23	102	151
peak176	225	59	417	594	70	63	508	832
peak177	1246	343	833	597	549	351	767	751
peak178	36	16	72	76	10	10	46	19
peak179	125	59	400	610	90	142	260	306
peak180	589	242	776	573	321	215	549	1126
peak181	78	25	243	247	42	50	87	67
peak182	23	14	131	204	7	3	31	32
peak183	29	18	146	112	8	6	33	22
peak184	22	30	54	78	36	35	39	73
peak185	29	27	271	381	53	58	91	67
peak186	11	23	77	71	7	15	11	20
peak187	6	12	97	60	10	10	30	11
peak188	200	126	754	985	488	246	949	792
peak189	87	57	326	434	196	134	396	352
peak190	77	66	941	1133	129	79	998	539
peak191	3	0	94	40	5	5	85	34
peak192	2	0	26	34	0	2	12	10
peak193	2	3	128	172	4	6	58	59
peak194	290	289	198	277	336	344	322	360
peak195	197	166	114	176	248	173	161	111
peak196	225	186	980	1170	233	239	783	739
peak197	11	15	448	295	50	9	302	117
peak198	945	506	5877	5886	325	357	1768	1518
peak199	16	6	111	151	17	5	87	59
peak200	201	145	1529	1864	242	241	1080	823
peak201	114	68	94	142	204	154	242	402
peak202	194	93	85	156	257	250	238	579
peak203	54	45	37	43	94	90	120	189
peak204	40	27	129	93	108	79	138	271
peak205	521	245	2596	2000	940	585	2569	3795
peak206	56	21	102	53	43	37	79	104
peak207	3	2	133	71	4	14	87	46
peak208	184	138	3566	2168	371	257	1752	880
peak209	90	50	204	592	63	46	226	797
peak210	84	53	213	199	63	61	94	124
peak211	446	171	1809	1093	197	208	791	1201
peak212	110	69	281	288	70	64	162	156
peak213	52	24	127	203	88	31	109	91
peak214	37	57	281	418	68	84	319	288
peak215	6	18	53	63	13	10	70	36
peak216	6	10	48	97	0	2	27	27
peak217	35	25	839	764	55	60	486	287
peak218	1	3	128	101	9	7	65	45
peak219	11	14	176	216	3	2	43	57
peak220	27	5	171	192	0	4	59	61
peak221	4	8	203	248	17	21	391	448
peak222	7	6	32	60	30	27	60	95
peak223	16	3	30	36	15	17	51	53
peak224	13	3	16	44	0	13	30	38
peak225	391	95	420	529	252	107	721	1017
peak226	1	24	66	144	23	39	23	62
peak227	12	18	180	177	22	13	158	123
peak228	44	47	362	404	66	65	262	197
peak229	39	19	604	489	24	28	205	185
peak230	20	13	121	143	13	15	98	73
peak231	203	115	177	270	124	134	175	356
peak232	60	59	846	1286	67	84	530	408
peak233	8	5	297	250	5	3	62	60
peak234	27	41	179	371	33	46	64	125
peak235	20	15	452	662	15	15	320	197
peak236	91	73	1426	1008	67	105	1011	736
peak237	2	2	123	143	12	14	94	64
peak238	9	8	110	134	2	14	62	63
peak239	41	9	614	328	37	48	1013	403
peak240	295	92	3604	1408	352	120	2137	1117
peak241	322	189	1296	1501	292	313	1091	966
peak242	44	23	93	82	64	54	111	46
peak243	167	70	1757	1323	204	112	1480	1026
peak244	200	162	261	324	70	83	113	94
peak245	41	19	277	211	56	40	237	136
peak246	7	1	273	181	9	4	174	85
peak247	22	17	159	287	22	30	106	128
peak248	2	1	15	20	16	6	91	117
peak249	0	0	4	8	0	4	55	32
peak250	30	2	512	456	20	30	283	206
peak251	692	442	10695	9218	450	492	7739	7349
peak252	171	84	405	522	141	132	292	130
peak253	170	196	235	394	178	194	332	460
peak254	18	38	369	420	35	34	280	207
peak255	112	88	124	215	93	112	96	194
peak256	13	7	77	77	7	6	13	30
peak257	6	6	62	94	14	7	43	61
peak258	14	1	40	55	0	3	19	46
peak259	3	1	103	121	12	9	193	121
peak260	20	18	41	100	4	14	19	68
peak261	104	34	183	239	50	58	148	104
peak262	172	128	672	948	129	142	368	288
peak263	2	0	86	99	2	1	34	17
peak264	21	14	1368	1041	32	31	1189	782
peak265	27	35	467	526	52	53	595	339
peak266	18	13	640	741	20	46	567	401
peak267	62	12	892	651	39	14	408	252
peak268	10	10	336	227	21	19	286	112
peak269	13	13	124	173	34	19	30	21
peak270	9	15	176	301	8	9	86	123
peak271	115	80	150	140	69	71	103	102
peak272	88	56	676	953	58	82	236	210
peak273	9	1	91	62	9	6	45	51
peak274	14	5	206	206	1	1	188	115
peak275	16	11	632	642	11	10	296	210
peak276	130	85	315	622	77	119	205	188
peak277	412	310	9470	12089	325	483	6207	4660
peak278	206	119	678	605	81	124	762	643
peak279	4	8	66	62	0	0	5	8
peak280	19	5	118	114	13	5	30	11
peak281	27	2	69	80	13	10	34	27
peak282	66	59	197	337	24	84	58	56
peak283	127	115	236	367	52	69	72	51
peak284	157	76	266	295	52	52	64	76
peak285	110	42	281	297	64	77	132	108
peak286	132	183	2317	2514	157	200	1181	992
peak287	115	142	165	463	98	190	165	278
peak288	71	76	146	241	86	78	74	90
peak289	1043	415	3536	2937	741	509	1561	1185
peak290	662	277	3624	2726	513	351	1664	929
peak291	31	15	44	139	10	10	19	79
peak292	50	23	69	174	34	49	49	123
peak293	151	44	458	267	104	51	203	168
peak294	11	0	57	30	3	4	53	46
peak295	4	4	79	52	0	7	37	28
peak296	16	17	580	476	12	25	253	170
peak297	321	250	1190	1659	389	455	1262	1146
peak298	44	56	1921	1820	132	102	2054	1153
peak299	348	221	969	1340	432	280	941	1593
peak300	139	64	174	140	133	84	202	265
peak301	39	23	108	112	43	62	87	102
peak302	7	10	53	70	1	1	18	16
peak303	5	6	373	300	4	7	164	58
peak304	89	76	209	304	192	148	280	264
peak305	163	83	885	801	152	97	660	412
peak306	170	100	1537	1618	110	69	627	740
peak307	53	31	1326	1569	29	56	390	324
peak308	17	17	68	207	17	24	69	141
peak309	850	590	9800	10303	513	722	5377	9533
peak310	128	104	3120	2456	138	112	1722	1457
peak311	1	2	83	69	1	7	53	39
peak312	4	0	48	23	0	3	33	14
peak313	13	26	118	223	12	20	76	157
peak314	2	0	34	41	9	1	25	13
peak315	44	7	132	114	31	28	94	156
peak316	14	6	109	78	4	13	56	96
peak317	53	64	203	148	13	40	66	115
peak318	42	45	117	178	33	77	45	122
peak319	55	39	157	137	39	38	44	69
peak320	21	11	37	51	4	19	17	18
peak321	153	85	1384	1714	116	113	532	521
peak322	22	10	383	151	29	2	141	64
peak323	114	94	61	99	91	130	81	310
peak324	113	137	173	207	161	136	252	385
peak325	122	103	214	252	94	148	94	161
peak326	39	8	139	77	8	21	94	101
peak327	195	114	1735	1433	139	148	1160	932
peak328	246	76	402	585	314	225	472	930
peak329	41	10	1370	723	36	19	656	308
peak330	1772	706	5514	4139	1581	1001	2666	2078
peak331	44	22	359	366	84	101	252	172
peak332	73	12	89	76	53	56	101	59
peak333	41	39	80	238	30	38	89	181
peak334	135	61	5395	2973	125	130	3164	1411
peak335	205	91	798	760	281	186	632	823
peak336	98	95	3044	3318	103	167	3707	3617
peak337	9	5	491	327	23	26	558	233
peak338	88	50	529	513	42	48	363	388
peak339	379	262	13994	13167	319	334	7026	5694
peak340	0	1	8	22	2	12	14	17
peak341	98	13	120	117	93	37	109	103
peak342	11	13	33	96	17	38	30	91
peak343	66	47	66	154	37	110	116	272
peak344	38	27	78	65	24	41	74	116
peak345	1	7	159	66	2	4	67	30
peak346	7	4	62	35	1	5	51	9
