control_input	control_input.1	control_IP	control_IP.1	treatment_input	treatment_input.1	treatment_IP	treatment_IP.1
peak157	13	3	24	120	12	8	176	69
peak158	81	71	353	1126	113	123	1276	671
peak159	34	33	216	634	22	28	584	223
peak160	21	9	40	88	12	10	33	9
peak161	3	2	30	32	5	7	44	11
peak162	6	13	39	145	19	6	55	21
peak163	58	98	135	756	110	134	707	357
peak164	32	59	70	234	67	68	451	290
peak165	25	51	147	439	76	63	789	529
peak166	10	5	37	31	4	6	47	43
peak167	7	6	43	34	12	3	59	36
peak168	8	6	30	37	10	5	59	42
peak169	3	1	33	25	1	4	22	16
peak170	5	9	44	49	6	7	55	47
peak171	9	2	48	60	11	8	80	47
peak172	8	5	43	37	10	5	46	43
peak173	4	2	36	30	6	2	34	19
peak174	12	12	44	67	5	7	52	16
peak175	71	62	429	826	52	40	607	364
peak176	6	12	60	167	13	14	87	25
peak177	11	8	57	76	4	3	69	23
peak178	8	5	68	130	5	5	158	60
peak179	9	6	25	15	8	2	56	39
peak180	6	5	28	59	4	3	26	11
peak181	4	9	31	41	10	3	17	9
peak182	11	9	44	46	6	3	28	12
peak183	15	8	57	59	4	6	37	22
peak184	22	22	183	209	12	12	101	101
peak185	14	8	65	114	10	3	79	46
peak186	7	7	36	70	4	1	21	7
peak187	19	26	163	453	32	47	645	206
peak188	12	7	40	52	8	13	48	19
peak189	13	22	61	185	31	36	133	52
peak190	75	64	164	60	59	57	251	185
peak191	16	22	171	262	15	16	324	121
peak192	2	2	27	21	4	2	57	52
peak193	2	4	40	82	7	6	111	80
peak194	20	10	183	189	23	18	291	115
peak195	21	11	56	33	11	12	28	23
peak196	33	23	155	167	28	18	147	78
peak197	13	4	47	48	8	5	58	30
peak198	17	26	85	84	26	14	79	37
peak199	16	5	41	25	17	11	77	42
peak200	15	16	51	69	10	10	74	48
peak201	39	48	221	569	42	36	544	265
peak202	15	12	48	58	8	19	40	47
peak203	134	164	511	1323	237	243	1025	464
peak204	46	34	46	151	82	72	93	26
peak205	49	81	183	786	102	80	469	118
peak206	79	159	387	922	186	194	740	290
peak207	1	4	19	52	4	3	45	14
peak208	8	5	82	275	14	9	287	144
peak209	6	5	64	134	10	8	173	60
peak210	48	37	81	24	26	34	140	66
peak211	77	57	391	509	48	42	383	156
peak212	14	32	95	196	37	42	149	90
peak213	11	29	73	154	23	39	60	45
peak214	4	1	23	36	4	3	36	7
peak215	2	4	9	43	6	5	65	56
peak216	0	3	11	29	7	11	76	73
peak217	3	5	24	46	3	7	50	24
peak218	35	47	46	148	17	27	44	12
peak219	68	54	182	278	36	40	191	54
peak220	68	73	287	208	37	50	136	101
peak221	84	66	203	269	41	44	125	72
peak222	25	12	38	53	13	6	85	55
peak223	0	3	45	178	8	14	86	47
peak224	7	6	34	56	14	11	165	93
peak225	7	6	28	71	21	15	156	74
peak226	7	7	17	23	15	7	61	33
peak227	5	9	75	70	28	33	313	219
peak228	2	4	28	37	10	13	106	77
peak229	6	4	20	103	8	9	122	73
peak230	27	21	110	148	27	19	89	39
peak231	39	51	296	361	39	41	360	194
peak232	54	38	353	625	53	54	523	199
peak233	4	2	23	59	2	1	16	5
peak234	3	5	69	302	4	3	91	36
peak235	2	2	28	52	1	1	19	9
peak236	219	192	256	201	181	169	563	447
peak237	35	40	105	292	34	28	608	299
peak238	10	30	106	469	22	27	148	93
peak239	1	5	13	12	2	4	38	26
peak240	0	3	15	57	2	1	60	39
peak241	50	75	261	312	75	78	569	353
peak242	28	44	64	55	39	47	335	168
peak243	12	19	37	140	14	13	195	42
peak244	54	65	290	660	51	50	732	311
peak245	23	34	96	272	29	27	194	85
peak246	8	22	19	87	23	32	122	70
peak247	7	8	46	90	7	6	42	13
peak248	27	43	113	340	33	24	205	77
peak249	2	2	18	54	4	3	23	10
peak250	47	47	78	60	57	29	157	84
peak251	51	31	99	36	46	30	149	88
peak252	14	8	67	24	21	9	53	34
peak253	10	8	57	32	11	19	20	25
peak254	12	13	31	16	8	5	20	23
peak255	20	19	79	27	27	13	101	67
peak256	30	23	129	104	25	17	126	84
peak257	25	20	74	88	26	19	121	71
peak258	10	25	52	110	55	51	156	73
peak259	23	46	173	870	123	100	1239	451
peak260	16	38	68	331	76	71	258	118
peak261	19	31	87	240	80	65	274	119
peak262	23	34	133	320	105	92	629	264
peak263	9	20	25	97	8	9	49	8
peak264	8	14	31	152	13	5	70	22
peak265	19	35	112	240	72	94	394	199
peak266	15	35	59	207	48	75	239	161
peak267	22	51	195	580	34	33	395	197
peak268	6	2	27	67	4	4	35	9
peak269	8	6	31	70	4	7	62	17
peak270	3	1	32	62	4	4	52	16
peak271	6	10	51	125	3	3	57	14
peak272	42	62	215	649	91	84	645	216
peak273	43	64	272	710	106	87	1073	686
peak274	19	29	86	251	48	52	377	161
peak275	3	7	34	26	13	13	31	29
peak276	34	41	100	178	45	39	110	32
peak277	1	1	31	33	2	1	23	18
peak278	16	15	44	96	10	6	108	54
peak279	12	6	33	66	15	13	39	25
peak280	10	12	81	153	17	11	163	85
peak281	8	14	88	215	10	13	133	55
peak282	27	23	121	186	20	21	179	74
peak283	27	20	80	85	24	15	61	27
peak284	13	13	54	30	14	8	63	28
peak285	16	15	53	197	22	14	158	96
peak286	11	26	59	312	26	28	455	192
peak287	3	12	38	47	10	7	105	33
peak288	4	20	59	195	7	26	169	49
peak289	177	174	757	547	271	235	874	468
peak290	5	7	33	85	7	2	153	53
peak291	4	3	28	36	8	4	37	25
peak292	3	2	32	25	3	3	53	16
peak293	5	2	35	87	1	0	47	12
peak294	136	246	343	2131	305	265	900	292
peak295	74	40	407	283	61	52	326	256
peak296	8	17	88	79	14	19	144	94
peak297	17	13	55	52	15	18	31	20
peak298	10	27	59	127	14	12	75	45
peak299	13	14	27	68	18	14	53	21
peak300	21	15	67	45	13	9	48	24
peak301	35	29	170	76	13	10	46	17
peak302	6	5	32	145	5	6	107	28
peak303	4	7	16	35	5	4	42	21
peak304	21	14	32	9	24	23	27	29
peak305	47	37	63	15	62	38	117	95
peak306	76	43	198	119	63	48	395	231
peak307	22	13	61	6	19	17	111	69
peak308	4	1	21	80	2	1	22	3
peak309	13	12	58	11	18	22	86	77
peak310	35	37	80	246	32	10	284	97
peak311	21	30	80	130	13	15	21	15
peak312	60	90	217	371	34	27	71	24
peak313	18	7	60	143	7	4	69	48
peak314	10	11	39	92	9	7	72	17
peak315	4	10	37	92	8	15	45	19
peak316	7	12	36	133	4	8	73	38
peak317	55	30	113	189	60	49	257	123
peak318	39	27	119	274	41	32	240	73
peak319	21	24	110	168	28	26	260	116
peak320	9	15	46	111	17	20	44	28
peak321	9	9	77	146	2	3	63	37
peak322	7	2	40	44	3	3	7	14
peak323	4	5	17	63	6	12	106	48
peak324	8	10	38	141	20	13	197	88
peak325	287	180	929	592	135	115	215	224
peak326	306	173	885	127	107	92	351	219
peak327	16	7	70	105	4	5	81	24
peak328	6	2	28	49	0	2	47	26
peak329	5	4	74	95	8	0	123	57
peak330	25	26	150	200	35	54	216	98
peak331	13	7	47	63	2	4	71	19
peak332	5	7	33	39	2	9	21	2
peak333	84	115	161	248	153	149	541	422
peak334	3	3	14	65	0	6	96	58
peak335	3	12	74	176	15	7	66	18
peak336	204	171	381	319	145	109	758	406
peak337	26	17	137	385	18	24	166	76
peak338	3	3	27	156	11	5	64	17
peak339	18	11	75	174	13	10	243	56
